#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-01T16:23:20 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-01T16:23:20	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2fA%2bA%2f640%2fA36%2ftablea1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36400036
#Name: J/A+A/640/A36
#Title: OB stars TESS phot. & high-resolution spectroscopy (Bowman+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/640/a36	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/640/a36	    IVOID of underlying data collection
#INFO	creator=Bowman D.M.	    First author or institution
#INFO	cites=bibcode:2020A&A...640A..36B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/640/A36	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36400036	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_640_A36_tablea1:
#Name: J/A+A/640/A36/tablea1
#Title: Parameters of OB stars studied in this work
#Column	Cat	(I1)	[1/9] Category (G1)	[ucd=meta.code]
#Column	Name	(a11)	Common name	[ucd=meta.id;meta.main]
#Column	TIC	(I9)	TIC number	[ucd=meta.id]
#Column	SpType	(a15)	Spectral type	[ucd=src.spType]
#Column	logTeff	(F5.2)	Effective temperature (typical uncertainty 0.03dex)	[ucd=phys.temperature.effective]
#Column	logLs	(F5.2)	Spectroscopic luminosity (where Ls=Teff^4^/g) (typical uncertainty 0.15dex)	[ucd=stat.fit.param]
#Column	vsini	(I3)	Projected surface rotational velocity (1)	[ucd=phys.veloc.rotat]
#Column	vmacro	(I3)	? Macroturbulent broadening (1)	[ucd=spect.line.broad]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Cat	Name	TIC	SpType	logTeff	logLs	vsini	vmacro	Simbad	_RA	_DE
3	HD 154643  	 43284243	O9.7 III       	 4.49	 3.85	101	 78	Simbad	257.05826	-35.00435
4	CPD-47 2963	 30653985	O5 Ifc         	 4.57	 4.16	 67	110	Simbad	134.47757	-47.73769
4	HD 156154  	152659955	O7.5 Ib(f)     	 4.53	 4.22	 62	102	Simbad	259.36254	-35.53667
4	HD 112244  	406050497	O8.5 Iab(f)p   	 4.50	 4.15	124	 80	Simbad	193.98806	-56.83580
4	HD 151804  	337793038	O8 Iaf         	 4.45	 4.33	 72	 73	Simbad	252.89051	-41.23054
4	HD 303492  	459532732	O8.5 Iaf       	 4.45	 4.29	 87	 55	Simbad	162.96979	-58.97646
4	HD 57061   	106347931	O9 II          	 4.51	 4.01	 57	 93	Simbad	109.67703	-24.95437
4	HD 152249  	339567904	OC9 Iab        	 4.49	 4.15	 71	 70	Simbad	253.54850	-41.84925
4	HD 152424  	247267245	OC9.2 Ia       	 4.48	 4.14	 59	 66	Simbad	253.76387	-42.09083
4	HD 154368  	 41792209	O9.5 Iab       	 4.48	 4.28	 65	 78	Simbad	256.61820	-35.45104
4	HD 152003  	338640317	O9.7 Iab Nwk   	 4.48	 4.12	 65	 83	Simbad	253.19739	-41.78583
4	HD 152147  	246953610	O9.7 Ib Nwk    	 4.48	 4.04	 91	 64	Simbad	253.36924	-42.12140
5	HD 36960   	427373484	B0.5 V         	 4.46	 3.31	 23	 37	Simbad	083.76117	-06.00203
5	HD 37042   	427395058	B0.7 V         	 4.47	 3.06	 33	 13	Simbad	083.86000	-05.41689
5	HD 43112   	434384707	B1 V           	 4.41	 2.95	  7	 12	Simbad	093.78530	+13.85110
5	HD 35912   	464839773	B2 V           	 4.26	 2.44	 11	 21	Simbad	082.00613	+01.29825
5	HD 48977   	202148345	B2.5 V         	 4.25	 2.61	 26	  8	Simbad	101.63506	+08.58716
6	HD 34816   	442871031	B0.5 IV        	 4.46	 3.22	 25	   	Simbad	079.89385	-13.17679
6	HD 46328   	 47763235	B0.5 IV        	 4.40	 3.28	  7	 20	Simbad	097.96403	-23.41842
6	HD 50707   	 78897024	B1 IV          	 4.38	 3.31	 29	 46	Simbad	103.38711	-20.22425
6	HD 37481   	332913301	B1.5 IV        	 4.34	 2.78	 74	 21	Simbad	084.65822	-06.57396
6	HD 37209   	388935529	B2 IV          	 4.38	 2.76	 50	 15	Simbad	084.14872	-06.06475
6	HD 26912   	283793973	B3 IV          	 4.20	 2.61	 53	 30	Simbad	063.88357	+08.89236
6	HD 37711   	 59215060	B3 IV          	 4.21	 2.61	 68	 51	Simbad	085.32382	+16.53415
6	HD 57539   	 10176636	B3 IV          	 4.13	 2.54	162	 13	Simbad	110.39430	-05.89719
6	HD 41753   	151464886	B3 IV          	 4.23	 2.61	 25	 40	Simbad	091.89302	+14.76847
6	HD 224990  	313934087	B5 IV          	 4.13	 2.33	 20	 40	Simbad	000.58304	-29.72044
7	HD 48434   	234052684	B0 III         	 4.48	 3.93	 48	 82	Simbad	100.91102	+03.93253
7	HD 61068   	349043273	B2 III         	 4.39	 3.08	 12	 23	Simbad	114.17098	-19.70234
7	HD 35468   	365572007	B2 III         	 4.29	 2.99	 53	 27	Simbad	081.28276	+06.34970
8	HD 44743   	 34590771	B1 II-III      	 4.37	 3.20	 24	 40	Simbad	095.67494	-17.95592
8	HD 54764   	 95513457	B1 II          	 4.30	 3.97	123	 87	Simbad	107.38901	-16.23451
8	HD 52089   	 63198307	B2 II          	 4.34	 3.60	 26	 50	Simbad	104.65645	-28.97209
8	HD 51309   	146908355	B3 II          	 4.20	 3.64	 27	 43	Simbad	104.03427	-17.05424
8	HD 46769   	281148636	B5 II          	 4.11	 3.16	 70	 23	Simbad	098.81596	+00.89022
8	HD 27563   	 37777866	B7 II          	 4.16	 2.61	 34	 26	Simbad	065.17848	-07.59250
8	HD 53244   	148109427	B8 II          	 4.14	 2.74	 36	 21	Simbad	105.93955	-15.63329
8	HD 37128   	427451176	B0 Ia          	 4.47	 4.05	 55	 85	Simbad	084.05339	-01.20192
8	HD 38771   	 66651575	B0.5 Ia        	 4.47	 4.06	 53	 83	Simbad	086.93912	-09.66960
8	HD 53138   	 80466973	B3 Iab         	 4.23	 4.13	 37	 56	Simbad	105.75613	-23.83329
8	HD 39985   	102281507	B9 Ib          	 4.11	 2.34	 26	 28	Simbad	089.11681	+09.50939
9	HD 37061   	427393920	O9.5 V         	 4.49	 3.07	210	   	Simbad	083.88069	-05.26738
9	HD 37742   	 11360636	O9.2 Ib var Nwk	 4.47	 4.15	122	 97	Simbad	085.18970	-01.94257
9	HD 57682   	187458882	O9.2 IV        	 4.54	 3.62	 12	 38	Simbad	110.50856	-08.97938
9	HD 54879   	177860391	O9.7 V         	 4.52	 3.16	  7	 10	Simbad	107.53395	-11.80273

