#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T18:05:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T18:05:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/275/2/table1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22750002
#Name: J/ApJS/275/2
#Title: Galactic O-type stars with IACOB, GOSSS and TESS (Shen+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/apjs/275/2	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/275/2	    IVOID of underlying data collection
#INFO	creator=Shen D.-X.	    First author or institution
#INFO	cites=bibcode:2024ApJS..275....2S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/275/2	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8k-2	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_275_2_table1:
#Name: J/ApJS/275/2/table1
#Title: Stellar parameters of stars in our sample
#Column	f_Name	(I1)	[1/2] Spectral observation flag (1)	[ucd=meta.code]
#Column	Name	(a14)	Star Name	[ucd=meta.id;meta.main]
#Column	m_Name	(A1)	[A] Star name component	[ucd=meta.code.multip]
#Column	SpT	(A5)	Spectral type	[ucd=src.spType]
#Column	Lum	(a13)	Luminosity Class	[ucd=src.class.luminosity]
#Column	logLs	(F5.2)	[3.4/4.27] Log, spectroscopic luminosity	[ucd=phys.luminosity]
#Column	e_logLs	(F5.2)	[0.03/0.4] Uncertainty in logLs	[ucd=stat.error;phys.luminosity]
#Column	Teff	(F5.2)	[27.7/49.1] Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5.2)	[0.5/2.2] Uncertainty in Teff	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	[2.9/4.13] Log, surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	[0.03/0.3] Uncertainty in logg	[ucd=stat.error;phys.gravity]
#Column	Mass	(F5.2)	[16/82] Stellar mass	[ucd=phys.mass]
#Column	E_Mass	(F5.2)	[0/7.4] Upper Uncertainty in Mass	[ucd=stat.error;stat.max;phys.mass]
#Column	e_Mass	(F5.2)	[0.4/15] Lower Uncertainty in Mass	[ucd=stat.error;stat.min;phys.mass]
#Column	Rad	(F5.2)	[6.17/47.5] Stellar Radius	[ucd=phys.size.radius]
#Column	E_Rad	(F5.2)	[0/1] Upper Uncertainty in Rad	[ucd=stat.error;stat.max;phys.size.radius]
#Column	e_Rad	(F5.2)	[0.27/6] Lower Uncertainty in Rad	[ucd=stat.error;stat.min;phys.size.radius]
#Column	tau	(F5.2)	[0.1/0.86] Fractional main sequence age	[ucd=time.age;arith.ratio]
#Column	E_tau	(F5.2)	[0.01/0.2] Upper Uncertainty in tau	[ucd=stat.error;stat.min;time.age]
#Column	e_tau	(F5.2)	[0.01/0.3] Lower Uncertainty in tau	[ucd=stat.error;stat.min;time.age]
#Column	logMdot	(F5.2)	[-7.9/-5] Mass-loss rate	[ucd=phys.mass.loss]
#Column	E_logMdot	(F5.2)	[0.07/0.5] Upper Uncertainty in logMdot	[ucd=stat.error;stat.max;phys.mass.loss]
#Column	e_logMdot	(F5.2)	[0.05/0.4] Lower Uncertainty in logMdot	[ucd=stat.error;stat.min;phys.mass.loss]
#Column	vmacro	(F5.1)	[7/440]? Macroturbulent velocity	[ucd=phys.veloc]
#Column	vsini	(F5.1)	[8/140]? Projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	IACOB	(I3)	Display data from Simon-Diaz+ 2014, J/A+A/562/A135 and Holgado+2020, J/A+A/638/A157 within 3"	[ucd=meta.ref.url]
#Column	GOSSS	(I3)	Display data from GOSSS (III/274) within 3"	[ucd=meta.ref.url]
#Column	Nvar	(I3)	Number of SLF variability results for this star (link to Table 2)	[ucd=meta.number]
#Column	SimbadName	(a17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
f_Name	Name	m_Name	SpT	Lum	logLs	e_logLs	Teff	e_Teff	logg	e_logg	Mass	E_Mass	e_Mass	Rad	E_Rad	e_Rad	tau	E_tau	e_tau	logMdot	E_logMdot	e_logMdot	vmacro	vsini	IACOB	GOSSS	Nvar	SimbadName	_RA	_DE
1	HD 192001     	 	O9.5 	IV           	 3.63	 0.06	33.00	 0.50	 3.83	 0.05	22.00	 0.07	 1.05	 9.27	 0.66	 0.52	 0.64	 0.03	 0.04	-6.94	 0.13	 0.12	 44.0	 57.0	  2	  1	  1	HD 192001        	302.75711	+42.12678
1	HD 193595     	 	O7   	V ((f))      	 3.91	 0.06	37.90	 0.50	 3.79	 0.06	35.80	 0.88	 2.44	12.31	 0.20	 0.90	 0.60	 0.02	 0.03	-6.00	 0.13	 0.13	 46.0	 61.0	  1	  0	  2	HD 193595        	304.88053	+39.05729
1	HD 207198     	 	O8.5 	II ((f))     	 4.16	 0.05	33.10	 0.50	 3.31	 0.04	52.40	 0.74	 5.69	26.11	 0.89	 2.09	 0.73	 0.02	 0.04	-5.42	 0.12	 0.14	 52.0	 97.0	  2	  1	  3	HD 207198        	326.22200	+62.46057
1	HD 209975     	 	O9   	Ib           	 4.11	 0.05	32.00	 0.50	 3.30	 0.04	45.00	 0.43	 4.14	24.64	 0.21	 1.87	 0.77	 0.02	 0.03	-5.62	 0.12	 0.14	 50.0	104.0	  2	  1	  3	HD 209975        	331.28662	+62.27981
1	HD 210839     	 	O6.5 	I (n)fp      	 4.14	 0.05	35.80	 0.50	 3.47	 0.04	51.80	 0.59	 8.29	21.93	 0.14	 2.74	 0.71	 0.06	 0.04	-5.40	 0.13	 0.12	214.0	     	  2	  1	  3	HD 210839        	332.87740	+59.41449
1	HD 214680     	 	O9   	V            	 3.69	 0.05	35.20	 0.50	 3.89	 0.04	25.00	 0.29	 0.89	 9.38	 0.49	 0.49	 0.56	 0.04	 0.02	-6.72	 0.12	 0.08	 14.0	 43.0	  2	  1	  1	HD 214680        	339.81533	+39.05027
1	HD 216532     	 	O8.5 	V (n)        	 3.54	 0.08	35.30	 0.60	 4.04	 0.07	23.00	 0.11	 1.25	 7.40	 0.50	 0.61	 0.37	 0.10	 0.10	-7.03	 0.17	 0.13	199.0	 54.0	  2	  1	  2	HD 216532        	343.12732	+62.44054
1	HD 217086     	 	O7   	V nn((f))z   	 3.70	 0.08	37.70	 0.80	 4.00	 0.07	27.20	 0.77	 2.97	 8.40	 0.67	 0.75	 0.46	 0.15	 0.08	-6.51	 0.15	 0.14	377.0	     	  2	  1	  3	HD 217086        	344.19662	+62.72713
1	HD 218915     	 	O9.2 	Iab          	 4.14	 0.05	31.10	 0.50	 3.22	 0.04	47.00	 0.88	 4.59	27.49	 0.92	 2.10	 0.78	 0.02	 0.03	-5.61	 0.20	 0.10	 63.0	 88.0	  2	  1	  2	HD 218915        	347.77895	+53.05824
1	HD 225146     	 	O9.7 	Iab          	 4.09	 0.10	28.30	 0.60	 3.11	 0.09	36.40	 0.55	 5.29	26.62	 0.56	 3.20	 0.85	 0.03	 0.03	-5.87	 0.28	 0.34	 67.0	 88.0	  2	  1	  2	HD 225146        	000.98959	+61.10364
1	HD 228841     	 	O6.5 	V n((f))     	 3.82	 0.15	37.70	 1.40	 3.88	 0.13	29.00	 0.48	 3.93	 9.55	 0.52	 1.31	 0.56	 0.11	 0.15	-6.26	 0.31	 0.30	317.0	     	  2	  1	  2	HD 228841        	304.62373	+38.87772
1	HD 34078      	 	O9.5 	V            	 3.47	 0.15	34.50	 0.80	 4.07	 0.14	20.40	 0.63	 1.22	 6.65	 0.84	 0.85	 0.38	 0.10	 0.21	-7.34	 0.25	 0.21	 13.0	 32.0	  2	  1	  1	HD 34078         	079.07562	+34.31232
1	HD 34656      	 	O7.5 	II (f)       	 4.12	 0.05	36.00	 0.50	 3.50	 0.04	51.00	 0.37	 5.42	20.78	 0.05	 1.70	 0.68	 0.02	 0.03	-5.40	 0.07	 0.17	 67.0	 77.0	  2	  1	  1	HD 34656         	080.17950	+37.43867
1	HD 36861      	 	O8   	III ((f))    	 4.06	 0.05	35.20	 0.50	 3.52	 0.04	43.40	 0.32	 3.68	19.07	 0.30	 1.59	 0.70	 0.02	 0.01	-5.65	 0.11	 0.12	 52.0	 77.0	  2	  1	  1	HD 36861         	083.78448	+09.93416
1	HD 38666      	 	O9.5 	V            	 3.59	 0.05	33.90	 0.50	 3.92	 0.04	22.00	 0.08	 0.65	 8.44	 0.48	 0.36	 0.54	 0.04	 0.03	-6.97	 0.11	 0.10	111.0	 56.0	  1	  1	  4	HD 38666         	086.49956	-32.30643
1	HD 41161      	 	O8   	V n          	 3.74	 0.06	35.20	 0.60	 3.84	 0.05	26.40	 0.72	 2.33	10.01	 0.73	 0.67	 0.61	 0.06	 0.06	-6.46	 0.13	 0.11	331.0	     	  2	  1	  1	HD 41161         	091.46857	+48.24928
1	HD 46056      	 	O8   	V n          	 3.58	 0.10	35.50	 0.80	 4.01	 0.09	23.40	 0.16	 1.55	 7.05	 0.03	 0.33	 0.49	 0.11	 0.17	-6.91	 0.20	 0.16	370.0	     	  2	  1	  2	HD 46056         	097.83692	+04.83440
1	HD 46150      	 	O5   	V ((f))z     	 4.04	 0.05	41.10	 0.50	 3.81	 0.04	50.60	 0.07	 3.78	14.64	 0.06	 1.16	 0.51	 0.02	 0.02	-5.57	 0.13	 0.09	 60.0	112.0	  2	  1	  1	HD 46150         	097.98134	+04.94286
1	HD 46223      	 	O4   	V ((f))      	 4.16	 0.04	42.20	 0.50	 3.73	 0.04	72.20	 0.70	 6.59	19.25	 0.53	 1.65	 0.47	 0.02	 0.04	-5.15	 0.11	 0.09	 51.0	112.0	  2	  1	  2	HD 46223         	098.03878	+04.82353
1	HD 46485      	 	O7   	V ((f))n var?	 3.74	 0.05	36.10	 0.70	 3.88	 0.04	27.60	 0.00	 2.22	 9.87	 0.54	 0.64	 0.57	 0.05	 0.06	-6.40	 0.09	 0.12	322.0	     	  2	  1	  2	HD 46485         	098.46232	+04.52545
1	HD 47432      	 	O9.7 	Ib           	 4.21	 0.05	29.10	 0.50	 3.04	 0.04	53.00	 0.82	 6.89	36.89	 0.36	 4.51	 0.79	 0.03	 0.05	-5.26	 0.10	 0.37	 97.0	 63.0	  2	  1	  1	HD 47432         	099.65911	+01.61352
1	HD 48279      	 	O8.5 	V Nstr var?  	 3.76	 0.07	36.20	 0.70	 3.86	 0.06	28.20	 0.07	 1.93	10.11	 0.85	 0.77	 0.57	 0.05	 0.04	-6.41	 0.12	 0.16	131.0	 74.0	  2	  1	  2	HD 48279         	100.66895	+01.71618
1	HD 55879      	 	O9.7 	III          	 3.86	 0.05	31.20	 0.50	 3.51	 0.04	27.80	 0.44	 1.88	15.20	 0.93	 0.96	 0.80	 0.01	 0.01	-6.41	 0.11	 0.13	 28.0	 61.0	  2	  1	  2	HD 55879         	108.61772	-10.31625
1	HD 5689       	 	O7   	V n((f))     	 3.93	 0.11	36.80	 1.00	 3.72	 0.10	34.20	 0.61	 4.95	12.63	 0.79	 1.54	 0.65	 0.07	 0.07	-5.99	 0.25	 0.18	255.0	     	  1	  0	  3	HD 5689          	014.94830	+63.60785
1	HD 57682      	 	O9.2 	IV           	 3.44	 0.14	35.00	 0.50	 4.13	 0.14	21.00	 0.06	 1.06	 6.21	 0.90	 0.51	 0.25	 0.13	 0.16	-7.83	 0.22	 0.16	  7.0	 34.0	  2	  1	  2	HD 57682         	110.50856	-08.97938
1	HD 64568      	 	O3   	V ((f*))z    	 4.14	 0.07	46.90	 1.00	 3.93	 0.06	79.40	 1.53	 9.41	15.71	 0.31	 1.67	 0.28	 0.06	 0.06	-5.18	 0.12	 0.13	 75.0	 53.0	  1	  1	  1	HD 64568         	118.40919	-26.23405
1	HD 68450      	 	O9.7 	II           	 4.02	 0.14	30.60	 0.90	 3.31	 0.13	32.20	 0.27	 5.87	20.21	 0.94	 4.34	 0.81	 0.03	 0.03	-6.07	 0.29	 0.32	 39.0	 77.0	  1	  1	  2	HD 68450         	122.75701	-37.29237
1	HD 74920      	 	O7.5 	IV n((f))    	 3.90	 0.06	34.90	 0.50	 3.66	 0.05	31.80	 0.04	 2.84	13.47	 0.85	 1.11	 0.70	 0.05	 0.04	-6.06	 0.10	 0.11	291.0	     	  1	  1	  2	HD 74920         	131.29309	-46.03868
1	HD 76556      	 	O6   	IV (n)((f))p 	 3.80	 0.08	37.90	 0.50	 3.90	 0.08	31.60	 0.28	 2.37	10.03	 0.06	 0.93	 0.51	 0.06	 0.07	-6.24	 0.15	 0.16	239.0	     	  1	  1	  1	HD 76556         	133.77976	-47.60754
1	HD 90273      	 	ON7  	V ((f))      	 3.95	 0.11	38.50	 0.80	 3.78	 0.10	36.80	 0.84	 3.98	12.62	 0.88	 1.81	 0.58	 0.04	 0.05	-5.90	 0.19	 0.25	 55.0	 55.0	  1	  0	  4	HD 90273         	155.93523	-57.64209
1	HD 91572      	 	O6.5 	V ((f))z     	 3.91	 0.08	38.80	 0.50	 3.84	 0.08	36.20	 0.68	 2.83	11.56	 0.57	 1.01	 0.56	 0.03	 0.05	-6.00	 0.16	 0.16	 60.0	 57.0	  1	  1	  2	HD 91572         	158.30111	-58.17046
1	HD 92504      	 	O8.5 	V (n)        	 3.86	 0.06	34.90	 0.80	 3.70	 0.04	30.60	 0.35	 2.38	12.89	 0.76	 0.96	 0.68	 0.02	 0.02	-6.18	 0.13	 0.13	182.0	 63.0	  1	  1	  2	HD 92504         	159.90362	-57.46129
1	HD 93222      	 	O7   	V ((f))      	 4.02	 0.11	36.80	 0.70	 3.63	 0.11	38.60	 0.74	 5.73	15.09	 0.84	 2.28	 0.65	 0.03	 0.02	-5.83	 0.29	 0.19	 50.0	 90.0	  1	  1	  2	HD 93222         	161.15103	-60.09136
1	HD 93250      	 	O4   	IV (fc)      	 4.14	 0.06	45.00	 0.60	 3.86	 0.05	74.20	 1.93	 7.49	16.66	 0.60	 1.59	 0.35	 0.04	 0.03	-5.18	 0.13	 0.11	 70.0	 84.0	  1	  1	  2	HD 93250         	161.18761	-59.56519
1	HD 93843      	 	O5   	III (fc)     	 4.15	 0.06	37.30	 0.60	 3.53	 0.05	55.60	 0.38	 6.47	21.11	 0.50	 2.23	 0.63	 0.03	 0.03	-5.33	 0.15	 0.14	 58.0	120.0	  1	  1	  2	HD 93843         	162.15738	-60.22376
1	HD 96715      	 	O4   	V ((f))z     	 4.10	 0.13	45.20	 1.20	 3.91	 0.12	57.60	 6.07	 8.17	13.31	 0.53	 2.19	 0.34	 0.07	 0.09	-5.45	 0.28	 0.20	 59.0	 86.0	  1	  1	  3	HD 96715         	166.88674	-59.96353
1	HD 97848      	 	O8   	V            	 3.93	 0.07	35.60	 0.60	 3.67	 0.06	33.60	 0.49	 2.45	13.90	 0.37	 1.22	 0.68	 0.02	 0.02	-6.06	 0.17	 0.12	 41.0	 77.0	  1	  1	  3	HD 97848         	168.63293	-59.02468
1	HD 99546      	 	O7.5 	V ((f)) Nstr 	 3.95	 0.06	37.00	 0.50	 3.71	 0.05	37.00	 0.19	 2.61	14.10	 0.00	 1.27	 0.65	 0.01	 0.02	-5.89	 0.10	 0.15	 50.0	 60.0	  1	  0	  3	HD 99546         	171.65377	-59.43711
1	HDE 242926    	 	O7   	V z          	 3.68	 0.11	39.00	 0.70	 4.07	 0.11	29.40	 0.25	 1.91	 7.89	 0.01	 0.70	 0.29	 0.12	 0.12	-6.57	 0.18	 0.20	 89.0	 52.0	  1	  1	  1	HDE 242926       	080.66706	+33.31928
1	HDE 303308    	 	O4.5 	V ((fc))     	 3.95	 0.09	41.10	 0.90	 3.90	 0.08	41.80	 0.00	 4.80	11.79	 0.38	 1.38	 0.48	 0.05	 0.07	-5.87	 0.21	 0.15	 85.0	 67.0	  1	  1	  1	HDE 303308       	161.27464	-59.66831
1	HD 155913     	 	O4.5 	V n((f))     	 3.88	 0.13	42.50	 1.50	 4.02	 0.11	38.20	 0.64	 4.28	 9.31	 0.60	 0.88	 0.37	 0.18	 0.20	-5.94	 0.22	 0.23	278.0	     	  1	  1	  2	HD 155913        	259.10972	-42.66781
1	HD 192281     	 	O4.5 	IV (n)(f)    	 4.01	 0.09	40.80	 1.10	 3.82	 0.07	38.60	 0.88	 5.71	12.18	 0.42	 1.20	 0.79	 0.03	 0.30	-5.68	 0.13	 0.16	277.0	     	  2	  1	  5	HD 192281        	303.13800	+40.26818
1	HD 206183     	 	O9.5 	IV-V         	 3.47	 0.09	33.80	 0.50	 4.04	 0.09	20.00	 0.91	 0.91	 6.80	 0.77	 0.49	 0.42	 0.08	 0.11	-7.31	 0.14	 0.18	  8.0	 29.0	  2	  1	  2	HD 206183        	324.60952	+56.97374
1	HD 210809     	 	O9   	Iab          	 4.23	 0.06	30.90	 0.50	 3.12	 0.05	60.40	 1.01	 9.85	34.34	 0.81	 3.73	 0.71	 0.06	 0.01	-5.83	 0.23	 0.05	 70.0	105.0	  2	  1	  2	HD 210809        	332.91084	+52.42999
