#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T18:05:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T18:05:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/275/2/table2&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22750002
#Name: J/ApJS/275/2
#Title: Galactic O-type stars with IACOB, GOSSS and TESS (Shen+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/apjs/275/2	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/275/2	    IVOID of underlying data collection
#INFO	creator=Shen D.-X.	    First author or institution
#INFO	cites=bibcode:2024ApJS..275....2S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/275/2	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8k-2	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_275_2_table2:
#Name: J/ApJS/275/2/table2
#Title: Results of stochastic low-frequency (SLF) variability for stars of our sample
#Column	Name	(a14)	Star Name as in Table 1	[ucd=meta.id;meta.main]
#Column	m_Name	(A4)	[AabB ] Star name component	[ucd=meta.code.multip]
#Column	OName	(a11)	Other name (column added by CDS)	[ucd=meta.id]
#Column	Sec	(I2)	[5/65] TESS sector	[ucd=meta.id;obs]
#Column	alpha0	(F8.2)	[36.7/19698] Scaling factor {alpha}_0_, amplitude at zero frequency	[ucd=arith.factor;src.var.amplitude]
#Column	E_alpha0	(F7.2)	[2/5492] Upper Uncertainty in alpha0	[ucd=stat.error;stat.max;src.var.amplitude]
#Column	e_alpha0	(F7.2)	[1.9/3905] Lower Uncertainty in alpha0	[ucd=stat.error;stat.min;src.var.amplitude]
#Column	nu-char	(F5.2)	[0.1/15.7] Characteristic frequency, {nu}_{char}_	[ucd=em.freq;src.var]
#Column	E_nu-char	(F5.2)	[0.02/1.7] Upper Uncertainty in nu-char	[ucd=stat.error;stat.max;em.freq]
#Column	e_nu-char	(F5.2)	[0.02/1.7] Lower Uncertainty in nu-char	[ucd=stat.error;stat.min;em.freq]
#Column	gamma	(F5.2)	[0.6/3] Logarithmic amplitude gradient	[ucd=arith.grad;src.var.amplitude]
#Column	E_gamma	(F5.2)	[0.01/0.2] Upper Uncertainty in gamma	[ucd=stat.error;stat.max;arith.grad]
#Column	e_gamma	(F5.2)	[0.01/0.2] Lower Uncertainty in gamma	[ucd=stat.error;stat.min;arith.grad]
#Column	Cw	(F5.2)	[0.69/33] White noise term	[ucd=instr.det.noise]
#Column	E_Cw	(F5.2)	[0/0.3] Upper Uncertainty in Cw	[ucd=stat.error;stat.max;instr.det.noise]
#Column	e_Cw	(F5.2)	[0/0.3] Lower Uncertainty in Cw	[ucd=stat.error;stat.min;instr.det.noise]
Name	m_Name	OName	Sec	alpha0	E_alpha0	e_alpha0	nu-char	E_nu-char	e_nu-char	gamma	E_gamma	e_gamma	Cw	E_Cw	e_Cw
HD 191978     	    	           	15	  193.94	  17.12	  15.06	 1.39	 0.14	 0.13	 1.48	 0.03	 0.03	 7.03	 0.03	 0.03
HD 192001     	    	           	14	  242.42	  24.98	  21.71	 1.04	 0.14	 0.12	 1.25	 0.03	 0.03	 7.14	 0.04	 0.04
HD 193595     	    	           	14	  151.31	   8.93	   8.13	 3.47	 0.24	 0.23	 1.66	 0.04	 0.04	 8.10	 0.04	 0.04
HD 193595     	    	           	15	  295.35	  24.86	  21.79	 1.76	 0.18	 0.17	 1.47	 0.03	 0.03	 8.28	 0.04	 0.04
HD 207198     	    	           	16	  866.89	  64.30	  58.68	 1.37	 0.08	 0.08	 1.79	 0.02	 0.02	 5.31	 0.02	 0.02
HD 207198     	    	           	17	 1681.05	 167.13	 141.24	 0.85	 0.07	 0.07	 1.51	 0.02	 0.02	 8.37	 0.05	 0.05
HD 207198     	    	           	24	  819.18	  41.61	  38.80	 2.71	 0.10	 0.10	 2.42	 0.04	 0.04	 7.72	 0.03	 0.03
HD 209975     	    	           	16	 1155.35	 106.68	  92.31	 0.92	 0.07	 0.07	 1.72	 0.02	 0.02	 5.15	 0.02	 0.02
HD 209975     	    	           	17	 2093.36	 413.30	 314.30	 0.20	 0.04	 0.04	 1.10	 0.01	 0.01	 4.81	 0.05	 0.05
HD 209975     	    	           	24	  646.85	  42.17	  37.22	 1.72	 0.08	 0.08	 2.36	 0.04	 0.04	 5.00	 0.02	 0.02
HD 210839     	    	           	16	  751.00	  47.19	  43.43	 1.85	 0.08	 0.08	 2.29	 0.03	 0.03	 4.36	 0.02	 0.02
HD 210839     	    	           	17	 1092.88	  72.67	  65.74	 1.75	 0.09	 0.09	 2.12	 0.03	 0.03	 7.11	 0.03	 0.03
HD 210839     	    	           	24	  695.52	  34.93	  31.95	 2.65	 0.09	 0.09	 2.83	 0.05	 0.05	 7.07	 0.02	 0.03
HD 214680     	    	           	16	  107.76	  25.03	  18.26	 0.23	 0.06	 0.05	 1.10	 0.03	 0.03	 1.94	 0.01	 0.01
HD 216532     	    	           	17	   72.80	   4.98	   4.46	 3.07	 0.24	 0.24	 1.97	 0.09	 0.08	 7.29	 0.03	 0.03
HD 216532     	    	           	24	   83.89	   6.42	   5.70	 2.50	 0.23	 0.23	 1.81	 0.07	 0.07	 6.72	 0.03	 0.03
HD 217086     	    	           	17	  233.62	  10.31	   9.47	 4.87	 0.20	 0.20	 2.03	 0.03	 0.03	 6.25	 0.03	 0.03
HD 217086     	    	           	18	  715.24	  53.92	  47.48	 1.70	 0.12	 0.12	 1.56	 0.02	 0.02	 7.80	 0.05	 0.05
HD 217086     	    	           	24	  200.06	   7.90	   7.43	 5.59	 0.20	 0.20	 2.41	 0.05	 0.04	 7.11	 0.03	 0.03
HD 218915     	    	           	16	 2550.79	 214.10	 188.57	 1.03	 0.06	 0.06	 2.05	 0.03	 0.03	 9.40	 0.04	 0.04
HD 218915     	    	           	17	 5994.73	1076.01	 814.78	 0.26	 0.04	 0.04	 1.31	 0.01	 0.01	12.24	 0.07	 0.07
HD 225146     	    	           	17	12852.60	3611.48	2507.19	 0.12	 0.03	 0.03	 1.21	 0.02	 0.02	21.66	 0.14	 0.14
HD 225146     	    	           	18	19697.75	5491.95	3904.47	 0.11	 0.03	 0.02	 1.26	 0.01	 0.01	18.31	 0.12	 0.12
HD 228841     	    	           	14	  232.84	   9.76	   9.12	 5.34	 0.22	 0.21	 2.17	 0.04	 0.04	 9.20	 0.04	 0.04
HD 228841     	    	           	15	  276.32	  12.23	  11.12	 4.79	 0.20	 0.20	 2.13	 0.04	 0.04	 8.90	 0.04	 0.04
HD 34078      	    	           	19	  163.36	  34.33	  25.86	 0.25	 0.05	 0.05	 1.47	 0.05	 0.05	 3.74	 0.01	 0.01
HD 34656      	    	           	19	  854.25	  54.41	  48.46	 2.08	 0.11	 0.11	 1.79	 0.03	 0.02	 8.66	 0.04	 0.04
HD 36861      	A   	           	 6	  246.90	  28.37	  23.64	 0.80	 0.10	 0.10	 1.18	 0.02	 0.02	 1.20	 0.01	 0.01
HD 38666      	    	           	 5	   36.74	   2.07	   1.90	 3.31	 0.20	 0.20	 1.76	 0.04	 0.04	 1.96	 0.01	 0.01
HD 38666      	    	           	 6	   64.46	   5.23	   4.59	 2.08	 0.18	 0.18	 1.66	 0.04	 0.04	 2.35	 0.01	 0.01
HD 38666      	    	           	32	   46.80	   3.42	   3.03	 2.25	 0.19	 0.18	 1.67	 0.04	 0.04	 2.37	 0.01	 0.01
HD 38666      	    	           	33	   47.63	   3.08	   2.75	 2.58	 0.18	 0.17	 1.80	 0.04	 0.04	 2.07	 0.01	 0.01
HD 41161      	    	           	19	  221.85	   8.50	   8.10	 5.86	 0.19	 0.19	 2.39	 0.04	 0.04	 5.12	 0.02	 0.02
HD 46056      	    	           	 6	   78.94	   3.95	   3.65	 5.97	 0.33	 0.33	 2.08	 0.07	 0.06	 6.95	 0.03	 0.03
HD 46056      	    	           	33	   49.26	   2.08	   1.91	 7.92	 0.34	 0.35	 2.54	 0.10	 0.09	 7.36	 0.03	 0.03
HD 46150      	    	           	 6	  140.92	   6.53	   6.20	 5.21	 0.23	 0.23	 2.15	 0.04	 0.04	 4.79	 0.02	 0.02
HD 46223      	    	           	 6	  226.04	  10.31	   9.47	 5.41	 0.23	 0.23	 2.23	 0.04	 0.04	 6.97	 0.03	 0.03
HD 46223      	    	           	33	  225.56	   9.04	   8.56	 5.51	 0.20	 0.19	 2.37	 0.04	 0.04	 6.50	 0.03	 0.03
HD 46485      	    	           	 6	  745.26	  45.00	  41.43	 2.46	 0.12	 0.11	 2.15	 0.03	 0.03	 8.28	 0.04	 0.03
HD 46485      	    	           	33	  695.62	  37.83	  34.90	 2.51	 0.10	 0.10	 2.17	 0.03	 0.03	 7.67	 0.03	 0.03
HD 47432      	    	           	33	 6386.69	1096.41	 843.26	 0.27	 0.03	 0.03	 1.50	 0.01	 0.01	 4.36	 0.02	 0.02
HD 48279      	    	           	 6	  161.32	   9.14	   8.43	 3.84	 0.21	 0.21	 2.06	 0.04	 0.04	 5.50	 0.02	 0.02
HD 48279      	    	           	33	  169.64	   8.79	   7.95	 3.69	 0.18	 0.17	 2.10	 0.04	 0.04	 4.19	 0.02	 0.02
HD 55879      	    	           	 7	  128.18	   8.37	   7.48	 2.61	 0.17	 0.17	 1.76	 0.03	 0.03	 2.50	 0.01	 0.01
HD 55879      	    	           	33	  145.21	   8.24	   7.49	 3.17	 0.18	 0.18	 1.86	 0.03	 0.03	 2.86	 0.01	 0.01
HD 5689       	    	           	18	  828.68	  59.62	  53.26	 1.81	 0.13	 0.13	 1.53	 0.02	 0.02	11.98	 0.07	 0.07
HD 5689       	    	           	24	  394.02	  17.12	  15.85	 4.40	 0.15	 0.15	 2.61	 0.05	 0.05	10.29	 0.04	 0.04
HD 5689       	    	           	25	  358.08	  15.20	  14.23	 4.71	 0.17	 0.17	 2.52	 0.05	 0.05	10.54	 0.04	 0.04
HD 57682      	    	           	 7	  205.02	  19.50	  17.01	 1.36	 0.15	 0.14	 1.43	 0.03	 0.03	 3.57	 0.02	 0.02
HD 57682      	    	           	34	  280.18	  32.72	  26.95	 0.87	 0.11	 0.11	 1.35	 0.03	 0.03	 5.32	 0.03	 0.03
HD 64568      	    	           	34	  119.97	   6.46	   5.87	 5.18	 0.32	 0.31	 2.08	 0.07	 0.07	12.58	 0.05	 0.05
HD 68450      	    	           	34	  483.21	  24.67	  22.89	 2.95	 0.12	 0.12	 2.16	 0.03	 0.03	 3.72	 0.02	 0.02
HD 68450      	    	           	35	  842.42	  58.08	  51.66	 1.68	 0.10	 0.10	 1.64	 0.02	 0.02	 3.84	 0.02	 0.02
HD 74920      	    	           	 8	 1186.51	  84.68	  75.35	 1.67	 0.11	 0.11	 1.53	 0.02	 0.02	 7.41	 0.05	 0.05
HD 74920      	    	           	 9	  393.47	  16.50	  15.25	 4.44	 0.14	 0.14	 2.40	 0.03	 0.03	 5.34	 0.02	 0.02
HD 76556      	    	           	 8	 1487.44	 151.33	 131.68	 0.81	 0.08	 0.07	 1.37	 0.01	 0.01	 5.63	 0.04	 0.04
HD 90273      	    	           	 9	  602.07	  84.35	  69.41	 0.64	 0.13	 0.12	 0.96	 0.02	 0.02	 9.68	 0.13	 0.14
HD 90273      	    	           	10	  205.18	  12.30	  11.33	 3.20	 0.21	 0.21	 1.83	 0.05	 0.05	11.19	 0.05	 0.05
HD 90273      	    	           	36	  201.55	  12.91	  11.66	 3.05	 0.22	 0.21	 1.80	 0.05	 0.04	 8.92	 0.04	 0.04
HD 90273      	    	           	37	  148.34	   7.20	   6.57	 4.65	 0.22	 0.22	 2.17	 0.05	 0.05	 8.46	 0.03	 0.03
HD 91572      	    	           	36	 4217.43	1284.92	 885.01	 0.10	 0.03	 0.02	 1.22	 0.02	 0.02	 8.49	 0.04	 0.04
HD 91572      	    	           	37	  755.79	 105.58	  85.88	 0.58	 0.08	 0.08	 1.43	 0.03	 0.03	11.43	 0.05	 0.05
HD 92504      	    	           	36	  107.18	   6.42	   5.79	 3.32	 0.21	 0.21	 1.83	 0.05	 0.05	 7.89	 0.03	 0.03
HD 92504      	    	           	37	  117.32	   6.15	   5.84	 3.61	 0.20	 0.19	 2.04	 0.05	 0.05	 6.89	 0.03	 0.03
HD 93222      	AB  	           	36	  341.68	  23.65	  20.90	 2.14	 0.14	 0.14	 1.79	 0.03	 0.03	 6.67	 0.03	 0.03
HD 93222      	AB  	           	37	  220.09	  13.88	  12.51	 2.79	 0.18	 0.18	 1.85	 0.04	 0.04	 8.71	 0.04	 0.04
HD 93250      	AB  	           	36	  195.49	   8.42	   7.67	 5.01	 0.18	 0.18	 2.50	 0.05	 0.05	 5.54	 0.02	 0.02
HD 93250      	AB  	           	37	  208.56	   8.67	   8.22	 4.80	 0.17	 0.17	 2.40	 0.04	 0.04	 4.57	 0.02	 0.02
HD 93843      	    	           	10	  563.27	  30.20	  28.14	 2.85	 0.14	 0.13	 1.97	 0.03	 0.03	 8.49	 0.04	 0.04
HD 93843      	    	           	11	  997.37	  72.44	  65.28	 1.39	 0.09	 0.09	 1.53	 0.02	 0.02	 6.33	 0.04	 0.04
HD 96715      	    	           	10	  114.67	   4.43	   4.19	 7.09	 0.28	 0.27	 2.23	 0.05	 0.05	 7.40	 0.03	 0.03
HD 96715      	    	           	11	  145.89	   6.36	   5.96	 5.50	 0.26	 0.25	 1.98	 0.04	 0.04	 7.25	 0.03	 0.03
HD 96715      	    	           	37	  115.62	   4.42	   4.16	 7.32	 0.28	 0.26	 2.41	 0.06	 0.05	 6.83	 0.03	 0.03
HD 97848      	    	           	10	  405.54	  48.01	  40.15	 0.90	 0.13	 0.12	 1.26	 0.03	 0.03	10.91	 0.06	 0.06
HD 97848      	    	           	11	  272.05	  21.93	  19.19	 1.69	 0.16	 0.15	 1.49	 0.04	 0.03	 9.27	 0.04	 0.04
HD 97848      	    	           	37	  223.63	  15.14	  13.95	 2.46	 0.18	 0.17	 1.81	 0.04	 0.04	 8.04	 0.03	 0.03
HD 99546      	    	           	10	  151.59	  11.25	  10.14	 2.31	 0.21	 0.20	 1.55	 0.04	 0.04	 7.39	 0.04	 0.04
HD 99546      	    	           	11	  308.12	  31.45	  27.24	 1.04	 0.12	 0.11	 1.43	 0.03	 0.03	 6.74	 0.03	 0.03
HD 99546      	    	           	37	  186.45	  13.28	  11.80	 2.30	 0.17	 0.17	 1.79	 0.04	 0.04	 6.23	 0.03	 0.03
HDE 242926    	    	           	19	  240.99	  54.68	  39.22	 0.28	 0.08	 0.07	 1.08	 0.04	 0.04	11.62	 0.06	 0.06
HDE 303308    	AB  	           	36	  323.82	  35.16	  30.15	 0.71	 0.07	 0.07	 1.35	 0.02	 0.02	 1.70	 0.01	 0.01
HD 155913     	    	           	39	  210.32	   7.66	   7.11	 6.44	 0.21	 0.21	 2.43	 0.05	 0.05	 9.72	 0.04	 0.04
HD 155913     	    	           	12	  326.84	  17.32	  15.82	 3.50	 0.22	 0.22	 1.39	 0.02	 0.02	 8.96	 0.07	 0.07
HD 192281     	    	           	14	  481.18	  23.65	  22.13	 3.26	 0.15	 0.14	 1.82	 0.02	 0.02	 6.87	 0.04	 0.04
HD 192281     	    	           	15	  341.10	  13.20	  12.59	 5.18	 0.16	 0.16	 2.45	 0.04	 0.04	 6.17	 0.02	 0.02
HD 192281     	    	           	41	  302.53	  10.18	   9.60	 6.22	 0.15	 0.15	 2.80	 0.04	 0.04	 3.95	 0.01	 0.01
HD 192281     	    	           	54	  392.08	  16.04	  14.94	 4.45	 0.15	 0.15	 2.26	 0.03	 0.03	 4.67	 0.02	 0.02
HD 192281     	    	           	55	  304.65	  10.10	   9.70	 6.08	 0.15	 0.15	 2.77	 0.04	 0.04	 4.27	 0.02	 0.02
HD 206183     	    	           	56	   51.79	   9.59	   7.42	 0.37	 0.07	 0.07	 1.74	 0.13	 0.12	 4.23	 0.02	 0.02
HD 206183     	    	           	57	   74.91	  11.89	   9.36	 0.51	 0.09	 0.08	 1.54	 0.07	 0.07	 4.29	 0.02	 0.02
HD 210809     	    	           	56	 5332.04	 681.72	 545.97	 0.44	 0.04	 0.04	 1.55	 0.01	 0.01	 5.07	 0.04	 0.04
HD 210809     	    	           	57	 5697.38	 678.42	 577.48	 0.43	 0.04	 0.04	 1.61	 0.01	 0.01	 5.19	 0.04	 0.04
HD 207538     	    	           	56	  236.51	  35.10	  29.04	 0.43	 0.07	 0.06	 1.33	 0.03	 0.03	 3.48	 0.02	 0.02
HD 207538     	    	           	57	  359.76	  58.25	  46.22	 0.38	 0.07	 0.06	 1.31	 0.03	 0.03	 4.93	 0.03	 0.03
BD +60 2522   	    	           	57	 2471.48	 180.36	 163.20	 1.16	 0.06	 0.06	 1.85	 0.02	 0.02	 7.24	 0.05	 0.05
BD +60 2522   	    	           	58	 1623.11	 102.21	  92.14	 1.62	 0.07	 0.07	 2.11	 0.03	 0.03	 6.79	 0.04	 0.04
HD 225160     	    	           	57	 4078.63	 422.63	 366.29	 0.60	 0.05	 0.05	 1.61	 0.02	 0.02	 6.39	 0.05	 0.05
HD 225160     	    	           	58	 2327.40	 172.07	 157.51	 1.14	 0.06	 0.06	 2.08	 0.03	 0.03	 6.81	 0.04	 0.04
BD +60 261    	    	           	58	  641.62	  45.61	  41.57	 1.53	 0.09	 0.09	 2.04	 0.04	 0.04	 7.78	 0.04	 0.04
HD 13022      	    	           	58	 1134.29	  69.56	  63.92	 1.83	 0.09	 0.09	 2.04	 0.03	 0.03	 8.81	 0.05	 0.05
HD 12993      	    	           	58	  147.66	   8.61	   7.97	 3.46	 0.24	 0.24	 1.71	 0.05	 0.05	 8.26	 0.06	 0.06
HD 13268      	    	           	58	  363.98	  14.73	  13.99	 4.53	 0.16	 0.16	 2.44	 0.04	 0.04	 8.77	 0.05	 0.05
HD 14442      	    	           	58	  608.57	  25.62	  23.76	 4.08	 0.13	 0.13	 2.60	 0.04	 0.04	 8.46	 0.04	 0.04
BD +62 424    	    	           	58	  229.23	  10.37	   9.50	 4.55	 0.20	 0.20	 2.24	 0.05	 0.05	 7.29	 0.04	 0.04
BD +62 424    	    	           	59	 3425.19	 460.12	 371.07	 0.50	 0.06	 0.06	 1.54	 0.02	 0.02	13.63	 0.09	 0.09
HD 13745      	    	           	58	 1694.79	 117.84	 108.27	 1.34	 0.07	 0.07	 2.01	 0.03	 0.03	 6.32	 0.04	 0.04
BD +60 498    	    	           	58	  168.70	  41.41	  29.47	 0.26	 0.07	 0.06	 1.38	 0.07	 0.07	 8.06	 0.04	 0.04
BD +60 499    	    	           	58	   64.41	  12.49	   9.51	 0.53	 0.13	 0.11	 1.56	 0.13	 0.11	 7.96	 0.04	 0.04
BD +60 501    	    	           	58	  463.81	  26.50	  23.87	 2.38	 0.11	 0.11	 2.10	 0.04	 0.03	 6.70	 0.04	 0.04
HD 14947      	    	           	58	 2574.90	 208.62	 186.70	 1.00	 0.06	 0.06	 1.82	 0.02	 0.02	 8.34	 0.05	 0.05
HD 15642      	    	           	58	  594.69	  29.46	  27.30	 3.13	 0.13	 0.13	 2.14	 0.03	 0.03	 7.92	 0.04	 0.04
HD 18409      	    	           	58	 2807.26	 223.30	 198.07	 1.06	 0.06	 0.06	 1.99	 0.02	 0.02	 6.93	 0.04	 0.04
HD 18409      	    	           	59	 4335.43	 514.04	 435.16	 0.54	 0.06	 0.05	 1.41	 0.01	 0.01	 7.41	 0.08	 0.08
HD 16832      	    	           	58	  322.28	  15.06	  14.02	 3.57	 0.14	 0.14	 2.37	 0.04	 0.04	 7.22	 0.04	 0.04
HD 24431      	    	           	59	  211.67	   9.09	   8.57	 4.19	 0.15	 0.15	 2.35	 0.04	 0.04	 2.94	 0.02	 0.02
HD 46573      	    	           	 6	  307.18	  16.28	  15.30	 3.62	 0.18	 0.18	 1.96	 0.03	 0.03	 5.83	 0.03	 0.03
HD 46573      	    	           	33	  256.34	  11.28	  10.42	 4.50	 0.17	 0.18	 2.20	 0.03	 0.03	 4.94	 0.02	 0.02
