#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T16:56:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T16:56:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/701/A297/tablee1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37010297
#Name: J/A+A/701/A297
#Title: Microturbulence across the HR Diagram (Markova+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/701/a297	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/701/a297	    IVOID of underlying data collection
#INFO	creator=Markova N.	    First author or institution
#INFO	cites=bibcode:2025A&A...701A.297M	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/701/A297	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-nx/lcjh	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_701_A297_tablee1:
#Name: J/A+A/701/A297/tablee1
#Title: Effective temperature, surface equatorial gravity, micro-turbulent velocity and spectroscopic luminosity of non-pulsating Galactic stars
#Column	ID	(a11)	Star name/Star identifier	[ucd=meta.id;meta.main]
#Column	Teff	(F5.2)	Effective temperature (1)	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Logarithm of surface equatorial gravity	[ucd=phys.gravity]
#Column	Vmic	(F5.2)	Micro-turbulent velocity (2)	[ucd=phys.veloc.microTurb]
#Column	logLsp	(F5.2)	Logarithm of spectroscopic luminosity (G1)	[ucd=phys.luminosity]
#Column	SpType	(A2)	Spectral type (4)	[ucd=src.spType]
ID	Teff	logg	Vmic	logLsp	SpType
hd444865   	30.00	 3.46	10.00	 3.84	 o
hd152249   	31.50	 3.21	12.00	 4.17	 o
hd76968    	31.00	 3.25	15.00	 4.11	 o
hd152003   	30.05	 3.16	17.00	 4.14	 o
hd75222    	30.00	 3.16	16.00	 4.14	 o
HD37128    	27.00	 2.90	12.00	 4.22	 b
HD91969    	27.50	 2.95	 7.50	 4.20	 b
HD94909    	27.00	 2.90	10.00	 4.22	 b
HD122879   	28.00	 2.95	15.00	 4.23	 b
HD38771    	26.50	 2.90	12.50	 4.18	 b
HD152234   	26.00	 2.85	10.00	 4.20	 b
HD2905     	21.50	 2.60	20.00	 4.12	 b
HD154090   	22.50	 2.65	10.00	 4.15	 b
HD13854    	21.50	 2.55	20.00	 4.17	 b
HD91316    	22.00	 2.55	10.00	 4.21	 b
HD14956    	21.00	 2.50	10.00	 4.18	 b
HD152236   	18.00	 2.20	15.00	 4.21	 b
HD14143    	18.00	 2.25	20.00	 4.16	 b
HD14818    	18.50	 2.40	20.00	 4.06	 b
HD41117    	19.00	 2.35	10.00	 4.16	 b
HD194279   	19.00	 2.30	20.00	 4.21	 b
HD14134    	16.00	 2.05	15.00	 4.16	 b
J20314965  	33.00	 4.00	 3.00	 3.46	 o
J20295701  	32.00	 3.60	 7.50	 3.81	 o
J20272428  	30.00	 3.90	 5.20	 3.40	 b
J20334610  	30.00	 3.20	17.00	 4.10	 b
J20314605  	30.00	 4.00	 5.60	 3.30	 b
J20292449  	29.00	 3.70	 6.80	 3.54	 b
BD+404193  	19.00	 3.80	 5.90	 2.71	 b
BD+404210  	18.30	 2.20	13.30	 4.24	 b
HD205794   	26.89	 4.21	 8.00	 2.90	 b
HD217811   	19.07	 3.92	 5.00	 2.59	 b
HD206267   	26.10	 4.21	 5.00	 2.85	 b
HD239742   	22.47	 4.07	 5.00	 2.73	 b
HD206327   	21.90	 3.99	 8.00	 2.76	 b
HD207538   	32.19	 4.32	10.00	 3.10	 b
HD239724   	24.79	 3.83	12.00	 3.14	 b
HD239743   	21.58	 3.99	 8.00	 2.74	 b
BD3880     	30.41	 4.57	 8.00	 2.75	 b
HD344783   	31.01	 4.26	 9.00	 3.10	 b
HD353956   	24.84	 4.25	 8.00	 2.72	 b
HD227460   	27.06	 4.34	 8.00	 2.78	 b
HD227586   	27.83	 4.15	 8.00	 3.02	 b
HD227757   	32.48	 4.22	 8.00	 3.22	 o
HD197512   	23.57	 4.02	 6.00	 2.86	 b
HD202253   	22.75	 3.95	 6.00	 2.87	 b
HD214167   	26.72	 4.00	 6.00	 2.10	 b
HD216916   	23.52	 4.00	 6.00	 2.88	 b
HD217227   	19.00	 4.20	 7.00	 2.31	 b
HD622125   	23.48	 4.05	10.00	 2.82	 b
HD217657   	27.95	 4.38	 8.00	 2.80	 b
HD218342   	30.02	 4.20	 9.00	 3.10	 b
HR1840     	23.80	 4.18	 4.00	 2.72	 b
HR1855     	31.50	 4.13	 2.00	 3.25	 b
HR1861     	27.70	 4.21	 6.00	 2.95	 b
HR1887     	29.20	 4.15	 8.00	 3.10	 b
HR1923     	23.30	 3.89	 5.00	 2.97	 b
HR1950     	25.20	 4.17	 5.00	 2.83	 b
HR2928     	26.20	 3.93	 5.00	 3.13	 b
HR3023     	24.20	 3.97	 3.00	 2.96	 b
HR3055     	30.30	 3.93	10.00	 3.39	 b
HR4853     	28.20	 4.01	12.00	 3.18	 b
HR4898     	21.10	 3.93	11.00	 2.76	 b
HR5285     	22.60	 4.08	 3.00	 2.73	 b
HR5320     	28.80	 4.07	 6.00	 3.16	 b
HR5488     	26.50	 4.05	 7.00	 3.03	 b
HR6165     	31.40	 4.24	 3.00	 3.14	 b
HR6719     	22.70	 3.65	 6.00	 3.16	 b
HR6727     	29.30	 3.69	12.00	 3.53	 b
Br650      	26.35	 3.94	 5.90	 3.13	 b
Br674      	29.15	 3.84	 7.70	 3.41	 b
Br703      	30.95	 4.04	 9.80	 3.31	 b
br931      	28.25	 3.67	 4.40	 3.52	 b
br934      	29.25	 3.99	 7.50	 3.27	 b
Br936      	27.45	 4.09	 0.40	 3.05	 b
Br938      	28.30	 4.07	12.40	 3.13	 b
Br940      	27.70	 4.14	 0.10	 3.02	 b
Br946      	29.65	 4.09	 6.30	 3.19	 b
hd14052    	21.50	 3.00	12.00	 3.72	 b
hd14053    	22.50	 3.20	 9.00	 3.60	 b
hd14443    	21.50	 3.00	12.00	 3.72	 b
bd56502    	23.00	 3.40	 9.00	 3.44	 b
bd56510    	21.50	 3.40	 9.00	 3.32	 b
bd56511    	21.00	 3.10	 9.00	 3.58	 b
bd56576    	22.50	 3.40	 9.00	 3.40	 b
bd56578    	22.50	 3.20	 9.00	 3.60	 b
HD29248    	23.50	 3.75	10.00	 3.12	 b
HD35468    	22.00	 3.50	13.00	 3.26	 b
HD36591    	27.00	 4.00	 3.00	 3.12	 b
HD519      	17.50	 2.75	15.00	 3.61	 b
HD52089    	23.00	 3.30	16.00	 3.54	 b
HD85953    	21.00	 3.80	 1.00	 2.88	 b
HD129929   	24.50	 3.95	 6.00	 3.00	 b
HD149438   	31.50	 4.05	 2.00	 3.33	 b
HD163472   	23.00	 4.00	 1.00	 2.84	 b
HD214993   	24.50	 3.65	10.00	 3.30	 b
HD224055   	17.00	 3.08	15.00	 4.30	 b
HD225094   	18.00	 2.20	 9.00	 4.21	 b
HD53138    	18.50	 2.35	10.00	 4.11	 b
HD14134    	18.00	 2.30	10.00	 4.11	 b
HD36371    	16.50	 2.15	10.00	 4.11	 b
HD58350    	16.00	 2.10	15.00	 4.11	 b
HD170580   	20.00	 4.10	 6.00	 2.49	 b
HD44700    	17.50	 3.80	 6.00	 2.56	 b
HD181074   	20.00	 3.64	12.00	 2.95	 b
HD178744   	14.50	 3.71	 2.00	 2.33	 b
HD43461    	13.50	 3.35	 3.00	 2.56	 b
HD44720    	14.00	 3.96	 3.00	 2.02	 b
HD45153    	11.00	 3.66	 3.00	 1.90	 b
HD45397    	11.50	 3.59	 3.00	 2.04	 b
HD45515    	11.00	 4.18	 3.00	 1.38	 b
HD45418    	16.00	 4.00	 3.00	 2.21	 b
HD46487    	14.50	 3.69	 3.00	 2.35	 b
HD180760   	17.00	 4.05	 6.00	 2.26	 b
HD46138    	12.00	 3.93	 3.00	 1.78	 b
HD49123    	10.00	 3.41	 3.00	 1.98	 b
HD52312    	11.00	 3.04	 3.00	 2.52	 b
HD89767    	23.00	 2.56	18.00	 4.28	 b
HD94909    	25.00	 2.71	20.00	 4.27	 b
HD93619    	26.00	 2.90	15.00	 4.15	 b
HD91943    	24.00	 2.71	15.00	 4.20	 b
HD96880    	20.00	 2.41	15.00	 4.18	 b
HD115363   	20.00	 2.41	15.00	 4.18	 b
HD148688   	21.00	 2.51	15.00	 4.17	 b
HD170938   	20.00	 2.41	15.00	 4.18	 b
HD109867   	23.00	 2.61	15.00	 4.23	 b
HD154043   	20.00	 2.51	13.00	 4.08	 b
HD106343   	20.00	 2.50	15.00	 4.09	 b
HD111990   	19.50	 2.55	15.00	 4.00	 b
HD92964    	18.00	 2.10	15.00	 4.31	 b
HD53138    	17.00	 2.16	15.00	 4.15	 b
HD102997   	16.00	 2.01	12.00	 4.20	 b
HD108659   	16.00	 2.31	10.00	 3.90	 b
HD80558    	13.50	 1.76	11.00	 4.15	 b
HD91024    	12.50	 1.95	 8.00	 3.83	 b
HD94367    	11.50	 1.55	10.00	 4.08	 b
hd122879   	27.20	 2.90	14.00	 4.23	 b
hd149038   	28.50	 3.10	12.00	 4.11	 b
hd167264   	27.50	 3.05	16.00	 4.10	 b
hd115842   	24.80	 2.75	14.00	 4.22	 b
hd150898   	26.40	 3.10	20.00	 3.98	 b
hd94493?   	23.50	 2.95	14.00	 3.92	 b
hd103779   	25.00	 3.00	12.00	 3.98	 b
hd155985   	23.20	 2.95	13.00	 3.95	 b
hd109867   	22.30	 2.75	14.00	 4.03	 b
hd152235   	22.00	 2.65	14.00	 4.11	 b
hd142758   	17.30	 2.25	21.00	 4.09	 b
hd148688   	20.70	 2.45	16.00	 4.20	 b
hd154090   	22.20	 2.70	15.00	 4.08	 b
hd119646   	17.60	 2.50	21.00	 3.87	 b
hd125545   	20.80	 2.75	17.00	 3.91	 b
hd150168   	24.80	 3.15	13.00	 3.82	 b
hd99857    	21.50	 2.95	16.00	 3.77	 b
hd93840    	20.90	 2.75	15.00	 3.92	 b
hd106343   	20.10	 2.50	17.00	 4.10	 b
hd148379   	17.00	 2.00	19.00	 4.31	 b
hd96248    	19.50	 2.40	15.00	 4.15	 b
hd108002   	20.20	 2.60	15.00	 4.01	 b
hd99953    	16.80	 2.15	22.00	 4.14	 b
hd111990   	16.50	 2.40	18.00	 3.86	 b
hd117024   	16.50	 2.55	24.00	 3.71	 b
hd165024   	18.50	 2.70	18.00	 3.76	 b
hd141318   	18.30	 2.90	15.00	 3.54	 b
hd92964    	15.60	 2.00	22.00	 4.16	 b
hd116084   	16.20	 2.25	23.00	 3.98	 b
hd75149    	15.90	 2.20	20.00	 4.00	 b
hd53138    	15.40	 2.15	18.00	 3.99	 b
hd51309    	15.60	 2.40	18.00	 3.76	 b
hd157038   	15.70	 2.00	14.00	 4.17	 b
hd79186    	15.10	 2.00	14.00	 4.11	 b
hd58350    	14.50	 2.10	18.00	 3.94	 b
hd86440    	14.60	 2.55	20.00	 3.50	 b
hd164353   	15.10	 2.50	21.00	 3.61	 b
hd74371    	13.40	 1.90	20.00	 4.00	 b
hd80588    	13.00	 1.70	24.00	 4.15	 b
hd105071   	12.20	 1.85	20.00	 3.89	 b
hd125288   	13.90	 2.55	20.00	 3.41	 b
hd91619    	13.10	 1.70	18.00	 4.16	 b
hd111558   	12.10	 2.00	20.00	 3.72	 b
hd185859   	26.30	 2.96	18.00	 4.11	 b
hd190603   	19.50	 2.36	15.00	 4.19	 b
hd206165   	19.30	 2.51	 8.00	 4.02	 b
hd198478   	17.50	 2.12	 8.00	 4.24	 b
hd191243   	14.80	 2.61	 8.00	 3.46	 b
hd199478   	13.00	 1.73	 8.00	 4.12	 b
hd212593   	11.80	 2.19	 7.00	 3.49	 b
hd202850   	11.00	 1.87	 7.00	 3.69	 b
hd91619    	13.90	 1.85	 8.00	 4.11	 b
hd34085    	12.50	 1.70	 8.00	 4.08	 b
hd96919    	11.00	 1.50	 7.00	 4.06	 b
NGC6611-001	30.30	 3.70	10.00	 3.62	 b
NGC6611-006	31.25	 4.00	 8.00	 3.37	 b
NGC6611-012	27.20	 3.90	 5.00	 3.23	 b
NGC6611-020	27.00	 4.10	 2.00	 3.02	 b
NGC6611-021	26.25	 4.25	 0.00	 2.82	 b
NGC6611-025	25.00	 4.10	 0.00	 2.88	 b
NGC6611-030	22.50	 4.15	 1.00	 2.65	 b
NGC6611-032	22.50	 4.15	 0.00	 2.65	 b
NGC6611-033	25.60	 4.00	 4.00	 3.02	 b
NGC6611-035	27.00	 4.10	 2.00	 3.02	 b
NGC6611-042	22.50	 3.90	 4.00	 2.90	 b
NGC6611-052	19.20	 3.85	 8.00	 2.67	 b
NGC6611-062	18.40	 4.05	 7.00	 2.40	 b
NGC6611-063	22.50	 4.00	 2.00	 2.80	 b
NGC6611-066	20.80	 4.20	 0.00	 2.46	 b
NGC3293-001	26.60	 3.05	23.00	 4.04	 b
NGC3293-002	23.20	 2.80	15.00	 4.05	 b
NGC3293-005	21.50	 3.05	14.00	 3.67	 b
NGC3293-006	21.50	 3.15	15.00	 3.57	 b
NGC3293-008	21.50	 3.25	12.00	 3.47	 b
NGC3293-016	19.20	 4.00	 1.00	 2.52	 b
NGC3293-019	25.00	 3.85	 6.00	 3.13	 b
NGC3293-023	20.50	 3.40	 6.00	 3.24	 b
NGC3293-024	20.50	 3.50	 6.00	 3.14	 b
NGC3293-025	21.10	 3.70	 5.00	 2.99	 b
NGC3293-028	19.40	 3.65	 7.00	 2.89	 b
NGC3293-030	19.80	 3.70	 4.00	 2.88	 b
NGC3293-031	17.40	 3.45	12.00	 2.90	 b
NGC3293-034	26.10	 4.25	 0.00	 2.81	 b
NGC3293-035	20.60	 3.80	 5.00	 2.85	 b
NGC3293-037	20.80	 3.95	 3.00	 2.71	 b
NGC3293-038	20.60	 3.95	 1.00	 2.70	 b
NGC3293-041	20.60	 4.00	 0.00	 2.65	 b
NGC3293-062	17.90	 4.20	 1.00	 2.20	 b
NGC4755-002	15.95	 2.20	18.00	 4.00	 b
NGC4755-003	17.70	 2.50	15.00	 3.88	 b
NGC4755-004	19.55	 2.60	17.00	 3.96	 b
NGC4755-006	19.90	 2.95	17.00	 3.64	 b
NGC4755-015	22.40	 3.70	 5.00	 3.09	 b
NGC4755-016	22.50	 3.80	 5.00	 3.00	 b
NGC4755-017	20.40	 3.90	 3.00	 2.73	 b
NGC4755-020	21.70	 3.95	 1.00	 2.79	 b
NGC4755-023	19.80	 3.95	 1.00	 2.63	 b
NGC4755-026	18.60	 3.95	 6.00	 2.52	 b
NGC4755-029	20.20	 4.00	 0.00	 2.61	 b
NGC4755-033	17.30	 3.85	 6.00	 2.49	 b
NGC4755-040	18.90	 4.10	 2.00	 2.40	 b
NGC4755-048	17.80	 3.95	 4.00	 2.44	 b
HD12301    	12.60	 2.15	 7.00	 3.64	 b
NGC3293-003	20.70	 2.75	15.00	 3.90	 b
NGC3293-004	22.70	 3.13	13.00	 3.68	 b
NGC3293-007	22.70	 3.10	12.00	 3.71	 b
NGC3293-010	21.32	 3.20	10.00	 3.51	 b
NGC3293-012	21.15	 3.30	10.00	 3.39	 b
NGC3293-018	23.25	 3.75	 3.00	 3.11	 b
NGC3293-026	21.70	 3.65	 0.00	 3.09	 b
NGC3293-043	19.50	 4.05	 0.00	 2.50	 b
xxxxxxx-001	32.00	 4.30	 5.00	 3.11	 b
xxxxxxx-002	31.20	 3.95	 8.00	 3.42	 b
xxxxxxx-003	27.00	 4.12	 3.00	 3.00	 b
xxxxxxx-004	26.30	 4.15	 3.00	 2.92	 b
xxxxxxx-005	22.90	 3.60	 5.00	 3.23	 b
xxxxxxx-006	20.80	 4.22	 3.00	 2.44	 b
HD208501   	12.50	 2.30	10.00	 3.48	 b
HD12301    	12.50	 2.30	10.00	 3.48	 b
HD21291    	12.00	 1.80	10.00	 3.91	 b
HD35600    	11.50	 2.10	 4.00	 3.53	 b
HD39970    	10.50	 1.70	 7.00	 3.78	 b
HD21389    	10.50	 1.70	 5.00	 3.78	 b
HD87737    	10.20	 1.90	 5.50	 3.53	 b
HD46300    	10.00	 2.00	 3.50	 3.39	 b
HD12953    	 9.20	 1.15	 8.00	 4.10	 a
HD13476    	 8.50	 1.40	 6.00	 3.71	 a
HD13744    	 9.50	 1.55	 6.00	 3.75	 a
HD14433    	 9.15	 1.40	 7.00	 3.84	 a
HD14489    	 9.35	 1.45	 7.00	 3.82	 a
HD20041    	10.00	 1.65	 7.00	 3.74	 a
HD21291    	10.80	 1.65	 7.00	 3.87	 a
HD39970    	10.30	 1.70	 7.00	 3.74	 a
HD46300    	10.00	 2.15	 3.00	 3.24	 a
HD186745   	12.50	 1.80	 8.00	 3.98	 b
HD187983   	 9.30	 1.60	 7.00	 3.66	 a
HD197345   	 8.70	 1.20	 8.00	 3.95	 a
HD202850   	10.80	 1.85	 6.00	 3.67	 b
HD207260   	 8.80	 1.35	 7.00	 3.82	 a
HD207673   	 9.25	 1.80	 5.00	 3.46	 a
HD208501   	12.70	 1.85	 8.00	 3.96	 b
HD210221   	 8.40	 1.40	 6.00	 3.69	 a
HD212593   	11.20	 2.10	 5.00	 3.49	 b
HD213470   	 8.40	 1.30	 7.00	 3.79	 a
BD+602582  	11.90	 1.85	 7.00	 3.84	 b
HD223960   	10.70	 1.60	 8.00	 3.91	 a
HD195324   	 9.20	 1.85	 4.00	 3.40	 a
HD34085    	12.10	 1.75	 8.00	 3.97	 b
HD87737    	 9.60	 2.05	 4.00	 3.27	 a
HD91533    	 9.10	 1.50	 6.00	 3.73	 a
HD111613   	 9.15	 1.45	 6.00	 3.79	 a
HD149076   	11.10	 2.05	 5.00	 3.52	 b
HD149077   	 9.90	 2.20	 3.00	 3.17	 a
HD165784   	 9.00	 1.50	 7.00	 3.71	 a
HD166167   	 9.60	 2.00	 4.00	 3.32	 a
HD80057    	 9.30	 1.75	 5.00	 3.51	 a
HD102878   	 8.90	 1.50	 6.00	 3.69	 a
HD105071   	12.00	 1.85	 7.00	 3.86	 b
HD106068   	11.60	 1.90	 6.00	 3.75	 b
HD161695   	 9.95	 2.20	 3.00	 3.18	 a
HD87737    	 9.70	 2.00	 4.00	 3.34	 a
HD46300    	 9.70	 2.10	 4.00	 3.24	 a
HD175687   	 9.40	 2.30	 3.00	 2.98	 a
HD207673   	 9.30	 1.75	 5.00	 3.51	 a
HD195324   	 9.30	 1.90	 5.00	 3.36	 a
HD3940     	 9.20	 1.40	 6.00	 3.85	 a
HD14489    	 9.00	 1.40	 8.00	 3.81	 a
HD222275   	 8.50	 2.20	 3.00	 2.91	 a
HD13476    	 8.40	 1.20	 8.00	 3.89	 a
HD15316    	 8.35	 1.20	 7.00	 3.88	 a
HD34578    	 8.30	 1.85	 4.00	 3.22	 a
HD67456    	 8.30	 2.50	 3.00	 2.57	 a
HD147084   	 8.30	 2.00	 4.00	 3.07	 a
HD210221   	 8.20	 1.30	 7.00	 3.75	 a
HD59612    	 8.10	 1.45	 7.00	 3.57	 a
HD58585    	 8.00	 1.80	 4.00	 3.20	 a
HD148743   	 7.80	 1.15	 8.00	 3.81	 a
HD25291    	 7.60	 1.50	 4.00	 3.41	 a
HD196379   	 7.50	 1.60	 5.00	 3.29	 a
HD36673    	 7.40	 1.10	 4.00	 3.77	 a
HD6130     	 7.40	 1.50	 4.00	 3.37	 a
HD197345   	 9.50	 1.50	11.00	 3.80	 a
HD207260   	 9.50	 1.50	10.00	 3.80	 a
HD62623    	 9.50	 1.50	11.00	 3.80	 a
HD13476    	 9.00	 1.50	 8.00	 3.71	 a
HD59612    	 8.50	 2.10	 4.50	 3.01	 a
HD31964    	 7.80	 1.00	 9.00	 3.96	 a
HD36673    	 7.00	 1.30	 3.50	 3.47	 f
HD20902    	 6.25	 0.90	 4.00	 3.67	 f
HD54605    	 6.25	 0.60	 4.00	 3.97	 f
HD194093   	 6.10	 0.55	 4.00	 3.98	 f
HD187929   	 6.00	 1.50	 3.00	 3.00	 f
HD52973    	 5.75	 1.50	 3.00	 2.93	 g
HD448      	 4.96	 3.09	 1.24	 1.08	 g
HD3817     	 5.05	 2.56	 1.42	 1.64	 g
HD3856     	 4.69	 2.13	 1.36	 1.95	 g
HD4627     	 4.64	 2.16	 1.41	 1.90	 g
HD5722     	 4.84	 2.32	 1.38	 1.81	 g
HD11037    	 4.82	 2.37	 1.32	 1.75	 g
HD14129    	 4.94	 2.70	 1.39	 1.46	 g
HD14770    	 4.92	 2.38	 1.51	 1.78	 g
HD4770     	 4.92	 2.38	 1.51	 1.78	 g
HD15920    	 5.06	 2.71	 1.35	 1.50	 g
HD17656    	 5.07	 2.72	 1.39	 1.49	 g
HD19845    	 4.89	 2.75	 1.30	 1.40	 g
HD20791    	 4.87	 2.35	 1.34	 1.79	 g
HD26409    	 4.98	 2.64	 1.43	 1.54	 g
HD30557    	 4.90	 2.71	 1.31	 1.44	 g
HD34559    	 5.04	 2.88	 1.30	 1.32	 g
HD35369    	 4.84	 2.37	 1.37	 1.76	 g
HD39007    	 5.04	 2.84	 1.16	 1.36	 g
HD39364    	 4.64	 2.42	 1.29	 1.64	 g
HD41597    	 4.47	 1.58	 1.44	 2.41	 g
HD43023    	 4.98	 2.63	 1.30	 1.55	 g
HD45415    	 4.85	 2.72	 1.27	 1.42	 g
HD55730    	 4.73	 2.27	 1.32	 1.82	 g
HD57727    	 5.04	 2.98	 1.20	 1.22	 g
HD68077    	 4.94	 2.57	 1.40	 1.60	 g
HD68312    	 5.03	 2.68	 1.27	 1.52	 g
HD68375    	 4.99	 2.65	 1.28	 1.53	 g
HD71088    	 4.91	 2.62	 1.31	 1.53	 g
HD78235    	 5.12	 2.92	 1.19	 1.31	 g
HD79181    	 4.80	 2.28	 1.39	 1.83	 g
HD83805    	 5.03	 2.74	 1.28	 1.46	 g
HD85444    	 5.13	 2.77	 1.34	 1.46	 g
HD100920   	 4.95	 2.74	 1.27	 1.43	 g
HD104985   	 4.88	 2.85	 1.31	 1.29	 g
HD108225   	 5.16	 3.12	 1.21	 1.12	 g
HD109272   	 5.14	 3.23	 1.12	 1.00	 g
HD119126   	 4.83	 2.41	 1.27	 1.72	 g
HD120048   	 5.14	 3.09	 1.20	 1.14	 g
HD129336   	 4.94	 2.63	 1.33	 1.53	 g
HD134190   	 4.84	 2.26	 1.39	 1.87	 g
HD141680   	 4.86	 2.58	 1.37	 1.56	 g
HD152815   	 4.88	 2.43	 1.36	 1.71	 g
HD158974   	 5.03	 2.65	 1.39	 1.55	 g
HD161178   	 4.83	 2.41	 1.31	 1.72	 g
HD163532   	 4.69	 2.12	 1.33	 1.96	 g
HD65760    	 5.00	 2.59	 1.40	 1.60	 g
