#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T17:49:33 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T17:49:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/540/3523/tablea1&-out.max=unlimited&-out.all=2&-out.add=_RAJ2000,_DEJ2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75403523
#Name: J/MNRAS/540/3523
#Title: BLOeM. Physical properties of OB stars (Bestenlehner+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/mnras/540/3523	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/540/3523	    IVOID of underlying data collection
#INFO	creator=Bestenlehner J.M.	    First author or institution
#INFO	cites=bibcode:2025MNRAS.540.3523B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/540/3523	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bg-gw-3e3	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_540_3523_tablea1:
#Name: J/MNRAS/540/3523/tablea1
#Title: Physical parameters of BLOeM OB stars
#Column	_RAJ2000	(F19.15)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F19.15)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	BLOeM	(A5)	BLOeM identifier (N-NNN) (1)	[ucd=meta.id;meta.main]
#Column	SpType	(a17)	Spectral type (1)	[ucd=src.spType]
#Column	RV	(I4)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(F5.1)	? Radial velocity dispersion	[ucd=spect.dopplerVeloc]
#Column	Teff	(F4.1)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	E_Teff	(F4.1)	? Error on Teff (upper)	[ucd=stat.error;stat.max]
#Column	e_Teff	(F4.1)	? Error on Teff (lower)	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	? log surface gravity	[ucd=phys.gravity]
#Column	E_logg	(F5.2)	? Error on logg (upper)	[ucd=stat.error;stat.max]
#Column	e_logg	(F5.2)	? Error on logg (lower)	[ucd=stat.error]
#Column	loggc	(F5.2)	? log surface gravity centrifugal corrected	[ucd=phys.gravity]
#Column	E_loggc	(F5.2)	? Error on logg_c (upper)	[ucd=stat.error;stat.max]
#Column	e_loggc	(F5.2)	? Error on logg_c (lower)	[ucd=stat.error]
#Column	Rstar	(F5.1)	? Stellar radius	[ucd=phys.size.radius]
#Column	E_Rstar	(F4.1)	? Error on stellar radius (upper)	[ucd=stat.error;stat.max]
#Column	e_Rstar	(F4.1)	? Error on stellar radius (lower)	[ucd=stat.error]
#Column	logL	(F5.2)	? Log stellar luminosity	[ucd=phys.luminosity]
#Column	E_logL	(F5.2)	? Error on logL (upper)	[ucd=stat.error;stat.max]
#Column	e_logL	(F5.2)	? Error on logL (lower)	[ucd=stat.error]
#Column	Y	(F5.2)	? He abundance mass fraction	[ucd=phys.abund.Y]
#Column	E_Y	(F5.2)	? Error on Y (upper)	[ucd=stat.error;stat.max]
#Column	e_Y	(F5.2)	? Error on Y (lower)	[ucd=stat.error;pos.cartesian.y]
#Column	vsini	(I3)	? Projected radial velocity	[ucd=spect.dopplerVeloc]
#Column	E_vsini	(I3)	? Error on vsini (upper)	[ucd=stat.error;stat.max]
#Column	e_vsini	(I2)	? Error on vsini (lower)	[ucd=stat.error;phys.veloc.rotat]
#Column	Mspec	(F5.1)	? Spectroscopic mass	[ucd=phys.mass]
#Column	E_Mspec	(F6.1)	? Error on Mspec (upper)	[ucd=stat.error;stat.max]
#Column	e_Mspec	(F5.1)	? Error on Mspec (lower)	[ucd=stat.error]
#Column	Mevol	(F5.1)	? Evolutionary mass (2)	[ucd=phys.mass]
#Column	E_Mevol	(F4.1)	? Error on Mevol (upper)	[ucd=stat.error;stat.max]
#Column	e_Mevol	(F4.1)	? Error on Mevol (lower)	[ucd=stat.error]
#Column	Age	(F4.1)	? Stellar age	[ucd=time.age]
#Column	E_Age	(F4.1)	? Error on age (upper)	[ucd=stat.error;stat.max]
#Column	e_Age	(F4.1)	? Error on age (lower)	[ucd=stat.error;time.age]
#Column	Kmag	(F6.3)	? K-band magnitude (3)	[ucd=phot.mag;em.IR.K]
#Column	AV	(F5.2)	? Visual extinction	[ucd=phys.absorption]
#Column	Notes	(a30)	Notes (4)	[ucd=meta.note]
#Column	_RA	(F17.13)	Data from Shenar et al., 2024, Cat. J/A+A/690/A289 (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F17.13)	Data from Shenar et al., 2024, Cat. J/A+A/690/A289 (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	BLOeM	SpType	RV	s_RV	Teff	E_Teff	e_Teff	logg	E_logg	e_logg	loggc	E_loggc	e_loggc	Rstar	E_Rstar	e_Rstar	logL	E_logL	e_logL	Y	E_Y	e_Y	vsini	E_vsini	e_vsini	Mspec	E_Mspec	e_Mspec	Mevol	E_Mevol	e_Mevol	Age	E_Age	e_Age	Kmag	AV	Notes	_RA	_DE
015.346591183170000	-72.126347067020006	1-013	B1.5III:         	 186	 25.5	28.0	 3.1	 4.7	 3.70	 0.51	 0.46	 3.81	 0.51	 0.46	  6.3	 3.2	 1.9	 4.34	 0.28	 0.31	 0.24	 0.14	 0.09	253	 32	30	  9.4	  41.8	  5.4	 11.2	 2.5	 1.8	 9.0	 5.2	 6.4	16.652	 0.32	SB1                           	015.3465911831700	-72.1263470670200
015.354087049689999	-72.017276573999993	1-014	B1II             	 170	  1.8	23.7	 1.2	 0.8	 3.30	 0.23	 0.17	 3.31	 0.23	 0.17	 13.7	 5.4	 3.2	 4.73	 0.26	 0.26	 0.17	 0.07	 0.02	 53	 76	17	 13.9	  22.4	  5.8	 12.8	 2.2	 2.1	12.8	 2.4	 2.7	15.157	 0.29	SiIV 4089 too weak            	015.3540870496900	-72.0172765740000
015.361739458399999	-72.143641171979993	1-015	B0.2III          	 183	 23.0	29.9	 2.3	 1.5	 3.74	 0.43	 0.24	 3.75	 0.43	 0.24	  9.0	 3.8	 2.3	 4.76	 0.26	 0.27	 0.26	 0.08	 0.08	112	 20	19	 16.7	  51.0	  7.8	 14.8	 2.6	 1.8	 7.2	 2.1	 2.0	15.742	 0.35	SB1                           	015.3617394584000	-72.1436411719800
015.378648733650001	-72.086044548840022	1-017	B1II:            	 147	  1.6	23.7	 1.2	 2.3	 3.70	 0.17	 0.51	 3.70	 0.17	 0.51	 10.6	 4.5	 2.5	 4.50	 0.26	 0.27	 0.20	 0.15	 0.05	 35	 15	16	 20.7	  28.9	 11.8	 10.2	 2.0	 1.4	15.5	 4.3	 2.9	15.712	 0.27	SiIV 4089 too weak            	015.3786487336500	-72.0860445488400
015.385781609889998	-72.154813775679997	1-018	B1II:            	  86	  4.6	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	14.500	     	Be                            	015.3857816098900	-72.1548137756800
015.385950571140006	-72.244660158459993	1-019	B2.5Ib           	 133	  3.4	19.0	 4.7	 1.6	 2.73	 0.46	 0.34	 2.92	 0.46	 0.34	 19.9	 9.8	 8.5	 4.67	 0.32	 0.25	 0.20	 0.16	 0.05	201	 24	24	 11.9	  44.6	  7.1	 12.6	 2.0	 2.8	11.8	 5.4	 3.1	14.518	 0.25	                              	015.3859505711400	-72.2446601584600
015.394798401739999	-72.052674172810001	1-020	B0III            	 167	 27.8	29.9	 2.3	 1.9	 3.69	 0.29	 0.38	 3.70	 0.29	 0.38	 13.8	 5.7	 3.4	 5.13	 0.26	 0.26	 0.20	 0.08	 0.05	113	 19	19	 34.9	  68.8	 18.5	 18.4	 3.9	 3.1	 6.5	 1.4	 1.4	14.817	 0.38	SB1                           	015.3947984017400	-72.0526741728100
015.413597467440001	-72.042003876739997	1-021	B1Ib             	 171	  4.7	23.7	 3.5	 3.1	 3.07	 0.34	 0.29	 3.25	 0.34	 0.29	 14.7	 6.0	 4.5	 4.79	 0.25	 0.25	 0.20	 0.19	 0.05	250	 30	30	 14.2	  33.3	  7.4	 13.4	 3.2	 1.4	 9.9	 3.4	 2.3	14.913	 0.44	                              	015.4135974674400	-72.0420038767400
015.435924154189999	-72.016524623270001	1-022	B1III            	 183	  3.9	29.9	 1.5	 1.1	 4.31	 0.14	 0.24	 4.31	 0.14	 0.24	  4.9	 2.0	 1.2	 4.24	 0.26	 0.26	 0.15	 0.09	 0.00	 36	 18	27	 18.1	  22.1	  8.3	 12.2	 1.3	 1.2	 7.5	 1.7	 4.9	17.079	 0.32	                              	015.4359241541900	-72.0165246232700
015.458072828009998	-72.220776774200004	1-023	O7.5V(n)         	 240	 25.1	35.7	 1.5	 2.3	 4.36	 0.14	 0.81	 4.37	 0.14	 0.81	  9.0	 3.8	 2.1	 5.07	 0.27	 0.27	 0.45	 0.09	 0.05	200	 24	25	 68.9	  86.9	 43.4	 20.1	 3.4	 2.4	 4.3	 1.6	 1.6	15.449	 0.34	SB1                           	015.4580728280100	-72.2207767742000
015.478833620540001	-72.124298698169994	1-024	O8II(f)          	 182	 46.4	35.7	 1.5	 1.5	 4.45	 0.05	 0.43	 4.45	 0.05	 0.43	  7.7	 3.2	 1.8	 4.94	 0.27	 0.27	 0.40	 0.08	 0.05	  0	 26	 0	 61.8	  53.6	 33.5	 19.4	 2.6	 2.3	 4.4	 1.1	 2.0	15.778	 0.36	                              	015.4788336205400	-72.1242986981700
015.488440268910008	-72.211733421890017	1-025	O9.2Ib(n)        	  44	  3.6	28.4	 1.9	 1.5	 2.88	 0.29	 0.14	 3.02	 0.29	 0.15	 22.1	 8.5	 5.2	 5.46	 0.25	 0.25	 0.40	 0.07	 0.13	201	 24	24	 18.3	  34.3	  7.4	 24.3	 5.2	 5.6	 5.3	 1.6	 0.9	13.622	 0.35	                              	015.4884402689100	-72.2117334218900
015.490387299709994	-72.022394780739987	1-026	B1Ib             	 170	  4.4	23.7	 3.9	 1.6	 3.13	 0.46	 0.17	 3.20	 0.46	 0.17	 13.6	 4.3	 4.0	 4.72	 0.23	 0.18	 0.20	 0.09	 0.05	153	 24	24	 10.7	  29.7	  4.9	 14.1	 2.3	 1.5	 9.8	 2.9	 2.0	15.032	 0.46	SiIV 4089 too weak            	015.4903872997100	-72.0223947807400
015.536044819199999	-72.222230702909997	1-027	O7.5V((f))n      	 262	  7.9	33.7	 1.5	 3.0	 3.53	 0.27	 0.54	 3.70	 0.29	 0.54	 11.2	 4.7	 2.6	 5.16	 0.26	 0.27	 0.31	 0.23	 0.08	354	134	31	 22.7	  46.7	 13.1	 19.0	 3.9	 2.1	 5.4	 1.8	 1.2	15.002	 0.37	SB1                           	015.5360448192000	-72.2222307029100
015.540869591470004	-72.006424156649999	1-028	B8Iab-Ia         	 177	  2.8	12.7	 0.4	 0.4	 1.87	 0.17	 0.11	 1.89	 0.30	 0.12	 72.0	13.8	10.3	 5.09	 0.15	 0.15	 0.15	 0.07	 0.00	 35	136	33	 14.5	  18.1	  4.4	 18.8	 2.3	 2.4	 7.7	 2.1	 0.7	12.212	 0.35	Post MS, 2MASS                	015.5408695914700	-72.0064241566500
015.547027099559999	-71.998020531460014	1-029	B2II             	 180	 18.6	23.7	 1.2	 2.0	 3.53	 0.11	 0.40	 3.55	 0.11	 0.40	 12.4	 5.1	 2.9	 4.64	 0.26	 0.26	 0.15	 0.14	 0.00	112	 20	19	 19.9	  21.8	 10.6	 11.6	 2.3	 1.8	13.7	 3.4	 2.9	15.365	 0.30	SB1                           	015.5470270995600	-71.9980205314600
015.548289634449999	-72.125650385089997	1-030	B1II             	 159	  7.1	29.9	 2.3	 5.1	 3.87	 0.40	 0.51	 3.91	 0.40	 0.51	  5.0	 2.5	 1.4	 4.26	 0.28	 0.31	 0.20	 0.13	 0.05	154	 25	25	  7.4	  24.1	  4.3	 11.0	 2.4	 1.7	 7.2	 4.2	 7.2	17.070	 0.31	                              	015.5482896344500	-72.1256503850900
015.555076052540000	-72.096878584519999	1-032	B1.5III:         	 181	 32.3	26.8	 4.3	 3.9	 3.93	 0.40	 0.40	 3.96	 0.40	 0.40	  8.8	 4.4	 3.0	 4.55	 0.30	 0.30	 0.18	 0.11	 0.03	203	 26	25	 25.7	  83.3	 14.7	 12.8	 2.5	 2.5	 9.2	 4.6	 5.0	15.962	 0.29	SB1                           	015.5550760525400	-72.0968785845200
015.560181541990000	-72.187790513379994	1-033	O9.5V:n          	 118	  5.9	30.0	 2.2	 2.2	 3.12	 0.24	 0.29	 3.49	 0.30	 0.29	 10.7	 4.7	 2.7	 4.92	 0.28	 0.28	 0.36	 0.16	 0.14	354	136	28	 12.5	  27.2	  6.2	 17.0	 2.0	 3.0	 7.1	 2.1	 1.6	15.219	 0.32	                              	015.5601815419900	-72.1877905133800
015.564039088199996	-71.996300824320002	1-034	B1II             	 186	  5.5	23.8	 1.1	 2.3	 3.31	 0.29	 0.19	 3.33	 0.29	 0.19	 14.9	 6.1	 3.5	 4.81	 0.25	 0.27	 0.24	 0.07	 0.09	113	 20	19	 17.6	  34.4	  7.6	 12.7	 2.8	 1.9	12.1	 3.0	 2.7	14.918	 0.31	lpv/SB1, SiIV 4089 too weak   	015.5640390882000	-71.9963008243200
015.583152759520001	-72.038726530660000	1-035	B1.5III-II       	 174	  8.9	25.3	 3.8	 2.7	 3.50	 0.29	 0.33	 3.56	 0.29	 0.33	 11.6	 5.5	 3.7	 4.70	 0.29	 0.28	 0.18	 0.11	 0.03	202	 25	24	 18.1	  39.9	  9.9	 12.9	 3.0	 1.7	 9.6	 3.9	 3.2	15.411	 0.30	                              	015.5831527595200	-72.0387265306600
015.589549510559998	-72.004893816899994	1-036	B1.5Ib           	 189	  1.4	22.6	 1.9	 1.9	 2.88	 0.29	 0.29	 2.89	 0.29	 0.29	 31.2	11.2	 7.4	 5.36	 0.23	 0.24	 0.31	 0.11	 0.08	 55	 77	13	 27.5	  49.3	 13.3	 20.6	 6.2	 4.1	 6.1	 2.4	 1.1	13.275	 0.36	                              	015.5895495105600	-72.0048938169000
015.606752995390000	-72.129083906689999	1-037	B1.5III          	 167	 66.5	29.9	 2.0	 7.8	 4.10	 0.29	 0.74	 4.13	 0.29	 0.74	  7.5	 4.3	 2.0	 4.61	 0.27	 0.36	 0.15	 0.10	 0.00	201	 25	25	 27.3	  71.1	 17.1	 12.7	 2.5	 2.5	 7.8	 6.1	 4.1	16.198	 0.36	SB2                           	015.6067529953900	-72.1290839066900
015.621524364810002	-72.024956962649995	1-038	B2.5Ib           	 186	  1.6	20.0	 1.9	 1.9	 2.88	 0.38	 0.19	 2.89	 0.38	 0.19	 22.6	 8.1	 5.5	 4.87	 0.23	 0.23	 0.20	 0.08	 0.05	 35	 57	32	 14.3	  34.3	  6.3	 12.6	 2.7	 1.8	12.5	 3.8	 2.4	14.177	 0.31	                              	015.6215243648100	-72.0249569626500
015.665789551190000	-71.996619843960005	1-040	O9.7III:ne       	  33	 16.2	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	13.299	     	SB1, Oe                       	015.6657895511900	-71.9966198439600
