#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T16:56:05 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T16:56:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/692/A245/table&-out.max=unlimited&-out.all=2&-out.add=_RAJ2000,_DEJ2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36920245
#Name: J/A+A/692/A245
#Title: Hot massive stars parameters (Serebriakova+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/692/a245	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/692/a245	    IVOID of underlying data collection
#INFO	creator=Serebriakova N.	    First author or institution
#INFO	cites=bibcode:2024A&A...692A.245S	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/692/A245	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36920245	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-02-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_692_A245_table:
#Name: J/A+A/692/A245/table
#Title: *Relevant parameters of the sample
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a23)	Object name	[ucd=meta.id;meta.main]
#Column	Teff	(I5)	Effective temperature (rounded) (1)	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	Error in effective temperature (1)	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	Log10 Surface gravity (1)	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	Error in logg (1)	[ucd=stat.error]
#Column	Vsini-sp	(F5.1)	Projected rotational velocity (1) (2)	[ucd=phys.veloc.rotat]
#Column	e_Vsini-sp	(F4.1)	Error in Vsini-sp (1)	[ucd=stat.error]
#Column	Vsini-fourier	(F5.1)	? Projected rotational velocity (Fourier) (3)	[ucd=phys.veloc.rotat]
#Column	e_Vsini-fourier	(F4.1)	? Error in Vsini-fourier	[ucd=stat.error]
#Column	Vmacro	(F5.1)	? Macroturbulent velocity	[ucd=phys.veloc.microTurb]
#Column	e_Vmacro	(F5.1)	? Error in Vmacro	[ucd=stat.error]
#Column	Ls	(F5.2)	Log10 Spectroscopic luminosity Teff^4/g	[ucd=phys.luminosity]
#Column	e_Ls	(F5.2)	Error in Ls	[ucd=stat.error]
#Column	Samp	(A3)	Sample (4)	[ucd=src.sample]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	Name	Teff	e_Teff	logg	e_logg	Vsini-sp	e_Vsini-sp	Vsini-fourier	e_Vsini-fourier	Vmacro	e_Vmacro	Ls	e_Ls	Samp	SimbadName	_RA	_DE
080.4361211	-65.7759336	RMC_97                 	25020	2310	 3.11	 0.23	 84.0	12.3	 63.8	12.2	 46.9	 46.4	 3.87	 0.28	S23	RMC 97                 	080.43612	-65.77593
082.7445817	-70.6935369	HD_269664              	11120	 930	 1.70	 0.19	 35.5	15.2	 36.3	 2.3	 33.2	  1.2	 3.87	 0.24	S23	HD 269664              	082.74458	-70.69354
083.0797678	-66.9979194	HD_269721              	11330	 970	 1.70	 0.20	 43.0	16.0	 33.3	 5.9	 33.3	  2.1	 3.90	 0.25	S23	HD 269721              	083.07977	-66.99792
074.2536861	-66.4070019	BI_42                  	33760	1940	 3.59	 0.24	141.0	18.3	124.3	24.2	155.0	 35.1	 3.91	 0.26	S23	BI 42                  	074.25369	-66.40700
079.2469081	-67.1978672	SK_-67_72              	12480	 750	 1.84	 0.14	 46.5	11.8	 31.9	 2.2	 29.9	  1.2	 3.93	 0.17	S23	SK -67 72              	079.24691	-67.19787
072.9111264	-67.5653061	SK_-67_7               	12460	 760	 1.83	 0.14	 46.5	11.8	 19.2	    	 46.8	  0.3	 3.94	 0.18	S23	SK -67 7               	072.91113	-67.56531
082.5295561	-67.2619992	HD_269639              	11600	 960	 1.70	 0.20	 43.5	14.5	 32.0	 7.0	 35.4	  2.8	 3.94	 0.25	S23	HD 269639              	082.52956	-67.26200
075.3864917	-68.2206250	SK_-68_27              	18630	1880	 2.50	 0.23	 55.0	 9.9	 41.5	 5.2	 42.8	  6.7	 3.96	 0.29	S23	SK -68 27              	075.38649	-68.22062
082.1294858	-67.4076694	SK_-67_127             	14750	 880	 2.09	 0.14	 44.5	11.9	 33.8	 5.5	 30.6	  4.3	 3.97	 0.17	S23	SK -67 127             	082.12949	-67.40767
073.6728422	-69.4365792	SK_-69_31              	11830	 600	 1.70	 0.12	 44.0	 9.7	 32.9	 6.4	 30.5	  0.9	 3.98	 0.15	S23	SK -69 31              	073.67284	-69.43658
074.6430167	-68.7642272	SK_-68_17              	20850	1660	 2.68	 0.18	 44.0	 7.2	 42.1	 6.8	 34.3	 12.0	 3.98	 0.23	S23	SK -68 17              	074.64302	-68.76423
081.5624269	-66.6673231	SK_-66_92              	13480	 750	 1.92	 0.11	 51.5	11.0	 30.8	 3.2	 35.6	  0.2	 3.98	 0.15	S23	SK -66 92              	081.56243	-66.66732
085.2341725	-68.5098947	SK_-68_147             	22900	2420	 2.84	 0.22	 51.0	 8.2	 44.3	 9.4	 37.6	 12.0	 3.98	 0.29	S23	SK -68 147             	085.23417	-68.50989
082.3404628	-67.3364617	SK_-67_133             	16630	 850	 2.28	 0.12	 53.5	10.4	 40.3	 7.7	 35.3	  3.1	 3.99	 0.15	S23	SK -67 133             	082.34046	-67.33646
085.3986489	-69.5995792	SK_-69_275             	23800	3160	 2.90	 0.24	 63.5	 9.5	 61.7	 9.0	 54.1	 22.6	 3.99	 0.33	S23	SK -69 275             	085.39865	-69.59958
083.0032358	-67.3397317	SK_-67_171             	12650	 740	 1.80	 0.12	 47.5	11.5	 30.6	 5.2	 31.0	  1.7	 3.99	 0.16	S23	SK -67 171             	083.00324	-67.33973
084.7747083	-69.2741033	SK_-69_250             	11960	 730	 1.70	 0.15	 34.5	11.8	 34.8	 5.6	 31.9	  1.3	 3.99	 0.18	S23	SK -69 250             	084.77471	-69.27410
083.2025658	-66.4219844	SK_-66_138             	30410	1190	 3.32	 0.18	 72.5	11.7	 66.3	 9.4	 72.5	 61.6	 4.00	 0.19	S23	SK -66 138             	083.20257	-66.42198
082.9506631	-69.2393442	MCPS_082.95108-69.23933	23670	2170	 2.88	 0.21	 53.5	 8.0	 49.6	 9.2	 45.4	  0.5	 4.00	 0.26	S23	MCPS 082.95108-69.23933	082.95066	-69.23934
083.0267364	-69.4490272	SK_-69_180             	24000	2210	 2.90	 0.20	 56.5	 8.4	 48.2	 4.6	 49.7	  7.0	 4.00	 0.26	S23	SK -69 180             	083.02674	-69.44903
083.5126361	-67.0165547	SK_-67_198             	13180	 790	 1.85	 0.12	 56.0	13.2	 39.5	 4.1	 37.3	  2.6	 4.01	 0.16	S23	SK -67 198             	083.51264	-67.01655
086.4942878	-67.8392072	HD_270123              	12150	 770	 1.70	 0.14	 45.0	10.6	 30.0	 5.0	 29.0	  1.0	 4.02	 0.18	S23	HD 270123              	086.49429	-67.83921
085.6235919	-69.4953919	CPD-69_512             	12300	 780	 1.72	 0.13	 48.5	12.0	 29.0	 4.2	 35.2	  2.2	 4.02	 0.17	S23	CPD-69 512             	085.62359	-69.49539
086.4942878	-67.8392072	HD_270123              	12240	1280	 1.70	 0.22	 52.0	17.8	 38.3	 3.3	 38.5	  2.3	 4.03	 0.29	S23	HD 270123              	086.49429	-67.83921
082.9253106	-66.8574633	SK_-66_126             	14440	 560	 1.98	 0.20	 46.5	12.8	 36.5	 4.9	 37.6	  4.2	 4.04	 0.21	S23	SK -66 126             	082.92531	-66.85746
083.9368611	-66.8401936	Dachs_LMC_2-19         	22640	2370	 2.76	 0.21	 62.0	 9.5	 63.1	 6.7	 66.1	  4.2	 4.04	 0.28	S23	Dachs LMC 2-19         	083.93686	-66.84019
078.5080150	-67.4519561	HD_269195              	12300	1250	 1.70	 0.22	 48.0	18.1	 33.8	 3.1	 35.8	  0.3	 4.04	 0.28	S23	HD 269195              	078.50801	-67.45196
082.7349967	-71.0721922	BI_188                 	27720	1240	 3.11	 0.19	 99.0	15.2	 79.6	10.0	 87.3	 74.9	 4.04	 0.21	S23	BI 188                 	082.73500	-71.07219
077.4383053	-68.7694100	HD_269101              	17000	1530	 2.26	 0.16	 46.0	 8.8	 44.4	 8.9	 39.0	  2.3	 4.04	 0.22	S23	HD 269101              	077.43831	-68.76941
080.3663717	-71.9386486	HD_271213              	16250	 600	 2.18	 0.20	 54.0	 9.6	 44.8	 7.9	 34.9	  3.7	 4.05	 0.21	S23	HD 271213              	080.36637	-71.93865
083.9865333	-67.4595972	HD_269845              	18590	1610	 2.40	 0.16	 48.5	 8.3	 43.6	 7.7	 34.0	  4.3	 4.06	 0.22	S23	HD 269845              	083.98653	-67.45960
082.6545017	-69.2517592	SK_-69_167             	21890	1960	 2.68	 0.16	 58.5	 9.2	 51.6	13.9	 36.8	  7.9	 4.06	 0.22	S23	SK -69 167             	082.65450	-69.25176
073.7389736	-66.7524494	HD_268675              	12460	 810	 1.70	 0.15	 53.0	11.6	 34.5	 3.8	 30.1	  0.0	 4.07	 0.19	S23	HD 268675              	073.73897	-66.75245
080.4154936	-65.7538494	RMC_95                 	28890	1430	 3.16	 0.16	 83.5	12.2	 71.7	 7.2	 80.4	  2.5	 4.07	 0.18	S23	RMC 95                 	080.41549	-65.75385
082.8247850	-67.1569625	HD_269684              	12480	1240	 1.70	 0.20	 49.0	17.8	 38.1	 2.5	 36.9	  3.1	 4.07	 0.26	S23	HD 269684              	082.82478	-67.15696
083.4896706	-66.8547506	HD_269766              	12960	 590	 1.76	 0.12	 44.5	11.9	 37.6	 6.1	 32.6	  0.3	 4.07	 0.14	S23	HD 269766              	083.48967	-66.85475
072.9731175	-68.4323039	SK_-68_2               	18420	1850	 2.37	 0.20	 55.5	10.6	 38.4	10.4	 39.5	  0.2	 4.07	 0.27	S23	SK -68 2               	072.97312	-68.43230
088.2917775	-68.1185992	HD_270296              	12570	1280	 1.70	 0.20	 53.5	19.5	 36.0	 4.9	 37.5	  0.0	 4.08	 0.27	S23	HD 270296              	088.29178	-68.11860
080.3803117	-65.7481647	RMC_93                 	28650	1620	 3.13	 0.18	139.5	16.2	144.1	20.1	163.8	  0.2	 4.08	 0.21	S23	RMC 93                 	080.38031	-65.74816
085.1428333	-69.5568406	CPD-69_490             	12600	 760	 1.70	 0.12	 45.0	10.9	 28.1	 3.6	 32.2	  1.3	 4.08	 0.16	S23	CPD-69 490             	085.14283	-69.55684
075.0270022	-65.7608219	HD_270933              	13300	 700	 1.79	 0.20	 52.5	17.5	 28.7	 6.8	 36.9	  3.3	 4.09	 0.22	S23	HD 270933              	075.02700	-65.76082
082.3542861	-68.4669758	HD_269619              	12630	 800	 1.70	 0.14	 52.5	13.0	 37.0	 2.9	 35.5	  1.6	 4.09	 0.18	S23	HD 269619              	082.35429	-68.46698
083.4896706	-66.8547506	HD_269766              	13940	 750	 1.86	 0.20	 58.0	18.0	 36.0	 5.3	 38.9	  5.5	 4.10	 0.22	S23	HD 269766              	083.48967	-66.85475
083.6285678	-69.7810472	HD_269769              	27540	 860	 3.04	 0.12	107.0	13.8	 80.2	17.5	 78.8	 26.1	 4.10	 0.13	S23	HD 269769              	083.62857	-69.78105
073.5048297	-69.9965333	SK_-70_13              	26550	1990	 2.96	 0.15	 93.5	14.0	 60.3	 4.5	 61.2	 12.7	 4.12	 0.20	S23	SK -70 13              	073.50483	-69.99653
082.5652489	-67.5394042	HD_269644              	14770	 500	 1.94	 0.20	 57.5	12.0	 47.7	 5.2	 42.1	  0.3	 4.12	 0.21	S23	HD 269644              	082.56525	-67.53940
084.9822103	-69.2738583	SK_-69_256             	22380	1960	 2.66	 0.17	 62.5	 9.9	 66.9	12.1	 59.4	  6.9	 4.12	 0.23	S23	SK -69 256             	084.98221	-69.27386
073.8431108	-66.4719722	SK_-66_15              	24550	2070	 2.82	 0.20	 62.5	10.0	 63.6	12.8	 55.0	 21.1	 4.12	 0.25	S23	SK -66 15              	073.84311	-66.47197
082.2049153	-66.9934197	HD_269606              	15290	 760	 1.99	 0.20	 56.0	16.8	 42.3	 6.6	 39.3	  4.9	 4.13	 0.22	S23	HD 269606              	082.20492	-66.99342
076.7566572	-67.6249072	SK_-67_46              	22000	2300	 2.62	 0.20	 52.5	 8.1	 46.2	10.5	 44.4	  1.0	 4.13	 0.27	S23	SK -67 46              	076.75666	-67.62491
077.7157178	-67.1740036	SK_-67_54              	23880	2160	 2.76	 0.22	 60.5	 9.5	 65.5	 7.6	 61.2	  5.4	 4.14	 0.27	S23	SK -67 54              	077.71572	-67.17400
083.9966200	-67.0675944	HD_269854              	15300	 790	 1.98	 0.20	 72.0	19.6	 30.5	 9.7	 34.9	  8.3	 4.14	 0.22	S23	HD 269854              	083.99662	-67.06759
083.7310994	-67.3519192	HD_269801              	13260	 670	 1.73	 0.14	 71.5	14.2	 36.7	 3.4	 34.6	  2.1	 4.14	 0.17	S23	HD 269801              	083.73110	-67.35192
085.3349725	-69.0853536	HD_269997              	17000	1730	 2.16	 0.21	 44.5	 9.3	 46.3	 6.9	 41.6	  0.0	 4.14	 0.27	S23	HD 269997              	085.33497	-69.08535
082.3542861	-68.4669758	HD_269619              	13660	 720	 1.78	 0.20	 62.0	19.6	 36.9	 4.4	 37.5	  5.5	 4.14	 0.22	S23	HD 269619              	082.35429	-68.46698
083.9966200	-67.0675944	HD_269854              	15340	 690	 1.98	 0.20	 54.5	10.4	 42.4	 4.8	 37.1	  2.1	 4.15	 0.21	S23	HD 269854              	083.99662	-67.06759
082.5652489	-67.5394042	HD_269644              	15170	 770	 1.96	 0.20	 62.0	17.6	 38.5	 3.9	 44.4	  2.5	 4.15	 0.22	S23	HD 269644              	082.56525	-67.53940
075.7867344	-66.9596808	HD_268907              	14500	 840	 1.88	 0.12	 72.0	14.0	 40.6	 3.7	 32.8	  2.1	 4.15	 0.16	S23	HD 268907              	075.78673	-66.95968
082.0834403	-67.6752092	HD_269593              	15020	 770	 1.92	 0.20	 55.0	17.1	 35.0	 6.4	 44.6	  3.6	 4.17	 0.22	S23	HD 269593              	082.08344	-67.67521
084.5052933	-69.3705694	CPD-69_445             	22480	2100	 2.62	 0.18	 68.0	10.4	 66.8	11.9	 59.2	 15.2	 4.17	 0.24	S23	CPD-69 445             	084.50529	-69.37057
085.3653142	-69.8010422	HD_269992              	18070	1110	 2.24	 0.19	 45.5	 8.2	 48.3	 9.3	 34.2	  5.8	 4.17	 0.22	S23	HD 269992              	085.36531	-69.80104
079.7156106	-65.6895631	HD_271163              	15760	 770	 2.00	 0.20	 57.5	17.5	 47.1	 5.8	 54.4	  1.8	 4.17	 0.22	S23	HD 271163              	079.71561	-65.68956
081.5634128	-67.4999733	HD_269525              	32300	1100	 3.24	 0.20	174.0	19.8	102.6	 8.4	113.5	 65.1	 4.18	 0.21	S23	HD 269525              	081.56341	-67.49997
078.6315542	-69.2314953	HD_269238              	14600	 750	 1.86	 0.20	 64.5	20.0	 37.0	 5.4	 36.1	  5.8	 4.18	 0.22	S23	HD 269238              	078.63155	-69.23150
084.6770558	-69.3858683	HD_269920              	15560	 560	 1.97	 0.20	 55.5	10.7	 41.7	 6.1	 36.1	  2.3	 4.18	 0.21	S23	HD 269920              	084.67706	-69.38587
082.3686708	-69.3921189	SK_-69-_157            	21770	1440	 2.55	 0.20	 72.5	12.0	 55.4	13.7	 60.8	 34.5	 4.18	 0.23	S23	SK -69 157             	082.36867	-69.39212
073.0795617	-66.7314778	HD_268623              	20920	 870	 2.48	 0.20	 59.0	 9.4	 66.7	 9.2	 56.0	  8.2	 4.19	 0.21	S23	HD 268623              	073.07956	-66.73148
083.7310994	-67.3519192	HD_269801              	13830	 720	 1.76	 0.20	 68.5	20.3	 39.7	 2.3	 40.3	  0.0	 4.19	 0.22	S23	HD 269801              	083.73110	-67.35192
075.3061994	-65.8109508	HD_270949              	15730	1000	 1.96	 0.20	 55.5	13.2	 39.6	 6.9	 36.6	  3.0	 4.21	 0.23	S23	HD 270949              	075.30620	-65.81095
078.0711547	-67.3239642	HD_269145              	15960	 770	 1.98	 0.20	 65.0	17.8	 45.3	 3.6	 39.3	  8.9	 4.22	 0.22	S23	HD 269145              	078.07115	-67.32396
080.5718625	-67.9491636	LH_47-373A             	21320	 760	 2.48	 0.20	 61.5	 9.2	 65.4	 4.2	 62.3	  4.1	 4.22	 0.21	S23	[OM95] LH 47-373A      	080.57186	-67.94916
072.3016592	-69.4565314	HD_268654              	14000	 620	 1.74	 0.20	112.5	21.0	 43.4	 4.6	 45.0	  0.3	 4.23	 0.21	S23	HD 268654              	072.30166	-69.45653
075.3061994	-65.8109508	HD_270949              	15900	 580	 1.96	 0.20	 67.0	11.5	 45.7	 6.3	 45.8	  4.9	 4.23	 0.21	S23	HD 270949              	075.30620	-65.81095
085.3653142	-69.8010422	HD_269992              	16980	1980	 2.07	 0.23	 51.0	12.5	 43.5	 3.3	 41.8	  4.2	 4.23	 0.31	S23	HD 269992              	085.36531	-69.80104
073.3751414	-66.9244969	HD_268653              	16000	1000	 1.96	 0.20	 65.0	17.6	 61.7	14.1	 41.4	 40.3	 4.24	 0.23	S23	HD 268653              	073.37514	-66.92450
083.7650103	-69.7505644	HD_269786              	16000	 780	 1.95	 0.20	 64.0	17.8	 49.8	14.8	 59.0	 14.2	 4.25	 0.22	S23	HD 269786              	083.76501	-69.75056
080.7527650	-67.1894578	HD_269440              	20000	1780	 2.33	 0.23	 51.5	11.0	 54.8	10.0	 39.3	 11.9	 4.26	 0.28	S23	HD 269440              	080.75276	-67.18946
084.1966147	-69.4978028	HD_269859              	16000	1000	 1.94	 0.20	 67.5	17.4	 47.4	 5.6	 48.2	  7.2	 4.26	 0.23	S23	HD 269859              	084.19661	-69.49780
073.4303469	-68.7148025	HD_268729              	16430	 930	 1.98	 0.20	 55.5	13.2	 40.7	10.5	 45.8	  2.3	 4.27	 0.22	S23	HD 268729              	073.43035	-68.71480
074.2835661	-68.4200817	HD_268798              	17470	1660	 2.08	 0.21	 57.5	13.6	 51.3	12.7	 45.4	 17.2	 4.27	 0.27	S23	HD 268798              	074.28357	-68.42008
071.7685458	-67.1147558	HD_270754              	22000	 700	 2.48	 0.20	 55.5	 9.0	 56.6	 8.2	 46.9	  0.2	 4.27	 0.21	S23	HD 270754              	071.76855	-67.11476
085.3349725	-69.0853536	HD_269997              	16500	 910	 1.98	 0.20	 50.5	12.0	 41.6	11.5	 36.6	 18.7	 4.27	 0.22	S23	HD 269997              	085.33497	-69.08535
082.6990639	-71.0673125	HD_269660              	21690	 700	 2.45	 0.20	 47.5	 7.4	 49.6	 6.5	 38.1	  8.8	 4.28	 0.21	S23	HD 269660              	082.69906	-71.06731
083.7650103	-69.7505644	HD_269786              	21870	 730	 2.46	 0.20	 58.0	 9.2	 56.9	10.4	 40.8	 12.3	 4.28	 0.21	S23	HD 269786              	083.76501	-69.75056
