#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T17:42:28 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T17:42:28	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/955/123/table2&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19550123
#Name: J/ApJ/955/123
#Title: Variability of magnetic hot stars from TESS obs. (Shen+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/apj/955/123	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/955/123	    IVOID of underlying data collection
#INFO	creator=Shen D.-X.	    First author or institution
#INFO	cites=bibcode:2023ApJ...955..123S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/955/123	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/ba-xv-3v	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-07-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_955_123_table2:
#Name: J/ApJ/955/123/table2
#Title: The Stochastic low-frequency (SLF) fitting parameters of the magnetic hot stars
#Column	Name	(a11)	Stellar identifier	[ucd=meta.id;meta.main]
#Column	Sector	(A7)	Sector(s)	[ucd=obs.field]
#Column	alpha0	(F8.3)	[3.9/3554] Amplitude at zero frequency	[ucd=src.var.amplitude]
#Column	e_alpha0	(F6.2)	[0.3/384] Lower uncertainty in alpha0	[ucd=stat.error;stat.min;src.var.amplitude]
#Column	E_alpha0	(F6.2)	[0.4/470] Upper uncertainty in alpha0	[ucd=stat.error;stat.max;src.var.amplitude]
#Column	nuChar	(F5.2)	[0.05/8.9] Characteristic frequency	[ucd=em.freq;src.var]
#Column	e_nuChar	(F5.2)	[0.01/0.9] Lower uncertainty in nuChar	[ucd=stat.error;stat.min;em.freq]
#Column	E_nuChar	(F5.2)	[0.01/0.8] Upper uncertainty in nuChar	[ucd=stat.error;stat.max;em.freq]
#Column	gamma	(F5.2)	[0.69/5.7] logarithmic amplitude gradient	[ucd=arith.grad;src.var.amplitude]
#Column	e_gamma	(F5.2)	[0.01/1.4] Lower uncertainty in gamma	[ucd=stat.error;stat.min;arith.grad]
#Column	E_gamma	(F5.2)	[0.01/2.3] Upper uncertainty in gamma	[ucd=stat.error;stat.max;arith.grad]
#Column	Cw	(F5.2)	[0.8/86] White noise term	[ucd=instr.det.noise;meta.modelled]
#Column	e_Cw	(F5.2)	[0/0.3] Lower uncertainty in Cw	[ucd=stat.error;stat.min;instr.det.noise]
#Column	E_Cw	(F5.2)	[0/0.3] Upper uncertainty in Cw	[ucd=stat.error;stat.max;instr.det.noise]
Name	Sector	alpha0	e_alpha0	E_alpha0	nuChar	e_nuChar	E_nuChar	gamma	e_gamma	E_gamma	Cw	e_Cw	E_Cw
HD 121743  	     11	 121.320	  7.31	  7.83	 1.88	 0.13	 0.14	 1.51	 0.02	 0.02	 2.01	 0.01	 0.01
HD 121743  	     38	  84.790	  4.35	  4.37	 3.00	 0.14	 0.16	 1.89	 0.03	 0.03	 1.72	 0.01	 0.01
HD 122983  	     38	 275.420	 39.12	 46.60	 0.34	 0.07	 0.08	 1.04	 0.03	 0.04	13.36	 0.07	 0.08
HD 125823  	     11	 386.760	 27.39	 29.48	 1.28	 0.08	 0.08	 1.82	 0.03	 0.03	 3.39	 0.01	 0.01
HD 125823  	     38	 227.200	 11.39	 12.49	 2.20	 0.09	 0.09	 2.41	 0.04	 0.04	 2.48	 0.01	 0.01
HD 156424  	     12	 295.240	 53.82	 76.45	 0.21	 0.07	 0.07	 0.93	 0.04	 0.04	12.91	 0.09	 0.10
HD 156424  	     39	 218.650	 42.91	 56.77	 0.14	 0.05	 0.07	 0.81	 0.03	 0.03	10.47	 0.09	 0.09
HD 157751  	     12	 152.400	 19.09	 23.34	 0.48	 0.10	 0.11	 1.04	 0.04	 0.04	 8.38	 0.06	 0.05
HD 161459  	     13	 174.100	 26.92	 37.96	 0.39	 0.09	 0.11	 1.09	 0.05	 0.06	18.52	 0.09	 0.09
HD 161459  	     39	 261.430	 45.61	 63.56	 0.28	 0.07	 0.09	 1.06	 0.04	 0.05	17.09	 0.09	 0.09
HD 166473  	     13	 147.250	 42.07	 76.56	 0.06	 0.03	 0.06	 0.69	 0.03	 0.04	 7.52	 0.10	 0.08
HD 172690  	12 - 13	 206.160	 19.18	 23.94	 0.33	 0.04	 0.04	 1.34	 0.03	 0.03	 4.85	 0.01	 0.01
HD 175362  	     13	 149.360	 22.39	 29.97	 0.28	 0.06	 0.07	 1.01	 0.03	 0.02	 3.72	 0.03	 0.03
HD 176196  	     13	  49.350	  8.24	 11.59	 0.28	 0.08	 0.10	 1.00	 0.06	 0.07	 5.31	 0.03	 0.03
HD 176582  	40 - 41	 243.640	 34.52	 46.18	 0.12	 0.02	 0.01	 1.36	 0.05	 0.07	 3.12	 0.01	 0.01
HD 176582  	53 - 54	 212.710	 35.60	 40.10	 0.13	 0.01	 0.02	 1.37	 0.08	 0.09	 3.48	 0.01	 0.01
HD 184927  	40 - 41	  26.670	  2.06	  2.19	 0.90	 0.09	 0.09	 1.74	 0.07	 0.09	 3.87	 0.01	 0.01
HD 187474  	     13	 102.490	 44.39	 46.02	 0.05	 0.03	 0.11	 0.69	 0.03	 0.04	 3.45	 0.03	 0.05
HD 187474  	     27	   3.940	  0.49	  0.64	 0.83	 0.10	 0.09	 4.83	 1.34	 2.21	 2.14	 0.01	 0.01
HD 189775  	     16	   7.460	  0.37	  0.46	 8.86	 0.90	 0.78	 1.62	 0.04	 0.04	 4.50	 0.02	 0.02
HD 189775  	     41	 145.915	 16.50	 19.95	 0.12	 0.01	 0.01	 1.52	 0.23	 0.24	 4.55	 0.01	 0.01
HD 189775  	     56	 115.202	 22.89	 32.14	 0.12	 0.03	 0.03	 3.56	 0.24	 0.27	 2.88	 0.01	 0.01
HD 190290  	     27	  66.110	  7.75	  9.29	 0.81	 0.11	 0.12	 2.34	 0.20	 0.23	12.17	 0.04	 0.04
HD 190290  	     39	  70.210	 10.16	 14.70	 0.54	 0.12	 0.12	 1.58	 0.12	 0.15	12.47	 0.05	 0.04
HD 191612  	14 - 15	 219.820	 12.01	 13.16	 1.41	 0.10	 0.10	 1.40	 0.02	 0.02	 6.52	 0.03	 0.03
HD 19918   	12 - 13	  74.730	  9.73	 12.49	 0.19	 0.04	 0.05	 1.05	 0.05	 0.05	 7.82	 0.03	 0.03
HD 19918   	27 - 28	 135.090	 20.17	 26.39	 0.19	 0.04	 0.04	 1.59	 0.08	 0.09	 7.27	 0.02	 0.02
HD 200775  	24 - 25	 323.940	  7.97	  8.53	 5.36	 0.11	 0.11	 2.48	 0.03	 0.03	 6.22	 0.02	 0.02
HD 201018  	      1	 224.770	 32.90	 48.64	 0.34	 0.09	 0.09	 0.97	 0.03	 0.03	 8.36	 0.05	 0.06
HD 203932  	      1	 197.860	 43.58	 70.31	 0.14	 0.05	 0.07	 0.95	 0.04	 0.04	 7.79	 0.05	 0.04
HD 203932  	     28	  68.520	  8.69	 10.27	 0.77	 0.11	 0.12	 2.17	 0.20	 0.23	 9.41	 0.03	 0.03
HD 205021  	16 - 18	 123.750	  3.07	  3.11	 4.28	 0.10	 0.11	 2.06	 0.02	 0.02	 3.35	 0.01	 0.01
HD 205021  	24 - 25	 103.700	  2.69	  2.99	 5.18	 0.10	 0.10	 3.36	 0.06	 0.06	 6.61	 0.01	 0.01
HD 212385  	      1	 136.830	 23.70	 28.17	 0.30	 0.08	 0.12	 0.87	 0.02	 0.03	 4.44	 0.04	 0.04
HD 212385  	     28	  53.920	  7.04	  9.88	 0.49	 0.10	 0.10	 1.37	 0.07	 0.07	 4.51	 0.02	 0.02
HD 37633   	      6	  84.550	  9.49	 11.23	 1.03	 0.15	 0.16	 1.84	 0.12	 0.13	 9.71	 0.04	 0.04
HD 37742   	      6	3405.390	383.38	469.66	 0.46	 0.05	 0.05	 1.53	 0.02	 0.02	 9.96	 0.05	 0.05
HD 43317   	     33	  77.000	  4.06	  4.52	 2.98	 0.15	 0.15	 2.54	 0.09	 0.10	 5.33	 0.02	 0.02
HD 43317   	      6	  72.250	  4.84	  4.93	 3.20	 0.24	 0.20	 2.55	 0.15	 0.13	 6.45	 0.03	 0.03
HD 44743   	     33	  63.540	  2.19	  2.23	 5.69	 0.15	 0.14	 3.57	 0.10	 0.10	 2.19	 0.01	 0.01
HD 44743   	      6	  91.750	  5.53	  6.01	 3.69	 0.25	 0.26	 2.44	 0.12	 0.12	 7.12	 0.03	 0.03
HD 45583   	      6	  27.200	  3.96	  5.68	 0.86	 0.23	 0.27	 1.09	 0.07	 0.07	 6.59	 0.04	 0.04
HD 46328   	     33	  26.140	  1.32	  1.52	 3.50	 0.22	 0.21	 1.83	 0.04	 0.04	 1.39	 0.01	 0.01
HD 46328   	      6	  49.650	  3.01	  3.33	 3.50	 0.27	 0.28	 1.61	 0.04	 0.04	 2.88	 0.02	 0.01
HD 47129   	      6	3553.010	328.89	389.57	 0.75	 0.06	 0.06	 1.75	 0.02	 0.02	12.10	 0.05	 0.06
HD 47777   	     33	  62.530	  8.74	 12.66	 0.62	 0.15	 0.17	 1.13	 0.06	 0.06	 6.69	 0.04	 0.04
HD 47777   	      6	  29.230	  3.40	  4.36	 1.57	 0.34	 0.36	 1.13	 0.07	 0.08	 7.24	 0.05	 0.04
HD 49299   	     33	 102.400	 16.07	 20.27	 0.50	 0.11	 0.13	 1.49	 0.12	 0.13	19.14	 0.07	 0.07
HD 52089   	33 - 34	 284.710	 13.85	 14.73	 1.57	 0.08	 0.08	 1.70	 0.02	 0.02	 3.46	 0.01	 0.01
HD 52089   	  6 - 7	 304.990	 16.69	 29.75	 1.70	 0.11	 0.09	 1.90	 0.02	 0.02	 2.38	 0.01	 0.01
HD 53921   	 4 - 13	  20.850	  1.27	  1.27	 0.24	 0.02	 0.02	 1.24	 0.02	 0.02	 0.82	 0.00	 0.00
HD 53921   	30 - 37	  12.140	  0.65	  0.76	 0.41	 0.03	 0.03	 1.27	 0.02	 0.02	 0.94	 0.00	 0.00
HD 54879   	     33	  33.420	  3.56	  4.34	 0.94	 0.11	 0.12	 2.23	 0.18	 0.20	 4.98	 0.02	 0.02
HD 54879   	      7	  60.120	  6.47	  8.03	 0.86	 0.11	 0.10	 2.24	 0.16	 0.17	 5.80	 0.02	 0.02
HD 55522   	33 - 34	  62.970	  2.65	  2.76	 2.33	 0.09	 0.10	 2.19	 0.04	 0.05	 2.54	 0.01	 0.01
HD 56350   	  7 - 9	 113.860	  7.78	  8.19	 0.61	 0.05	 0.05	 1.25	 0.02	 0.01	 2.69	 0.01	 0.01
HD 57682   	     34	 177.790	 18.20	 24.94	 1.00	 0.17	 0.18	 1.13	 0.03	 0.03	 7.63	 0.05	 0.05
HD 57682   	      7	 102.700	  6.42	  7.05	 2.58	 0.20	 0.21	 1.58	 0.04	 0.04	 3.94	 0.02	 0.02
HD 58260   	33 - 34	  12.550	  0.93	  1.16	 0.98	 0.09	 0.09	 2.26	 0.17	 0.18	 3.27	 0.01	 0.01
HD 61556   	     34	  98.410	  5.34	  6.08	 2.61	 0.16	 0.16	 1.55	 0.02	 0.02	 2.19	 0.01	 0.01
HD 61556   	      7	  15.810	  0.56	  0.54	 3.70	 0.10	 0.10	 3.32	 0.11	 0.13	 1.67	 0.01	 0.01
HD 63401   	34 - 35	 151.300	  7.80	  8.84	 1.59	 0.12	 0.12	 1.16	 0.01	 0.01	 3.22	 0.02	 0.02
HD 63401   	  7 - 8	  24.300	  1.13	  1.20	 3.01	 0.18	 0.19	 1.83	 0.05	 0.06	 2.84	 0.01	 0.01
HD 64740   	34 - 35	   7.020	  0.84	  0.67	 2.29	 0.34	 0.54	 1.21	 0.05	 0.07	 1.03	 0.01	 0.01
HD 64740   	  7 - 9	  16.180	  1.12	  1.28	 1.08	 0.12	 0.13	 1.15	 0.03	 0.03	 1.64	 0.01	 0.01
HD 86199   	 9 - 10	  50.110	  3.18	  3.62	 1.25	 0.11	 0.11	 1.36	 0.03	 0.03	 3.65	 0.01	 0.01
HD 87240   	36 - 37	  33.470	  3.16	  3.96	 0.96	 0.13	 0.14	 1.66	 0.11	 0.12	 9.83	 0.02	 0.02
HD 88158   	 9 - 10	  46.950	  4.33	  5.68	 1.07	 0.15	 0.14	 1.67	 0.09	 0.10	 5.59	 0.02	 0.02
HD 88385   	36 - 37	  18.200	  1.38	  1.44	 1.37	 0.13	 0.13	 2.46	 0.28	 0.33	 4.99	 0.01	 0.01
HD 89103   	 9 - 10	  69.110	 23.99	 11.02	 0.52	 0.09	 0.41	 1.35	 0.05	 0.18	 4.63	 0.02	 0.02
HD 92499   	     36	  76.890	 11.00	 13.85	 0.53	 0.11	 0.12	 1.37	 0.09	 0.13	10.05	 0.04	 0.04
HD 92499   	 9 - 10	  46.480	  4.30	  4.64	 0.64	 0.07	 0.08	 1.71	 0.10	 0.11	 6.66	 0.02	 0.02
HD 9289    	      3	  60.370	  6.13	  7.32	 1.31	 0.13	 0.15	 2.67	 0.25	 0.32	11.65	 0.04	 0.04
HD 127381  	     11	 114.220	  5.55	  5.87	 3.24	 0.16	 0.17	 1.77	 0.03	 0.03	 2.18	 0.01	 0.01
HD 127381  	     38	  86.250	  3.23	  3.40	 5.39	 0.20	 0.19	 2.58	 0.05	 0.05	 2.45	 0.01	 0.01
HD 127453  	11 - 12	 112.810	 15.08	 20.59	 0.16	 0.03	 0.04	 0.98	 0.03	 0.03	 4.37	 0.02	 0.02
HD 127575  	11 - 12	  84.770	  6.57	  6.33	 0.70	 0.06	 0.07	 1.43	 0.04	 0.04	 5.05	 0.02	 0.01
HD 128775  	     11	  74.360	  9.29	 12.05	 0.60	 0.13	 0.14	 1.07	 0.04	 0.04	 5.77	 0.04	 0.03
HD 12932   	      3	  17.170	  3.22	  3.95	 1.18	 0.24	 0.32	 2.05	 0.34	 0.52	16.21	 0.07	 0.06
HD 12932   	     30	  52.110	  7.77	 10.55	 0.58	 0.10	 0.09	 3.68	 1.11	 1.64	15.40	 0.05	 0.05
HD 129899  	     12	  25.580	  3.89	  5.40	 0.43	 0.12	 0.14	 1.09	 0.07	 0.09	 4.41	 0.02	 0.02
HD 130807  	     11	 310.590	 27.16	 29.37	 0.84	 0.07	 0.07	 1.76	 0.04	 0.04	 4.92	 0.02	 0.02
HD 130807  	     38	 270.440	 21.20	 22.70	 1.00	 0.06	 0.07	 2.06	 0.04	 0.04	 2.30	 0.01	 0.01
HD 136504  	     38	 109.040	  5.54	  5.87	 2.73	 0.12	 0.12	 2.28	 0.04	 0.04	 1.70	 0.01	 0.01
HD 136933  	     38	   5.280	  0.51	  0.61	 2.62	 0.41	 0.43	 1.53	 0.11	 0.13	 2.19	 0.01	 0.01
HD 138758  	     12	  58.470	  8.14	  9.25	 0.58	 0.12	 0.16	 1.13	 0.05	 0.07	 7.39	 0.04	 0.04
HD 146555  	     39	 683.850	112.35	140.65	 0.24	 0.06	 0.08	 0.95	 0.04	 0.04	32.49	 0.24	 0.22
HD 149277  	     12	 921.010	155.22	212.71	 0.20	 0.04	 0.05	 1.23	 0.03	 0.04	14.11	 0.07	 0.07
HD 149277  	     39	 593.110	 90.88	120.29	 0.24	 0.05	 0.05	 1.22	 0.03	 0.04	10.63	 0.05	 0.05
HD 149438  	     12	 334.070	 38.59	 49.14	 0.49	 0.08	 0.08	 1.22	 0.04	 0.03	14.80	 0.07	 0.07
HD 149438  	     39	   8.710	  0.57	  0.68	 2.11	 0.16	 0.16	 2.30	 0.13	 0.14	 1.42	 0.01	 0.00
HD 149764  	     39	 265.650	 30.82	 38.91	 0.56	 0.10	 0.09	 1.22	 0.04	 0.03	 7.92	 0.04	 0.04
HD 149822  	     25	  74.460	 20.72	 20.23	 0.15	 0.06	 0.14	 0.77	 0.04	 0.06	 4.87	 0.05	 0.07
HD 149822  	     52	  39.050	  3.61	  4.19	 1.42	 0.17	 0.17	 1.82	 0.10	 0.10	 3.95	 0.01	 0.01
HD 150562  	     12	  71.360	 11.20	 16.45	 0.63	 0.20	 0.24	 0.88	 0.06	 0.06	16.22	 0.14	 0.14
HD 150562  	     39	  95.960	 11.57	 15.96	 0.78	 0.17	 0.16	 1.24	 0.07	 0.08	13.45	 0.07	 0.06
HD 154708  	     12	 192.660	 30.73	 43.30	 0.20	 0.06	 0.07	 0.93	 0.04	 0.04	10.69	 0.07	 0.06
HD 154708  	     39	 200.040	 34.65	 42.06	 0.23	 0.06	 0.08	 0.97	 0.03	 0.04	10.26	 0.06	 0.06
HD 156324  	     12	 157.580	 19.68	 24.18	 0.62	 0.12	 0.14	 1.15	 0.05	 0.05	14.95	 0.08	 0.07
HD 156324  	     39	 151.880	 15.33	 18.55	 0.78	 0.10	 0.10	 1.76	 0.09	 0.09	11.53	 0.04	 0.04
HD 218495  	27 - 28	  28.570	  2.88	  4.24	 1.23	 0.21	 0.17	 2.17	 0.23	 0.23	 8.21	 0.01	 0.02
HD 23478   	42 - 44	  65.960	  7.69	  9.41	 0.18	 0.03	 0.04	 0.90	 0.02	 0.02	 2.44	 0.01	 0.01
HD 24188   	12 - 13	  18.060	  2.48	  3.14	 0.31	 0.08	 0.10	 0.85	 0.04	 0.04	 3.07	 0.01	 0.01
HD 24188   	36 - 37	  84.800	 11.10	 14.24	 0.16	 0.03	 0.03	 1.29	 0.04	 0.04	 2.51	 0.01	 0.01
HD 24188   	  6 - 7	  36.530	  3.62	  4.04	 0.51	 0.07	 0.08	 1.23	 0.04	 0.04	 2.72	 0.01	 0.01
HD 25558   	     32	 509.660	 40.68	 45.85	 0.84	 0.06	 0.06	 1.90	 0.03	 0.03	 3.61	 0.01	 0.01
HD 25558   	      5	 839.960	 92.28	100.57	 0.45	 0.04	 0.05	 1.58	 0.02	 0.02	 3.74	 0.02	 0.02
HD 306795  	37 - 38	 267.720	 21.98	 26.17	 0.64	 0.07	 0.07	 1.57	 0.05	 0.06	20.80	 0.05	 0.05
HD 3360    	     17	 106.620	  5.74	  6.38	 2.72	 0.16	 0.17	 1.67	 0.03	 0.03	 2.40	 0.01	 0.01
HD 345439  	     54	 631.710	131.74	185.84	 0.13	 0.05	 0.06	 0.83	 0.03	 0.03	28.82	 0.22	 0.21
HD 34797   	     32	 252.180	 18.48	 21.02	 1.19	 0.07	 0.08	 2.05	 0.04	 0.05	 4.06	 0.01	 0.01
HD 34797   	     37	 238.710	 16.17	 18.03	 1.24	 0.07	 0.07	 2.14	 0.05	 0.05	 4.05	 0.01	 0.01
HD 35298   	     32	 119.130	 10.82	 12.93	 1.11	 0.12	 0.13	 1.69	 0.06	 0.07	 6.72	 0.03	 0.03
HD 35298   	      6	  38.620	  2.81	  3.25	 2.73	 0.26	 0.26	 2.19	 0.14	 0.15	 6.31	 0.02	 0.02
HD 35502   	     32	 138.090	 18.61	 25.19	 0.33	 0.07	 0.07	 1.13	 0.03	 0.03	 4.93	 0.02	 0.02
HD 35502   	      6	 242.100	 53.85	 91.39	 0.12	 0.04	 0.05	 1.02	 0.03	 0.03	 5.14	 0.03	 0.03
HD 35912   	     32	 587.490	 60.48	 68.52	 0.58	 0.06	 0.07	 1.43	 0.02	 0.02	 5.07	 0.02	 0.03
HD 35912   	      6	 258.420	 19.31	 22.00	 1.30	 0.10	 0.10	 1.73	 0.03	 0.03	 4.08	 0.02	 0.02
HD 36485   	     32	 196.600	 10.88	 11.72	 2.13	 0.09	 0.10	 3.12	 0.10	 0.10	 7.16	 0.02	 0.02
HD 36485   	      6	 469.220	 34.26	 39.16	 1.35	 0.09	 0.09	 2.04	 0.04	 0.04	 6.31	 0.03	 0.03
HD 36526   	     32	  35.093	  2.11	  2.17	 2.40	 0.13	 0.12	 1.59	 0.05	 0.05	 7.22	 0.03	 0.03
HD 36526   	      6	  32.460	  2.32	  2.56	 1.81	 0.12	 0.12	 1.54	 0.06	 0.06	 7.59	 0.03	 0.03
HD 36982   	     32	  88.530	  8.67	 10.25	 0.98	 0.13	 0.13	 1.46	 0.05	 0.05	 6.62	 0.02	 0.03
HD 37017   	     32	  73.080	  7.23	  7.87	 1.20	 0.16	 0.18	 1.33	 0.04	 0.04	 4.27	 0.02	 0.02
HD 37017   	      6	  14.710	  1.00	  1.15	 2.06	 0.20	 0.20	 1.90	 0.15	 0.17	 4.66	 0.02	 0.02
HD 37022   	     32	 332.460	 25.45	 31.89	 1.04	 0.09	 0.09	 1.47	 0.02	 0.03	 4.74	 0.02	 0.02
HD 37022   	      6	 333.260	 28.51	 34.96	 0.88	 0.06	 0.06	 2.26	 0.06	 0.06	 3.34	 0.01	 0.01
