#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T17:42:28 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T17:42:29	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/513/1429/tablea1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75131429
#Name: J/MNRAS/513/1429
#Title: MOBSTER. VI. Radio magnetospheres of hot stars (Shultz+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/mnras/513/1429	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/513/1429	    IVOID of underlying data collection
#INFO	creator=Shultz M.E.	    First author or institution
#INFO	cites=bibcode:2022MNRAS.513.1429S	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/513/1429	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75131429	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-10-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_513_1429_tablea1:
#Name: J/MNRAS/513/1429/tablea1
#Title: Stellar, rotational, magnetic and radio parameters
#Column	Star	(a10)	Name of star	[ucd=meta.id;meta.main]
#Column	logL	(F5.2)	Bolometric luminosity	[ucd=phys.luminosity]
#Column	e_logL	(F5.2)	Luminosity error	[ucd=stat.error]
#Column	Teff	(F4.1)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F4.1)	Effective temperature error	[ucd=stat.error;phys.temperature.effective]
#Column	r_logL	(I3)	Reference for stellar parameters	[ucd=meta.ref]
#Column	Mass	(F5.2)	Mass	[ucd=phys.mass]
#Column	e_Mass	(F5.2)	Mass error	[ucd=stat.error;phys.mass]
#Column	vsini	(I3)	? Projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	r_vsini	(I3)	? Reference for vsini	[ucd=meta.ref]
#Column	Prot	(F9.3)	? Rotation period	[ucd=time.period]
#Column	r_Prot	(a11)	Reference for rotation period	[ucd=meta.ref;pos.frame]
#Column	beta	(I2)	? Magnetic obliquity angle	[ucd=phys.magField;pos.angDistance]
#Column	E_beta	(I2)	? Upper uncertainty in obliquity angle	[ucd=stat.error;stat.max]
#Column	e_beta	(I2)	? Lower uncertainty in obliquity angle	[ucd=stat.error]
#Column	l_Bd	(A2)	[LL UL] Limit indicator for magnetic field (LL=lower limit, UL=upper limit)	[ucd=meta.code.error]
#Column	Bd	(F6.3)	Surface magnetic dipole strength	[ucd=phys.magField]
#Column	E_Bd	(F6.3)	? Upper uncertainty in surface dipole strength	[ucd=stat.error;stat.max]
#Column	e_Bd	(F6.3)	? Lower uncertainty in surface dipole strength	[ucd=stat.error]
#Column	r_Bd	(a23)	Reference for magnetic parameters	[ucd=meta.ref;pos.frame]
#Column	l_Lrad	(A2)	[UL] Detection flag for radio data (UL=upper limit)	[ucd=meta.code.error]
#Column	Lrad	(F5.2)	Radio luminosity	[ucd=phys.luminosity;em.radio]
#Column	e_Lrad	(F5.2)	? Radio luminosity uncertainty	[ucd=stat.error]
#Column	r_Lrad	(a27)	Reference for radio data	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(A9)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star	logL	e_logL	Teff	e_Teff	r_logL	Mass	e_Mass	vsini	r_vsini	Prot	r_Prot	beta	E_beta	e_beta	l_Bd	Bd	E_Bd	e_Bd	r_Bd	l_Lrad	Lrad	e_Lrad	r_Lrad	SimbadName	_RA	_DE
HD35298   	 2.40	 0.14	15.8	 0.8	107	 4.30	 0.23	 60	 96	    1.855	 96        	77	 2	 2	  	11.200	 1.000	 1.000	110                    	  	-5.32	 0.04	 14, 31, 36                	HD35298  	080.95983	+02.08217
HD35456   	 2.88	 0.29	13.5	 1.4	130	 4.08	 0.53	 22	 80	    4.951	 80        	15	 9	11	  	 2.190	 0.239	 0.287	 80,130                	UL	-6.23	     	128                        	HD35456  	081.16824	-02.49785
HD35502   	 2.95	 0.12	18.4	 0.6	107	 5.81	 0.19	 78	 96	    0.854	 81        	70	 1	 1	  	 7.300	 0.500	 0.500	110                    	  	-5.06	 0.04	 36,130                    	HD35502  	081.25502	-02.81547
HD35575   	 3.11	 0.09	16.7	 1.3	130	 5.77	 0.30	150	102	    0.984	130        	  	  	  	UL	 1.300	      	      	102,130                	UL	-7.10	     	 17                        	HD35575  	081.40208	-01.49129
HD36313   	 2.04	 0.19	13.0	 0.5	117	 3.37	 0.17	160	117	    0.589	117,130    	88	 1	 5	  	 8.970	 1.830	 1.270	117,130                	  	-6.11	 0.04	 36                        	HD36313  	082.68846	-00.37341
HD36429   	 2.42	 0.02	13.8	 0.1	130	 3.87	 0.03	 77	130	   15.600	130        	  	  	  	UL	 0.200	      	      	 28,130                	UL	-6.12	     	128                        	HD36429  	082.92177	+02.83283
HD36485   	 3.10	 0.20	20.0	 2.0	107	 6.34	 0.20	 33	 96	    1.478	 50        	 3	 1	 1	  	 8.900	 0.200	 0.200	110                    	  	-5.44	 0.04	  6, 14, 31, 75            	HD36485  	083.00169	-00.28454
HD36526   	 2.30	 0.24	15.0	 2.0	107	 4.33	 0.19	 59	 96	    1.542	 96        	56	 1	 2	  	11.200	 0.500	 0.500	110                    	UL	-6.38	     	 14,130                    	HD36526  	083.05451	-01.60048
HD36540   	 2.73	 0.15	14.9	 0.7	 90	 4.54	 0.09	 80	 86	    2.173	130        	 9	26	 8	  	 1.420	 3.181	 0.120	 86,130                	UL	-6.09	     	128                        	HD36540  	083.06178	-04.51839
HD36668   	 2.40	 0.19	13.5	 0.2	117	 3.81	 0.05	 60	117	    2.119	117,130    	80	 5	 6	  	 4.547	 2.272	 2.727	117,130                	UL	-5.94	     	128                        	HD36668  	083.35857	+00.62136
HD36916   	 2.10	 0.20	14.7	 0.2	 86	 4.17	 0.10	 78	 86	    1.565	 86,130    	30	 8	10	  	 3.381	 3.341	 0.240	  4, 69, 86, 94,111,130	UL	-6.95	     	 14, 17                    	HD36916  	083.72485	-04.11041
HD37017   	 3.42	 0.25	21.0	 2.0	107	 8.44	 0.49	134	 96	    0.901	 96        	56	 2	 3	  	 6.200	 0.900	 0.900	110                    	  	-5.14	 0.04	  6, 14, 18, 31, 75, 85,127	HD37017  	083.84111	-04.49417
HD37058   	 2.90	 0.11	18.6	 0.6	107	 5.83	 0.22	 11	 96	   14.581	 96        	55	11	13	  	 2.500	 0.500	 0.500	110                    	UL	-5.92	     	 14                        	HD37058  	083.88897	-04.83755
HD37061   	 3.30	 0.30	22.0	 1.0	107	 7.68	 0.43	100	 96	    1.095	104        	59	 4	 4	  	 9.200	 1.000	 1.000	110                    	  	-5.68	 0.04	 85,130                    	HD37061  	083.88069	-05.26738
HD37140   	 2.12	 0.09	13.5	 0.2	117	 3.46	 0.05	 25	130	    2.761	117,130    	80	 3	 4	  	 3.940	 0.670	 0.420	117,130                	UL	-6.08	     	128                        	HD37140  	084.07818	-00.30366
HD37151   	 2.08	 0.08	13.5	 0.9	130	 3.39	 0.15	   	   	         	           	87	 1	12	  	 1.449	 1.159	 1.448	118,130                	UL	-6.48	     	128                        	HD37151  	084.02597	-07.39648
HD37210   	 2.51	 0.05	13.5	 0.6	130	 3.92	 0.09	 20	118	   11.043	 22,130    	78	 7	 8	  	 1.770	 0.920	 0.130	 68,118,130            	UL	-5.72	     	128                        	HD37210  	084.12900	-06.45384
HD37479   	 3.51	 0.21	23.0	 2.0	107	 7.88	 0.19	145	 96	    1.191	 49        	37	 7	10	  	10.570	11.545	 0.423	 74                    	  	-4.73	 0.04	  6, 14, 18, 31, 75        	HD37479  	084.69669	-02.59459
HD37642   	 2.42	 0.10	16.0	 0.5	118	 4.33	 0.14	 85	118	    1.079	118,130    	74	 3	 3	  	18.801	 1.581	 0.950	118,130                	  	-5.70	 0.04	 36                        	HD37642  	084.98093	-03.33050
HD37752   	 2.63	 0.14	15.0	 0.7	 43	 4.47	 0.20	 35	 32	    1.305	 90        	  	  	  	UL	 2.380	      	      	 28                    	UL	-7.04	     	 17                        	HD37752  	085.47818	+23.32623
HD37776   	 3.30	 0.15	22.0	 1.0	107	 8.28	 0.31	101	 96	    1.539	 84        	47	 8	10	  	 6.100	 0.700	 0.700	 56,110                	UL	-6.34	     	  6,130                    	HD37776  	085.23488	-01.50718
HD37808   	 2.28	 0.10	14.5	 0.2	118	 3.90	 0.08	 30	 99	    1.099	112,118,130	45	20	24	  	 3.180	 1.000	 0.340	118,130                	  	-6.13	 0.04	 17, 31                    	HD37808  	085.19247	-10.40867
HD40312   	 2.33	 0.01	10.2	 0.1	105	 3.11	 0.06	 55	 99	    3.619	106        	68	13	15	  	 1.270	 0.400	 0.211	100                    	  	-7.80	 0.04	 14                        	HD40312  	089.93029	+37.21258
HD41269   	 2.30	 0.08	12.9	 0.9	130	 3.55	 0.15	 85	 32	    1.048	130        	 0	16	 0	  	 1.340	 0.480	 0.340	130                    	UL	-7.15	     	 17                        	HD41269  	091.39125	+33.59905
HD43819   	 2.15	 0.20	10.9	 0.4	 40	 3.13	 0.16	 10	 40	   15.020	 40        	47	16	19	  	 2.626	75.741	 0.138	 40                    	UL	-6.79	     	 17                        	HD43819  	094.75768	+17.32526
HD45583   	 2.07	 0.12	13.3	 0.3	 44	 3.35	 0.09	 70	 99	    1.177	114        	69	 2	 2	  	 9.100	 0.300	 0.300	114                    	  	-6.23	 0.04	 36,127                    	HD45583  	097.04486	-04.89903
HD46328   	 4.49	 0.11	27.0	 1.0	107	14.39	 0.80	  8	 96	10950.000	 91, 98,123	89	 0	 9	  	 1.200	 0.600	 0.100	110                    	UL	-6.88	     	 88                        	HD46328  	097.96403	-23.41842
HD47777   	 3.42	 0.15	22.0	 1.0	107	 7.89	 0.36	 60	 96	    2.640	 63        	82	 5	 5	  	 3.300	 0.700	 0.700	110                    	UL	-6.36	     	 88                        	HD47777  	100.17622	+09.65592
HD49333   	 2.73	 0.04	15.8	 0.1	 43	 4.81	 0.29	 65	 32	    2.180	 25        	85	 3	12	  	 3.643	 0.990	 1.188	 15,130                	UL	-6.53	     	 14                        	HD49333  	101.75618	-21.01540
HD49606   	 2.59	 0.06	13.5	 0.1	 43	 4.08	 0.06	 19	 99	    8.546	126        	  	  	  	UL	 0.040	      	      	130                    	UL	-6.32	     	128                        	HD49606  	102.45765	+16.20288
HD51418   	 1.80	 0.04	 9.5	 0.8	103	 2.48	 0.09	 28	 87	    5.431	116,130    	89	 0	 0	  	 3.550	 0.980	 0.361	 87,130                	UL	-6.65	     	128                        	HD51418  	104.83387	+42.31475
HD55522   	 3.00	 0.18	17.4	 0.4	107	 5.93	 0.16	 70	 96	    2.729	 96        	89	 0	 1	  	 3.100	 0.400	 0.400	110                    	UL	-5.93	     	130                        	HD55522  	108.05089	-25.94259
HD58260   	 3.22	 0.26	19.3	 1.3	107	 6.20	 0.49	  3	 96	         	           	 0	 5	 0	  	 6.500	 0.200	 0.200	110                    	UL	-6.83	     	  6, 88                    	HD58260  	110.83167	-36.34015
HD60344   	 3.58	 0.09	21.0	 0.3	 43	 7.91	 0.20	 55	109	         	           	  	  	  	LL	 1.200	      	      	 92,130                	UL	-4.78	     	  6                        	HD60344  	113.25891	-23.93426
HD61556   	 3.12	 0.24	18.5	 0.8	 73	 6.12	 0.33	 58	 73	    1.909	 73        	58	 6	 7	  	 2.800	 0.300	 0.300	110                    	  	-5.94	 0.04	120,130                    	HD61556  	114.70779	-26.80385
HD64740   	 3.81	 0.15	24.5	 1.0	107	10.08	 0.51	135	 96	    1.330	 96        	71	 5	 5	  	 3.000	 0.500	 0.500	110                    	  	-7.18	 0.04	130                        	HD64740  	118.26514	-49.61304
HD65339   	 1.45	 0.02	 8.5	 0.1	105	 2.09	 0.02	 13	 99	    8.027	106        	89	 0	 1	  	15.740	 2.340	 1.640	 30                    	UL	-7.41	     	  6, 14                    	HD65339  	120.42683	+60.32439
HD66665   	 4.69	 0.23	28.5	 1.0	107	15.88	 1.14	  8	 96	   24.500	 96        	75	 3	 3	  	 0.560	 0.100	 0.100	110                    	UL	-4.80	     	 88                        	HD66665  	121.19938	+06.18606
HD66765   	 3.44	 0.24	20.0	 2.0	 65	 7.23	 0.57	 58	 96	    1.608	 96        	73	 5	 5	  	 2.800	 0.500	 0.500	110                    	UL	-6.27	     	130                        	HD66765  	120.73215	-48.32499
HD79158   	 2.61	 0.06	13.3	 0.1	 43	 4.27	 0.13	 49	 99	    3.835	 95        	87	 1	 4	  	 3.128	 0.350	 0.420	 95                    	  	-6.53	 0.04	  6, 36                    	HD79158  	138.45089	+43.21783
HD90044   	 1.66	 0.10	10.0	 0.2	 90	 2.78	 0.26	 23	105	    4.379	 25        	89	 0	 0	  	 4.381	 1.213	 1.456	 15, 24,130            	UL	-7.85	     	 17                        	HD90044  	155.86033	-04.07403
HD105382  	 3.04	 0.16	18.0	 0.5	 26	 5.83	 0.18	 74	 96	    1.295	 26        	51	 7	 8	  	 2.600	 0.100	 0.100	110                    	  	-6.09	 0.04	120                        	HD105382 	182.02176	-50.66127
HD112413  	 1.97	 0.02	11.3	 0.2	105	 2.93	 0.03	 15	 99	    5.469	106        	88	 1	 8	  	 3.461	 0.763	 0.230	 66, 67                	  	-8.12	 0.04	  6, 36                    	HD112413 	194.00694	+38.31838
HD118022  	 1.53	 0.04	 9.4	 0.1	105	 2.26	 0.02	 12	105	    3.722	106        	65	15	17	  	 3.180	 8.001	 0.223	106                    	  	-7.46	 0.04	124                        	HD118022 	203.53305	+03.65897
HD122532  	 2.37	 0.12	11.9	 0.5	 90	 2.99	 0.04	   	   	    3.681	 12        	89	 0	 3	  	 2.978	 0.710	 0.888	  7, 13, 15,116,130    	UL	-6.93	     	 14                        	HD122532 	210.86445	-41.42334
HD124224  	 1.93	 0.01	12.3	 0.2	105	 3.02	 0.01	169	105	    0.521	 84        	87	 2	11	  	 4.000	 0.259	 0.210	 64                    	  	-6.24	 0.04	 17, 18, 31, 36,120,125    	HD124224 	213.06586	+02.40943
HD125248  	 1.39	 0.23	 9.7	 0.3	 43	 2.42	 0.07	 11	 99	    9.300	 41        	89	 0	 3	  	 9.032	 1.105	 1.326	 78                    	UL	-7.28	     	128                        	HD125248 	214.65938	-18.71596
HD125823  	 3.16	 0.20	19.0	 2.0	107	 5.89	 0.20	 16	 96	    8.817	 96        	75	 4	 6	  	 1.800	 0.200	 0.200	110                    	UL	-6.60	     	  6                        	HD125823 	215.75933	-39.51182
HD126515  	 1.36	 0.16	 8.9	 0.2	130	 2.65	 0.07	 16	130	  129.950	 23        	84	 4	13	  	13.700	 1.370	 0.685	 23                    	UL	-7.07	     	 14                        	HD126515 	216.48283	+00.99271
HD131120  	 3.15	 0.09	19.4	 1.5	130	 6.34	 0.31	 57	 32	    1.569	 57,130    	  	  	  	UL	 0.175	      	      	 68                    	UL	-6.86	     	 14                        	HD131120 	223.21280	-37.80316
HD133029  	 1.98	 0.08	11.8	 0.9	 43	 2.76	 0.12	 30	 32	    2.888	 46,130    	12	 4	 4	  	 9.000	 5.000	 0.340	  3,130                	UL	-6.93	     	 14                        	HD133029 	225.16132	+47.27744
HD133652  	 2.02	 0.10	12.8	 0.5	 90	 3.27	 0.09	 48	 99	    2.304	 25        	65	 8	11	  	 7.615	 0.846	 1.016	 15,130                	  	-7.12	 0.04	 36                        	HD133652 	226.63832	-30.91848
HD133880  	 1.73	 0.06	10.7	 0.1	 43	 3.08	 0.08	103	 99	    0.877	 83        	83	 1	 1	  	12.972	 0.877	 1.052	 83                    	  	-5.45	 0.04	 75, 36                    	HD133880 	227.05052	-40.58393
HD135679  	 2.46	 0.19	15.1	 2.8	130	 2.86	 0.06	  1	 87	    5.321	130        	14	 6	 8	  	 4.440	 9.300	 0.190	 87, 94,130            	UL	-7.13	     	 17                        	HD135679 	228.92270	+25.64254
HD137193  	 1.91	 0.13	10.6	 0.7	 90	 3.55	 0.18	   	   	    4.867	130        	 0	25	 0	  	 3.450	16.050	 0.501	  8,130                	UL	-6.37	     	 14                        	HD137193 	231.52856	-39.88901
HD137909  	 1.46	 0.01	 7.5	 0.1	105	 1.98	 0.03	  3	 99	   18.490	106        	89	 0	 2	  	 5.200	 7.100	 1.030	106,130                	UL	-7.84	     	  6                        	HD137909 	231.95731	+29.10569
HD138764  	 2.62	 0.17	15.7	 2.7	130	 4.27	 0.37	 19	 32	    1.259	 90        	  	  	  	UL	 0.049	      	      	 48                    	UL	-7.62	     	 17                        	HD138764 	233.61048	-09.18344
HD142184  	 2.85	 0.13	18.5	 0.5	107	 5.66	 0.13	288	 96	    0.508	 58        	 8	 3	 3	  	 9.000	 2.000	 2.000	110                    	  	-4.26	 0.04	 97,120                    	HD142184 	238.48277	-23.97810
HD142301  	 2.56	 0.07	15.9	 0.2	 43	 4.46	 0.05	 78	 32	    1.459	114        	47	 9	11	  	12.500	 9.001	 0.301	114                    	  	-5.63	 0.04	 14, 17, 18, 31            	HD142301 	238.66471	-25.24374
HD142884  	 2.17	 0.12	14.3	 0.5	 90	 3.73	 0.13	130	 32	    0.803	112        	  	  	  	UL	 0.750	      	      	  4,130                	UL	-6.90	     	 14                        	HD142884 	239.45334	-23.52730
HD142990  	 2.93	 0.13	18.0	 0.5	107	 5.64	 0.16	122	 96	    0.979	108        	83	 2	 3	  	 4.700	 0.400	 0.400	110                    	  	-5.77	 0.04	 14, 17, 18, 31,101        	HD142990 	239.64528	-24.83149
HD143473  	 1.87	 0.10	12.4	 1.0	 90	 2.25	 0.08	 25	 32	    2.843	 25        	18	 5	 6	  	18.545	 2.126	 2.552	 13, 15,130            	  	-6.58	 0.04	 36                        	HD143473 	240.49527	-37.53437
HD143699  	 2.65	 0.12	15.5	 0.4	 43	 4.58	 0.16	115	130	    0.894	130        	  	  	  	UL	 0.600	      	      	  4, 39,130            	  	-7.15	 0.04	 14,128                    	HD143699 	240.85079	-38.60254
HD144334  	 2.34	 0.12	14.8	 0.4	 43	 4.00	 0.12	 82	 32	    1.495	114        	55	 7	 8	  	 3.600	 0.300	 0.300	114                    	  	-6.79	 0.04	 14, 17, 31                	HD144334 	241.52662	-23.60635
HD145102  	 2.02	 0.12	10.8	 0.5	 90	 2.96	 0.12	 84	 32	    1.418	 59        	  	  	  	UL	 0.983	      	      	  8                    	UL	-6.96	     	128                        	HD145102 	242.56634	-26.90913
HD145482  	 3.59	 0.17	24.2	 4.3	130	 8.14	 0.84	166	 32	    5.804	130        	  	  	  	UL	 0.382	      	      	  8                    	UL	-7.05	     	 14                        	HD145482 	243.07585	-27.92638
