#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T16:56:07 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T16:56:07	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/701/A297/tablee2&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37010297
#Name: J/A+A/701/A297
#Title: Microturbulence across the HR Diagram (Markova+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/701/a297	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/701/a297	    IVOID of underlying data collection
#INFO	creator=Markova N.	    First author or institution
#INFO	cites=bibcode:2025A&A...701A.297M	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/701/A297	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-nx/lcjh	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_701_A297_tablee2:
#Name: J/A+A/701/A297/tablee2
#Title: Effective temperature, surface equatorial gravity, micro-turbulent velocity, and spectroscopic luminosity of pulsating Galactic stars
#Column	ID	(A6)	Star name/Star identifier	[ucd=meta.id;meta.main]
#Column	Teff	(F5.2)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Logarithm of surface equatorial gravity	[ucd=phys.gravity]
#Column	Vmic	(F5.2)	Micro-turbulent velocity	[ucd=phys.veloc.microTurb]
#Column	logLsp	(F5.2)	Logarithm of spectroscopic luminosity (G1)	[ucd=phys.luminosity]
#Column	PulsType	(A3)	Type of pulsation (1)	[ucd=meta.code]
ID	Teff	logg	Vmic	logLsp	PulsType
50513 	11.50	 4.04	 6.20	 1.59	bsp
55793 	11.18	 3.05	 3.35	 2.51	bsp
170795	15.50	 4.01	 3.30	 2.14	bsp
44321 	11.12	 3.62	 6.10	 1.94	bsp
45975 	11.15	 3.51	 3.15	 2.05	bsp
46886 	11.00	 3.00	 3.25	 2.56	bsp
47278 	10.00	 3.60	 3.05	 1.79	bsp
48808 	12.10	 3.21	 3.20	 2.50	bsp
48957 	12.00	 3.10	 3.10	 2.61	bsp
53004 	11.10	 3.91	 6.00	 1.65	bsp
56631 	13.10	 3.92	 3.00	 1.93	bsp
173693	10.00	 3.32	 3.00	 2.07	bsp
16582 	23.00	 3.80	 1.00	 3.04	 bc
29248 	23.50	 3.75	10.00	 3.12	 bc
44743 	24.00	 3.50	14.00	 3.41	 bc
46328 	27.50	 3.75	 6.00	 3.40	 bc
50707 	26.00	 3.60	 7.00	 3.45	 bc
129929	24.50	 3.95	 6.00	 3.00	 bc
163472	23.00	 4.00	 1.00	 2.84	 bc
205021	26.00	 3.70	 6.00	 3.35	 bc
214993	24.50	 3.65	10.00	 3.30	 bc
109607	19.96	 3.91	 0.00	 2.68	 bc
61068 	26.30	 4.15	 3.00	 2.92	 bc
324041	20.98	 4.01	 4.80	 2.67	 bc
205021	26.00	 3.70	 6.00	 3.35	 bc
214993	24.50	 3.65	10.00	 3.30	 bc
513030	10.67	 3.86	 1.40	 1.64	bsp
547982	14.81	 3.97	 0.10	 2.10	spb
759913	11.09	 4.08	 1.60	 1.49	bsp
817708	13.33	 3.42	 1.30	 2.47	bsp
838994	10.24	 3.86	 0.80	 1.57	bsp
122583	14.70	 3.85	 0.00	 2.21	spb
009365	 7.20	 3.90	 2.70	 0.92	 gd
019655	 7.10	 4.10	 2.80	 0.70	 gd
021788	 6.70	 4.10	 2.20	 0.59	 gd
022702	 7.20	 4.20	 2.50	 0.62	 gd
023005	 7.00	 3.90	 2.40	 0.87	 gd
023585	 7.20	 4.10	 2.80	 0.72	 gd
026298	 6.70	 4.10	 2.00	 0.59	 gd
033204	 7.60	 4.00	 3.10	 0.91	 gd
046304	 7.40	 4.00	 3.00	 0.87	 gd
063436	 7.00	 3.90	 1.70	 0.87	 gd
089781	 7.20	 4.20	 1.30	 0.62	 gd
099267	 7.00	 4.20	 2.90	 0.57	 gd
099329	 7.10	 4.10	 2.60	 0.70	 gd
104860	 6.00	 4.40	 1.90	 0.10	 gd
106103	 6.70	 4.10	 1.30	 0.59	 gd
107192	 7.00	 3.90	 2.80	 0.87	 gd
109032	 7.00	 4.20	 2.60	 0.57	 gd
109799	 7.00	 4.00	 1.80	 0.77	 gd
109838	 6.90	 4.20	 1.50	 0.55	 gd
110379	 7.10	 4.10	 1.80	 0.70	 gd
112429	 7.20	 3.90	 3.00	 0.92	 gd
118388	 6.70	 4.10	 1.90	 0.59	 gd
126516	 6.80	 4.20	 1.50	 0.52	 gd
130173	 6.80	 4.00	 2.20	 0.72	 gd
155154	 7.00	 4.00	 3.00	 0.77	 gd
165645	 7.30	 4.10	 3.20	 0.74	 gd
169577	 7.10	 4.20	 1.80	 0.60	 gd
187353	 7.20	 4.10	 1.70	 0.72	 gd
206043	 7.20	 4.00	 2.50	 0.82	 gd
075202	 7.90	 4.20	 1.40	 0.78	 gd
091201	 7.10	 3.80	 2.30	 1.00	 gd
103257	 7.10	 4.00	 2.30	 0.80	 gd
113357	 7.10	 4.10	 2.90	 0.70	 gd
133803	 7.00	 4.20	 2.20	 0.57	 gd
137785	 6.90	 3.80	 2.80	 0.95	 gd
149989	 7.10	 4.00	 2.80	 0.80	 gd
188032	 7.10	 4.00	 2.50	 0.80	 gd
197451	 7.30	 4.00	 3.10	 0.84	 gd
206481	 6.90	 4.10	 1.50	 0.65	 gd
224288	 7.10	 3.90	 2.20	 0.90	 gd
112934	 7.10	 3.90	 2.40	 0.90	 gd
115466	 7.10	 4.00	 2.00	 0.80	 gd
124248	 7.10	 4.10	 1.70	 0.70	 gd
171834	 7.00	 4.00	 2.70	 0.77	 gd
172416	 6.40	 3.90	 1.90	 0.72	 gd
175337	 7.10	 4.00	 1.70	 0.80	 gd
187028	 7.30	 4.50	 2.30	 0.34	 gd
209295	 7.30	 4.20	 2.30	 0.64	 gd
216910	 7.10	 4.30	 2.10	 0.50	 gd
224638	 7.00	 4.00	 1.50	 0.77	 gd
224945	 7.30	 4.20	 2.30	 0.64	 gd
041448	 7.20	 4.10	 2.80	 0.72	 gd
27628 	 7.31	 4.12	 3.70	 0.73	 ds
30780 	 7.79	 3.90	 2.80	 1.06	 ds
27459 	 7.78	 3.98	 3.10	 0.98	 ds
23607 	 8.06	 4.32	 3.10	 0.69	 ds
089843	 7.30	 4.00	 4.00	 0.84	 ds
099002	 7.20	 4.20	 4.00	 0.62	 ds
115308	 6.80	 4.00	 2.70	 0.72	 ds
010088	 7.10	 4.10	 2.20	 0.70	 ds
012389	 7.90	 3.80	 2.20	 1.18	 ds
023156	 7.60	 4.00	 1.90	 0.91	 ds
062437	 7.50	 3.90	 2.40	 0.99	 ds
073857	 7.00	 3.40	 2.50	 1.37	 ds
103313	 7.70	 4.00	 2.50	 0.94	 ds
110377	 7.50	 3.80	 3.30	 1.09	 ds
191635	 6.80	 3.80	 3.00	 0.92	 ds
192871	 7.00	 3.80	 4.00	 0.97	 ds
199908	 7.00	 3.80	 2.70	 0.97	 ds
210957	 7.70	 3.80	 2.90	 1.14	 ds
213272	 9.00	 3.90	 2.10	 1.31	 ds
214698	 9.40	 3.70	 1.20	 1.58	 ds
219586	 7.30	 4.00	 3.90	 0.84	 ds
034409	 7.00	 3.50	 2.50	 1.27	 ds
037819	 6.70	 4.00	 3.10	 0.69	 ds
050018	 6.80	 3.60	 4.10	 1.12	 ds
060302	 7.00	 4.00	 2.20	 0.77	 ds
079781	 6.70	 4.10	 2.90	 0.59	 ds
081882	 7.40	 3.70	 3.70	 1.17	 ds
082620	 7.20	 4.20	 3.60	 0.62	 ds
084800	 8.20	 4.20	 1.30	 0.85	 ds
090747	 6.30	 4.00	 1.50	 0.59	 ds
093044	 7.20	 3.90	 2.90	 0.92	 ds
097302	 7.60	 4.20	 3.30	 0.71	 ds
099983	 6.80	 4.30	 1.20	 0.42	 ds
102355	 8.00	 3.80	 2.00	 1.20	 ds
118954	 7.00	 3.90	 3.10	 0.87	 ds
127411	 8.10	 4.10	 2.00	 0.92	 ds
151938	 7.00	 3.80	 1.70	 0.97	 ds
154225	 6.80	 3.90	 2.90	 0.82	 ds
155118	 7.10	 3.90	 2.30	 0.90	 ds
161287	 7.00	 4.00	 3.10	 0.77	 ds
176445	 7.10	 4.00	 2.90	 0.80	 ds
176503	 7.60	 3.80	 2.80	 1.11	 ds
184522	 6.70	 4.10	 3.20	 0.59	 ds
453111	 7.00	 4.10	 3.30	 0.67	 ds
TAnt  	 6.26	 2.10	 4.40	 2.48	 cp
TCru  	 5.94	 2.20	 5.10	 2.29	 cp
V0473L	 6.02	 2.30	 3.55	 2.21	 cp
SUCas 	 6.27	 2.26	 2.41	 2.32	 cp
DTCyg 	 6.19	 2.27	 2.63	 2.29	 cp
SZTau 	 5.99	 2.03	 2.86	 2.47	 cp
V1334C	 6.29	 2.22	 2.81	 2.37	 cp
RTAur 	 5.95	 2.06	 2.75	 2.43	 cp
SUCyg 	 6.04	 2.08	 3.21	 2.43	 cp
STTau 	 6.05	 2.07	 3.04	 2.45	 cp
BQSer 	 6.04	 2.16	 3.26	 2.35	 cp
YLac  	 5.91	 1.87	 3.62	 2.61	 cp
TVul  	 5.85	 2.03	 3.20	 2.43	 cp
FFAql 	 6.16	 2.04	 3.15	 2.51	 cp
CFCas 	 5.67	 1.74	 3.41	 2.67	 cp
BGLac 	 5.67	 1.70	 3.20	 2.71	 cp
delCep	 5.85	 1.96	 3.00	 2.50	 cp
YSgr  	 5.77	 1.77	 3.53	 2.66	 cp
FMAql 	 5.77	 1.68	 3.41	 2.75	 cp
XVul  	 5.75	 1.81	 3.12	 2.62	 cp
XXSgr 	 5.80	 1.81	 3.05	 2.64	 cp
AWPer 	 5.93	 1.86	 3.00	 2.62	 cp
USgr  	 5.71	 1.79	 3.39	 2.63	 cp
UAql  	 5.57	 1.64	 3.26	 2.73	 cp
etaAql	 5.75	 1.86	 3.30	 2.57	 cp
BBHer 	 5.64	 1.65	 3.33	 2.75	 cp
RSOri 	 5.89	 1.77	 2.99	 2.70	 cp
V0440P	 6.06	 1.97	 3.00	 2.55	 cp
WSgr  	 5.76	 1.78	 3.12	 2.65	 cp
RXCam 	 5.70	 1.65	 3.20	 2.77	 cp
WGem  	 5.77	 1.69	 3.25	 2.75	 cp
UVul  	 5.78	 1.73	 3.11	 2.71	 cp
DLCas 	 5.68	 1.56	 3.57	 2.85	 cp
V0636C	 5.51	 1.47	 3.20	 2.88	 cp
SSge  	 5.69	 1.73	 3.22	 2.68	 cp
V0500S	 5.68	 1.56	 3.11	 2.85	 cp
FNAql 	 5.49	 1.38	 3.16	 2.97	 cp
YZSgr 	 5.65	 1.69	 3.29	 2.71	 cp
zetGem	 5.51	 1.52	 3.12	 2.84	 cp
ZLac  	 5.62	 1.49	 3.41	 2.90	 cp
VXPer 	 5.78	 1.64	 3.23	 2.80	 cp
RXAur 	 5.78	 1.67	 3.51	 2.77	 cp
TTAql 	 5.27	 1.15	 3.50	 3.13	 cp
SVMon 	 5.33	 1.11	 3.33	 3.19	 cp
XCyg  	 5.25	 1.10	 3.62	 3.17	 cp
RWCam 	 5.21	 1.03	 3.29	 3.23	 cp
CDCyg 	 5.39	 1.19	 3.55	 3.13	 cp
YOph  	 5.82	 1.62	 3.24	 2.83	 cp
SZAql 	 5.40	 1.20	 3.71	 3.12	 cp
WZSgr 	 5.14	 0.88	 3.86	 3.35	 cp
XPup  	 5.35	 0.75	 3.54	 3.56	 cp
TMon  	 5.11	 0.93	 3.72	 3.29	 cp
SVVul 	 5.33	 0.85	 4.06	 3.45	 cp
SVul  	 5.45	 0.93	 4.79	 3.41	 cp
V340  	 5.29	 1.14	 4.77	 3.15	 cp
Aql   	 5.48	 1.11	 3.43	 3.24	 cp
Cru   	 6.01	 1.64	 3.08	 2.87	 cp
Dor   	 5.56	 1.35	 3.78	 3.02	 cp
Gem   	 5.49	 1.12	 3.22	 3.23	 cp
Oph   	 5.61	 0.99	 3.22	 3.40	 cp
Pup   	 5.38	 0.84	 4.66	 3.47	 cp
Sct   	 5.04	 1.24	 4.86	 2.96	 cp
Sgr   	 5.58	 1.30	 4.13	 3.08	 cp
TrA   	 6.04	 1.97	 4.01	 2.54	 cp
Vel   	 5.48	 1.23	 4.62	 3.12	 cp
AAGem 	 5.14	 1.23	 3.92	 3.00	 cp
ADGem 	 5.78	 2.15	 4.30	 2.29	 cp
AAMon 	 5.80	 2.26	 4.90	 2.18	 cp
ACMon 	 6.07	 1.90	 4.80	 2.62	 cp
AASer 	 5.05	 1.26	 3.52	 2.94	 cp
ADCru 	 6.00	 2.00	 4.00	 2.50	 cp
AETau 	 5.98	 2.30	 4.00	 2.20	 cp
AEVel 	 5.46	 1.70	 4.50	 2.64	 cp
AGCru 	 6.63	 2.20	 4.70	 2.48	 cp
AHVel 	 6.04	 2.20	 4.30	 2.31	 cp
AOAur 	 5.46	 1.70	 3.60	 2.64	 cp
APPup 	 6.23	 2.10	 4.20	 2.47	 cp
APSgr 	 6.33	 2.02	 3.46	 2.58	 cp
AQCar 	 5.82	 1.90	 4.90	 2.55	 cp
AQPup 	 4.94	 0.60	 5.50	 3.56	 cp
ASPer 	 5.55	 1.72	 3.35	 2.65	 cp
ATPup 	 6.45	 2.10	 5.00	 2.53	 cp
AVCir 	 6.17	 2.10	 3.30	 2.45	 cp
AVSgr 	 5.88	 1.75	 4.90	 2.72	 cp
AWPer 	 5.91	 2.00	 3.65	 2.48	 cp
AXCir 	 5.76	 1.80	 3.70	 2.63	 cp
AYCen 	 5.93	 2.10	 4.50	 2.38	 cp
AZCen 	 6.43	 2.30	 4.00	 2.32	 cp
BBCen 	 6.20	 2.30	 4.60	 2.26	 cp
BBGem 	 6.03	 2.40	 3.00	 2.11	 cp
BBHer 	 5.65	 1.75	 4.20	 2.65	 cp
BBSgr 	 5.86	 1.87	 4.47	 2.59	 cp
BCPup 	 6.70	 2.00	 3.50	 2.69	 cp
BDCas 	 6.20	 2.50	 5.00	 2.00	 cp
BTDor 	 5.62	 1.60	 4.30	 2.79	 cp
BFOph 	 5.54	 1.90	 4.10	 2.46	 cp
BGCru 	 6.31	 2.30	 4.20	 2.29	 cp
BGLac 	 5.92	 1.90	 3.80	 2.58	 cp
BGVel 	 5.73	 1.90	 5.30	 2.52	 cp
BMPer 	 5.31	 0.54	 3.40	 3.75	 cp
BNPup 	 5.11	 1.00	 3.50	 3.22	 cp
BPCir 	 6.53	 2.40	 3.70	 2.25	 cp
CDCyg 	 5.21	 1.00	 3.50	 3.26	 cp
CECas 	 5.82	 1.73	 3.81	 2.72	 cp
CEPup 	 5.85	 1.30	 5.80	 3.16	 cp
CFCas 	 5.45	 1.70	 4.30	 2.64	 cp
CHCas 	 6.32	 1.80	 5.50	 2.79	 cp
CNCar 	 6.33	 2.20	 4.30	 2.40	 cp
CPCep 	 5.15	 1.30	 4.10	 2.94	 cp
CRCep 	 5.44	 1.33	 4.02	 3.00	 cp
CSOri 	 6.54	 2.50	 3.60	 2.15	 cp
CUMon 	 5.68	 1.90	 4.50	 2.51	 cp
CXVel 	 6.25	 2.20	 5.30	 2.37	 cp
CYCar 	 6.04	 2.20	 4.00	 2.32	 cp
CYCas 	 5.37	 0.85	 3.45	 3.46	 cp
DDCas 	 5.90	 1.80	 4.50	 2.67	 cp
DFCas 	 5.64	 2.20	 4.65	 2.20	 cp
DKVel 	 6.45	 2.20	 3.70	 2.43	 cp
DLCas 	 5.83	 1.70	 4.45	 2.75	 cp
DRVel 	 5.48	 1.50	 3.80	 2.85	 cp
DTCyg 	 6.41	 2.60	 3.70	 2.02	 cp
DXGem 	 6.10	 1.90	 2.80	 2.63	 cp
DYCar 	 6.53	 2.30	 5.30	 2.35	 cp
EEMon 	 6.13	 1.80	 4.50	 2.74	 cp
EKMon 	 6.00	 2.00	 4.50	 2.50	 cp
ERCar 	 5.87	 2.10	 6.00	 2.37	 cp
ETAAql	 5.80	 1.90	 4.00	 2.54	 cp
EUTau 	 6.20	 2.00	 3.00	 2.56	 cp
EWSct 	 5.66	 1.70	 3.40	 2.70	 cp
EXVel 	 5.90	 2.00	 5.00	 2.47	 cp
FFAql 	 6.17	 2.15	 4.30	 2.40	 cp
FFAql 	 6.33	 2.10	 5.20	 2.50	 cp
FGMon 	 5.63	 1.60	 3.00	 2.79	 cp
FGVel 	 5.41	 1.50	 4.40	 2.82	 cp
FICar 	 5.22	 1.20	 3.80	 3.06	 cp
FIMon 	 5.94	 2.00	 3.50	 2.49	 cp
FMAql 	 5.59	 1.60	 3.70	 2.78	 cp
FMCas 	 5.39	 1.60	 4.20	 2.72	 cp
FNVel 	 5.81	 1.90	 3.70	 2.55	 cp
FRCar 	 5.91	 2.00	 5.00	 2.48	 cp
GHCar 	 6.34	 2.00	 5.50	 2.60	 cp
GHLup 	 5.46	 1.60	 4.60	 2.74	 cp
GQOri 	 6.00	 1.00	 4.10	 3.50	 cp
GUNor 	 6.04	 2.00	 3.60	 2.51	 cp
GXCar 	 6.30	 2.20	 5.30	 2.39	 cp
HWCar 	 5.67	 2.00	 5.20	 2.41	 cp
IOCar 	 6.14	 1.80	 6.00	 2.74	 cp
IRCep 	 6.10	 2.10	 2.90	 2.43	 cp
ITCar 	 5.79	 1.80	 4.70	 2.64	 cp
KKCen 	 5.89	 1.90	 5.50	 2.57	 cp
KNCen 	 4.87	 1.70	 4.50	 2.44	 cp
KQSco 	 5.06	 1.10	 5.70	 3.11	 cp
LCar  	 5.30	 1.10	 4.50	 3.19	 cp
LRTrA 	 5.94	 2.20	 4.40	 2.29	 cp
MMPer 	 5.75	 2.15	 3.40	 2.28	 cp
MWCyg 	 5.52	 1.65	 4.00	 2.71	 cp
MYPup 	 6.32	 2.20	 4.80	 2.39	 cp
MZCen 	 5.82	 1.90	 5.20	 2.55	 cp
NTPup 	 5.56	 1.20	 4.00	 3.17	 cp
QYCen 	 6.20	 2.20	 4.30	 2.36	 cp
RCru  	 6.20	 2.00	 4.00	 2.56	 cp
RMus  	 5.99	 2.20	 4.00	 2.30	 cp
RTrA  	 6.12	 2.20	 3.80	 2.34	 cp
RRLac 	 5.65	 1.80	 4.10	 2.60	 cp
RSOri 	 5.93	 1.85	 5.10	 2.63	 cp
RSPup 	 5.07	 1.00	 5.00	 3.21	 cp
RTMus 	 6.24	 2.40	 4.00	 2.17	 cp
RVSco 	 6.17	 2.30	 5.40	 2.25	 cp
RXAur 	 6.16	 2.00	 4.70	 2.55	 cp
RXCam 	 5.97	 1.95	 4.10	 2.54	 cp
RYCMa 	 6.10	 2.10	 4.30	 2.43	 cp
RYSco 	 5.52	 1.50	 6.30	 2.86	 cp
RYVel 	 5.47	 1.30	 4.60	 3.04	 cp
RZGem 	 5.91	 2.20	 3.10	 2.28	 cp
RZVel 	 6.67	 1.55	 6.50	 3.14	 cp
SCru  	 6.46	 2.10	 4.10	 2.53	 cp
SMus  	 5.75	 1.80	 4.40	 2.63	 cp
SNor  	 5.86	 2.00	 5.00	 2.46	 cp
SSge  	 6.24	 2.20	 4.10	 2.37	 cp
STrA  	 5.98	 2.10	 4.20	 2.40	 cp
SVul  	 5.17	 0.50	 6.40	 3.74	 cp
STTau 	 6.27	 2.00	 3.50	 2.58	 cp
STVel 	 6.26	 2.10	 4.30	 2.48	 cp
SUCas 	 6.34	 2.51	 3.15	 2.09	 cp
SUCyg 	 5.16	 2.23	 3.98	 2.01	 cp
SVMon 	 5.57	 1.26	 4.93	 3.11	 cp
SVPer 	 5.73	 1.70	 4.30	 2.72	 cp
SVVel 	 6.06	 2.00	 6.00	 2.52	 cp
SVVul 	 5.43	 0.95	 5.45	 3.38	 cp
SWCas 	 5.75	 2.00	 5.10	 2.43	 cp
SWVel 	 5.01	 1.00	 4.40	 3.19	 cp
SXCar 	 6.51	 2.10	 4.50	 2.55	 cp
SXVel 	 6.28	 2.00	 4.50	 2.58	 cp
SYCas 	 5.72	 2.00	 4.30	 2.42	 cp
SYNor 	 5.64	 1.80	 4.70	 2.60	 cp
SZAql 	 5.85	 1.55	 4.93	 2.91	 cp
SZCas 	 6.16	 1.60	 4.30	 2.95	 cp
SZCyg 	 5.11	 1.30	 3.90	 2.92	 cp
SZTau 	 5.95	 2.10	 3.45	 2.39	 cp

