#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T16:56:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T16:56:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/665/A150&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36650150
#Name: J/A+A/665/A150
#Title: Rotational properties of Galactic O-type stars (Holgado+ 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/665/a150	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/665/a150	    IVOID of underlying data collection
#INFO	creator=Holgado G.	    First author or institution
#INFO	cites=bibcode:2022A&A...665A.150H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/665/A150	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36650150	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-07-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_665_A150_tablef1:
#Name: J/A+A/665/A150/tablef1
#Title: O-type stars considered in this work with rotational parameters
#Column	Target	(a15)	Star name	[ucd=meta.id;meta.main]
#Column	SpType	(A5)	Spectral type	[ucd=src.spType]
#Column	LumClass	(a15)	Luminosity class	[ucd=src.class.luminosity]
#Column	l_Teff	(A1)	Limit flag on Teff	[ucd=meta.code.error;phys.temperature.effective]
#Column	Teff	(F4.1)	Effective temperature	[ucd=phys.temperature.effective]
#Column	l_loggt	(A1)	Limit flag on loggt	[ucd=meta.code.error]
#Column	loggt	(F5.2)	Gravity corrected from rotational effects	[ucd=phys.gravity]
#Column	l_logLsp	(A1)	Limit flag on logLsp	[ucd=meta.code.error]
#Column	logLsp	(F5.2)	Lsp parameter (1)	[ucd=phys.luminosity]
#Column	Line	(A4)	Line for analysis	[ucd=meta.id;spect.line]
#Column	vsini	(I3)	projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	vmacro	(I3)	? Extra-broadening velocity	[ucd=phys.veloc.microTurb]
#Column	Nepochs	(I3)	Number of epochs available	[ucd=meta.number]
#Column	subsample	(A1)	[abc] Flag ID for subsample clustering	[ucd=meta.code]
#Column	Notes	(A3)	Multi-epoch notes	[ucd=meta.note]
#Column	SimbadName	(a14)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Target	SpType	LumClass	l_Teff	Teff	l_loggt	loggt	l_logLsp	logLsp	Line	vsini	vmacro	Nepochs	subsample	Notes	SimbadName	_RA	_DE
HD 69464       	O7   	Ib  (f)        	 	35.8	 	 3.38	 	 4.23	OIII	 73	105	  8	b	LPV	HD 69464      	123.95235	-35.63135
BD -13 4927    	O7   	II  (f)        	 	36.0	 	 3.51	 	 4.11	OIII	 98	 78	  6	b	LPV	BD -13 4927   	274.66706	-13.75517
HD 94963       	O7   	II  (f)        	 	36.3	 	 3.54	 	 4.09	OIII	 76	 92	  3	b	   	HD 94963      	164.14911	-61.70897
HD 120521      	O7.5 	Ib  (f)        	 	34.6	 	 3.39	 	 4.16	OIII	100	 95	  2	b	LPV	HD 120521     	207.89159	-58.53952
HD 171589      	O7.5 	II  (f)        	 	36.5	 	 3.66	 	 3.98	OIII	100	 86	  3	b	LPV	HD 171589     	279.05266	-14.11551
HD 17603       	O7.5 	Ib  (f)        	 	33.3	 	 3.26	 	 4.22	OIII	103	108	  2	b	SB1	HD 17603      	042.94916	+57.04846
HD 156154      	O7.5 	Ib  (f)        	 	34.2	 	 3.31	 	 4.22	OIII	 62	102	  4	b	LPV	HD 156154     	259.36254	-35.53667
HD 192639      	O7.5 	Iab  f         	 	34.7	 	 3.43	 	 4.12	OIII	 82	 95	  9	b	   	HD 192639     	303.62678	+37.35384
HD 188001      	O7.5 	Iab  f         	 	32.4	 	 3.20	 	 4.23	OIII	 69	100	 92	b	SB1	HD 188001     	298.09069	+18.67188
HD 34656       	O7.5 	II  (f)        	 	36.0	 	 3.50	 	 4.12	OIII	 67	 77	 62	b	LPV	HD 34656      	080.17950	+37.43867
HD 96917       	O8   	Ib  (n)(f)     	 	32.0	 	 3.20	 	 4.21	OIII	165	 77	  4	b	LPV	HD 96917      	167.17757	-57.06581
HD 175754      	O8   	II  (n)((f))p  	 	34.2	 	 3.39	 	 4.14	OIII	182	121	  7	b	LPV	HD 175754     	284.39879	-19.15313
HD 151804      	O8   	Ia  f          	<	28.2	 	 2.86	 	 4.33	OIII	 72	 73	  2	b	   	HD 151804     	252.89051	-41.23053
HD 162978      	O8   	II  ((f))      	 	35.0	 	 3.50	 	 4.07	OIII	 54	 86	  7	b	   	HD 162978     	268.72518	-24.88710
BD -11 4586    	O8   	Ib  (f)        	 	32.4	 	 3.22	 	 4.21	OIII	 74	 68	  2	b	LPV	BD -11 4586   	274.51393	-11.29412
HD 225160      	O8   	Iab  f         	 	33.2	 	 3.35	 	 4.12	OIII	 77	103	  3	b	   	HD 225160     	001.01581	+62.22195
HD 75211       	O8.5 	II  ((f))      	 	33.4	 	 3.40	 	 4.08	OIII	145	 53	  4	b	SB1	HD 75211      	131.75663	-44.07468
HD 125241      	O8.5 	Ib  (f)        	 	32.1	 	 3.24	 	 4.18	OIII	118	 95	  4	b	LPV	HD 125241     	215.09493	-60.88951
HDE 303492     	O8.5 	Ia  f          	 	28.3	 	 2.91	 	 4.29	OIII	 87	 55	  4	b	LPV	HDE 303492    	162.96979	-58.97646
BD +39 1328    	O8.5 	Iab  (n)(f)    	 	32.8	 	 3.42	 	 4.03	OIII	 90	 37	  1	b	   	BD +39 1328   	083.05771	+40.06608
HD 112244      	O8.5 	Iab  (f)p      	 	31.5	 	 3.23	 	 4.15	OIII	124	 80	 12	b	SB1	HD 112244     	193.98806	-56.83581
HD 74194       	O8.5 	Ib-II  (f)p    	 	32.2	 	 3.36	 	 4.06	OIII	184	 49	 20	b	SB1	HD 74194      	130.19913	-45.05840
HD 207198      	O8.5 	II  ((f))      	 	33.1	 	 3.31	 	 4.16	OIII	 52	 97	 53	b	LPV	HD 207198     	326.22200	+62.46057
HD 148546      	O9   	Iab            	 	32.0	 	 3.30	 	 4.11	OIII	 85	 95	  4	b	LPV	HD 148546     	247.59713	-37.97255
HD 155756      	O9   	Ib  p          	 	32.0	 	 3.29	 	 4.12	OIII	 62	 99	  2	b	   	HD 155756     	258.95895	-45.91077
HD 151018      	O9   	Ib             	 	32.0	 	 3.31	 	 4.10	OIII	 67	 65	  1	b	   	HD 151018     	251.73382	-45.88731
HD 173783      	O9   	Iab            	 	31.2	 	 3.09	 	 4.28	OIII	 89	 90	  1	b	   	HD 173783     	281.85076	-09.30820
HD 191423      	ON9  	II-III  nn     	 	32.3	 	 3.71	 	 3.72	HeI 	432	   	  7	c	LPV	HD 191423     	302.02964	+42.60610
HD 71304       	O9   	II             	 	32.0	 	 3.30	 	 4.11	OIII	 52	100	  2	b	   	HD 71304      	126.23245	-44.30084
HD 209975      	O9   	Ib             	 	32.0	 	 3.30	 	 4.11	OIII	 50	104	 80	b	LPV	HD 209975     	331.28662	+62.27981
HD 210809      	O9   	Iab            	 	30.9	 	 3.12	 	 4.23	OIII	 70	105	  4	b	LPV	HD 210809     	332.91084	+52.42999
HD 202124      	O9   	Iab            	 	31.1	 	 3.22	 	 4.14	OIII	 88	114	  3	b	   	HD 202124     	318.11829	+44.53170
HD 152249      	OC9  	Iab            	 	31.1	 	 3.21	 	 4.15	OIII	 71	 70	 19	b	LPV	HD 152249     	253.54850	-41.84925
HD 237211      	O9   	Ib             	 	30.7	 	 3.09	 	 4.25	OIII	 51	 82	  3	b	LPV	HD 237211     	060.81520	+56.54024
HD 30614       	O9   	Ia             	 	29.4	 	 3.00	 	 4.26	OIII	113	 77	 23	b	SB1	HD 30614      	073.51254	+66.34268
CPD -59 5634   	O9.2 	Ib             	 	31.8	 	 3.28	 	 4.12	OIII	 48	102	  2	b	   	CPD -59 5634  	218.72680	-60.42771
HD 101545 AaAb 	O9.2 	II             	 	31.9	 	 3.37	 	 4.04	OIII	 44	 79	  2	b	LPV	HD 101545     	175.15418	-62.56810
HD 37742       	O9.2 	Ib  Nwk  var   	 	30.1	 	 3.15	 	 4.15	OIII	122	 97	135	b	SB1	HD 37742      	085.18970	-01.94257
HD 76968       	O9.2 	Ib             	 	30.8	 	 3.28	 	 4.06	OIII	 53	 65	  5	b	SB1	HD 76968      	134.37022	-50.74950
HD 123008      	ON9.2	Iab            	 	31.7	 	 3.22	 	 4.17	OIII	 62	 94	  2	b	   	HD 123008     	211.87768	-64.46911
HD 154368      	O9.2 	Iab            	 	30.4	 	 3.04	 	 4.28	OIII	 65	 78	  5	b	   	HD 154368     	256.61820	-35.45104
HD 218915      	O9.2 	Iab            	 	31.1	 	 3.22	 	 4.14	OIII	 63	 88	  4	b	   	HD 218915     	347.77895	+53.05824
HD 152424      	OC9.2	Ia             	 	30.2	 	 3.17	 	 4.14	OIII	 59	 66	  5	b	SB1	HD 152424     	253.76387	-42.09083
HD 36486 AaAb  	O9.5 	II  Nwk        	 	30.1	 	 3.33	 	 3.97	OIII	100	 94	 12	b	SB1	HD 36486      	083.00167	-00.29909
HD 188209      	O9.5 	Iab            	 	30.1	 	 3.04	 	 4.26	OIII	 54	 93	112	b	LPV	HD 188209     	297.99612	+47.02734
HD 10125       	O9.7 	II             	 	30.9	 	 3.41	 	 3.94	OIII	122	125	  3	b	SB1	HD 10125      	025.21982	+64.17309
HD 89137       	ON9.7	II  (n)        	 	29.1	 	 3.37	 	 3.88	SIII	238	   	  3	c	   	HD 89137      	153.91702	-51.25669
HD 28446 A     	O9.7 	II  n          	 	29.8	 	 3.65	 	 3.64	SIII	299	   	  4	c	LPV	HD 28446 A    	068.00767	+53.91084
HD 165174      	O9.7 	II  n          	 	30.2	 	 3.45	 	 3.86	OIII	264	   	  4	c	SB1	HD 165174     	271.15566	+01.91899
HD 305619      	O9.7 	II             	 	31.0	 	 3.29	 	 4.07	OIII	 48	 94	  1	b	   	HD 305619     	162.06468	-60.26577
HD 75222       	O9.7 	Iab            	 	30.2	 	 3.22	 	 4.09	SIII	 86	 65	  5	b	LPV	HD 75222      	131.85474	-36.75074
HD 18409       	O9.7 	Ib             	 	30.0	 	 3.15	 	 4.15	OIII	131	102	  2	b	LPV	HD 18409      	045.12380	+62.72196
HD 173010      	O9.7 	Ia+  var       	 	27.9	 	 2.99	 	 4.18	OIII	 61	 88	  2	b	LPV	HD 173010     	280.87378	-09.32017
HD 152003      	O9.7 	Iab  Nwk       	 	30.1	 	 3.18	 	 4.12	OIII	 65	 83	  2	b	   	HD 152003     	253.19739	-41.78583
HD 13745       	O9.7 	II  (n)        	 	30.0	 	 3.29	 	 4.01	OIII	197	 57	  3	b	LPV	HD 13745      	033.94140	+55.99631
HD 167264      	O9.7 	Iab            	 	28.8	 	 3.14	 	 4.09	SIII	 71	 69	 10	b	SB1	HD 167264     	273.80378	-20.72827
HD 105056      	ON9.7	Ia  e          	 	27.4	 	 2.88	 	 4.26	OIII	 56	 46	  6	b	LPV	HD 105056     	181.45784	-69.57305
HD 195592      	O9.7 	Ia             	 	28.0	 	 2.91	 	 4.27	OIII	 38	100	  2	b	   	HD 195592     	307.64570	+44.31524
HD 149038      	O9.7 	Iab            	 	29.8	 	 3.18	 	 4.11	OIII	 52	 90	 28	b	   	HD 149038     	248.52092	-44.04531
HD 225146      	O9.7 	Iab            	 	28.3	 	 3.11	 	 4.09	OIII	 67	 88	  3	b	LPV	HD 225146     	000.98959	+61.10364
HD 104565      	OC9.7	Iab            	 	28.9	 	 3.01	 	 4.22	OIII	 56	116	  1	b	   	HD 104565     	180.61582	-58.24288
HD 191781      	ON9.7	Iab            	 	28.7	<	 3.39	>	 3.83	SIII	105	 48	  1	c	   	HD 191781     	302.46076	+45.40291
HD 154811      	OC9.7	Ib             	 	29.8	 	 3.22	 	 4.07	SIII	124	 62	  2	b	LPV	HD 154811     	257.47119	-47.03144
HD 152147      	O9.7 	Ib  Nwk        	 	30.1	 	 3.26	 	 4.04	OIII	 91	 64	  4	b	SB1	HD 152147     	253.36924	-42.12140
HD 47432       	O9.7 	Ib             	 	29.1	 	 3.04	 	 4.21	OIII	 97	 63	  4	b	LPV	HD 47432      	099.65911	+01.61352
HD 68450       	O9.7 	II             	 	30.6	 	 3.31	 	 4.02	OIII	 39	 77	  4	b	   	HD 68450      	122.75701	-37.29237
HD 152405      	O9.7 	II             	 	30.3	 	 3.29	 	 4.03	OIII	 59	 61	  8	b	SB1	HD 152405     	253.73071	-40.52483
HD 93843       	O5   	III  (fc)      	 	37.3	 	 3.53	 	 4.15	OIII	 58	120	  4	b	   	HD 93843      	162.15738	-60.22376
HD 97253       	O5   	III  (f)       	 	39.1	 	 3.60	 	 4.16	OIII	 70	105	  2	b	LPV	HD 97253      	167.67519	-60.38448
HD 14442       	O5   	...  n(f)p     	 	39.1	 	 3.62	 	 4.14	HeI 	324	   	  7	b	LPV	HD 14442      	035.54459	+59.54969
HDE 338 931    	O6   	III  (f)       	 	38.1	 	 3.76	 	 3.95	OIII	170	  9	  1	a	   	HDE 338931    	296.76142	+24.84876
HD 156738 AB   	O6.5 	III  (f)       	 	37.9	 	 3.83	 	 3.87	OIII	 65	103	  2	a	   	HD 156738     	260.21941	-36.07238
HD 190864      	O6.5 	III  (f)       	 	37.5	 	 3.64	 	 4.05	OIII	 66	 90	  2	b	   	HD 190864     	301.41584	+35.60778
HD 96946       	O6.5 	III  (f)       	 	39.0	 	 3.86	 	 3.89	OIII	 72	 58	  5	a	LPV	HD 96946      	167.21570	-60.75942
HD 175876      	O6.5 	III  (n)(f)    	 	36.1	 	 3.59	 	 4.03	OIII	282	   	 10	b	LPV	HD 175876     	284.54486	-20.42376
HD 130298      	O6.5 	III  (n)(f)    	 	38.2	 	 3.69	 	 4.03	OIII	167	 85	 10	b	SB1	HD 130298     	222.39069	-56.42735
HD 152723 AaAb 	O6.5 	III  (f)       	 	38.0	 	 3.81	 	 3.90	OIII	 73	100	 13	a	SB1	HD 152723     	254.22779	-40.51235
BD +60 2522    	O6.5 	...  (n)fp     	 	36.2	 	 3.55	 	 4.07	OIII	247	   	  3	b	LPV	BD +60 2522   	350.18547	+61.19459
HD 167659      	O7   	II-III  (f)    	 	37.0	 	 3.60	 	 4.06	OIII	 71	 84	  4	b	   	HD 167659     	274.24402	-18.96811
HD 94370       	O7   	...  (n)fp     	 	35.1	 	 3.43	 	 4.14	OIII	182	 91	  7	b	LPV	HD 94370      	163.09699	-58.74655
CYG OB2-4 A    	O7   	III  ((f))     	 	36.4	 	 3.53	 	 4.10	OIII	 72	105	  1	b	   	Schulte 4     	308.05759	+41.45334
HD 93160 AB    	O7   	III  ((f))     	 	36.6	 	 3.85	 	 3.79	OIII	120	 64	  4	c	LPV	HD 93160      	161.03025	-59.57517
HD 24912       	O7.5 	III  (n)((f))  	 	35.9	 	 3.67	 	 3.94	OIII	230	   	 20	b	LPV	HD 24912      	059.74126	+35.79103
HD 117797      	O7.5 	...  fp        	 	33.8	 	 3.33	 	 4.18	OIII	150	 80	  4	b	LPV	HD 117797     	203.54993	-62.41716
HD 163800      	O7.5 	III  ((f))     	 	35.2	 	 3.42	 	 4.16	OIII	 53	107	  4	b	LPV	HD 163800     	269.73858	-22.51755
BD +60 261     	O7.5 	III  (n)((f))  	 	35.0	 	 3.50	 	 4.07	OIII	162	 92	  3	b	LPV	BD +60 261    	023.13634	+61.12940
HD 186980      	O7.5 	III  ((f))     	 	35.8	 	 3.48	 	 4.13	OIII	 61	 83	  4	b	   	HD 186980     	296.56626	+32.11616
HD 203064      	O7.5 	III  n((f))    	 	35.3	 	 3.69	 	 3.89	OIII	312	   	 31	b	LPV	HD 203064     	319.61328	+43.94594
HD 97434       	O7.5 	III  (n)((f))  	 	34.8	 	 3.57	 	 3.99	OIII	217	   	  3	b	LPV	HD 97434      	167.95658	-60.69952
HD 36861 A     	O8   	III  ((f))     	 	35.2	 	 3.52	 	 4.06	OIII	 52	 77	174	b	   	HD 36861      	083.78448	+09.93416
HD 218195 A    	O8.5 	III  Nstr      	 	34.1	 	 3.53	 	 3.99	OIII	 44	 78	  3	b	LPV	HD 218195 A   	346.30389	+58.24149
HD 114737 AB   	O8.5 	III            	 	35.7	 	 3.88	 	 3.72	OIII	 58	 83	  4	c	SB1	HD 114737     	198.43972	-63.58659
HD 116852      	O8.5 	II-III  ((f))  	 	34.0	 	 3.52	 	 4.00	OIII	114	 69	  2	b	   	HD 116852     	202.59799	-78.85571
HD 13268       	ON8.5	III  n         	 	34.2	 	 3.61	 	 3.92	HeI 	290	   	  3	b	   	HD 13268      	032.87375	+56.15881
HD 150574      	ON9  	III  (n)       	 	33.1	 	 3.60	 	 3.87	OIII	252	   	  1	b	   	HD 150574     	251.03004	-46.14162
HD 113904 B    	O9   	III            	 	32.9	 	 3.51	 	 3.95	OIII	 84	 83	  2	b	SB1	HD 113904 B   	197.02937	-65.30749
HD 305523      	O9   	II-III         	 	32.2	 	 3.44	 	 3.98	OIII	 57	 78	  1	b	   	HD 305523     	161.12282	-59.95503
HD 24431       	O9   	III            	 	34.9	 	 3.77	 	 3.79	OIII	 49	 81	  4	c	   	HD 24431      	058.91009	+52.64132
HD 193443 AB   	O9   	III            	 	33.0	 	 3.51	 	 3.95	OIII	 66	140	  2	b	LPV	HD 193443     	304.71546	+38.27958
HD 105627      	O9   	III            	 	33.7	 	 3.63	 	 3.87	OIII	141	122	  5	b	SB1	HD 105627     	182.43576	-62.58184
HD 90087       	O9.2 	III  (n)       	 	31.6	 	 3.50	 	 3.89	HeI 	293	   	  4	b	LPV	HD 90087      	155.58698	-59.75547
HD 16832       	O9.2 	III            	 	32.0	 	 3.37	 	 4.04	OIII	 45	 70	  2	b	   	HD 16832      	041.05298	+56.65757
HD 152247      	O9.2 	III            	 	32.1	 	 3.48	 	 3.94	OIII	 82	 96	  7	b	SB1	HD 152247     	253.54799	-41.64194
HD 15642       	O9.5 	II-III  n      	 	29.9	 	 3.52	 	 3.77	OIII	286	   	  3	c	LPV	HD 15642      	038.23493	+55.32752
HD 37737       	O9.5 	II-III  (n)    	 	30.0	 	 3.50	 	 3.80	OIII	201	   	  6	c	SB1	HD 37737      	085.62983	+36.20014
HD 52266       	O9.5 	III  n         	 	32.2	 	 3.63	 	 3.79	OIII	267	   	  5	c	LPV	HD 52266      	105.08782	-05.82665
HD 37743       	O9.5 	II-III  (n)    	 	30.8	 	 3.33	 	 4.01	OIII	112	112	  1	b	   	HD 37743      	085.18988	-01.94322
HD 93521       	O9.5 	III  nn        	 	31.7	 	 3.78	 	 3.61	HeI 	385	   	 36	c	LPV	HD 93521      	162.09796	+37.57030
HD 117490      	ON9.5	III  nn        	 	31.6	 	 3.74	 	 3.65	HeI 	343	   	 10	c	LPV	HD 117490     	203.03583	-60.81541
HD 91651       	ON9.5	III  n         	 	31.8	 	 3.62	 	 3.78	HeI 	271	131	  9	c	SB1	HD 91651      	158.37625	-60.12779
HD 189957      	O9.7 	III            	 	32.1	 	 3.58	 	 3.84	OIII	 88	 54	  2	c	   	HD 189957     	300.25002	+42.00856
HD 154643      	O9.7 	III            	 	31.0	 	 3.51	 	 3.85	OIII	101	 78	  5	c	SB1	HD 154643     	257.05826	-35.00435
HD 13022       	O9.7 	II-III         	 	30.0	 	 3.24	 	 4.06	SIII	 98	131	  2	b	   	HD 13022      	032.37530	+58.78376
BD +60 498     	O9.7 	II-III         	 	32.8	>	 3.99	<	 3.46	SIII	114	 40	  1	c	   	BD +60 498    	038.04523	+61.55221
HD 118198      	O9.7 	III            	 	31.2	 	 3.42	 	 3.95	OIII	 43	 56	  2	b	   	HD 118198     	204.24789	-63.64603
HD 55879       	O9.7 	III            	 	31.2	 	 3.51	 	 3.86	OIII	 28	 61	  9	c	   	HD 55879      	108.61772	-10.31625
HD 64568       	O3   	V  ((f*))z     	 	46.9	 	 3.93	 	 4.14	NV  	 75	 53	  3	a	   	HD 64568      	118.40919	-26.23405
HD 93128       	O3.5 	V  ((fc))z     	 	49.3	 	 4.09	 	 4.07	OIII	 58	 56	  3	a	   	HD 93128      	160.97665	-59.54930
HD 93129 B     	O3.5 	V  ((f))z      	 	47.7	 	 3.99	 	 4.11	OIII	 66	 62	  1	a	   	HD 93129 B    	160.99019	-59.54827
HD 5005 A      	O4   	V  ((fc))      	 	42.8	 	 3.83	 	 4.09	OIII	 52	 79	  3	a	   	HD 5005 A     	013.20506	+56.62764
HD 164794      	O4   	V  ((f))       	 	43.1	 	 3.88	 	 4.05	OIII	 62	 95	  9	a	LPV	HD 164794     	270.96852	-24.36073
